model,alpha_mo,t_nw,n_mo,b_mkt_rf,b_smb,b_hml,b_rmw,b_cma,b_umd,b_strev
raw,0.0010999720618382358,0.4096345721133445,154,,,,,,,
CAPM,0.0016283096243847259,0.5981289871302734,152,-0.012950623637049203,,,,,,
FF3,0.0033237309843572116,1.3479398787440333,152,-0.10846506829662947,0.4715080997286143,-0.3137220570895068,,,,
FF5,0.0035118849648682845,1.4586461276611975,152,-0.07205690880819612,0.29712712079669223,-0.2722151984708126,-0.5565253894221812,0.14207075032689512,,
FF6,0.0027499149362350626,1.135071945016017,152,-0.04365326459909606,0.34905628612453965,-0.22614386040632922,-0.5058956420246185,0.10144238107752594,0.1492349060214557,
FF6+STRev,0.002802934648344567,1.1520509798583594,152,-0.04774700878106823,0.3462249588816298,-0.23074034899724447,-0.5090667631849296,0.11316867321613718,0.15697181557154832,0.0340358994622622
