period,factor,n,spread_ew,spread_vw,q1_ew,q2_ew,q3_ew,q4_ew,q5_ew
2013-09-30,days_adv,1058,-0.07469934265224741,-0.07691610429858842,0.12651196866469194,0.056102275417184634,0.04208886204172209,0.06421582978361723,0.05181262601244453
2013-09-30,dbreadth,1058,0.06675325980270445,0.06445229164162787,0.028406914138353462,0.06421979218823586,0.0748612838702687,0.08362651464968306,0.09516017394105791
2013-12-31,days_adv,1081,0.02671785065850104,0.030895955303621485,-0.031076690917679704,-0.019362559002968283,0.014662798534136394,-0.010032637190283463,-0.004358840259178666
2013-12-31,dbreadth,1081,-0.02715003395921756,0.008896884687423431,0.003876067424568417,-0.018363941990913384,-0.0035824344643498487,-0.010082563600774561,-0.023273966534649144
2014-03-31,days_adv,1102,-0.05255952261261721,-0.12090928263787074,0.08931296597709155,0.07448489141807874,0.051820546812162055,0.04420262535444339,0.03675344336447434
2014-03-31,dbreadth,1102,0.05063857954594815,0.04330482104086945,0.045046600951521285,0.0471986766333912,0.05017172347881033,0.06422882953914501,0.09568518049746944
2014-06-30,days_adv,1136,0.047262972019443315,0.05133011296752049,-0.006633905170582201,0.03365651726097113,0.044362677208839206,0.039824263581820306,0.04062906684886111
2014-06-30,dbreadth,1136,0.013544328326495852,-0.02365149499228724,0.04241951934586334,0.011193029118083434,0.023924319076042526,0.01868358715287565,0.05596384767235919
2014-09-30,days_adv,1149,0.0002609364374323228,-0.04144382751521986,0.04257029803031371,0.04773586572852089,0.047503872064573724,0.046742654001390105,0.04283123446774603
2014-09-30,dbreadth,1149,0.015016246712396146,0.010259943211000173,0.034714274834344604,0.03645288509309792,0.05221385426178461,0.056560035079772704,0.04973052154674075
2014-12-31,days_adv,1162,-0.015689945308524265,-0.052343381229796676,0.05502480561317924,0.04887082887039254,0.03103839803689512,0.046610834771382594,0.039334860304654974
2014-12-31,dbreadth,1162,0.029111861495448785,0.016477855481977895,0.03123073452808529,0.040045228791962116,0.03801559021029304,0.05313466268802445,0.060342596023534076
2015-03-31,days_adv,1186,0.06732540758252073,0.01441282508749223,-0.06541103684918162,-0.023433618709062604,-0.020152010031067022,-0.003396904513271271,0.0019143707333391098
2015-03-31,dbreadth,1186,0.047861067038680434,0.06001281302073537,-0.050064338760582985,-0.04133207588698829,-0.011532603206471087,0.0010916500376559988,-0.0022032717219025513
