ew_q1,ew_q2,ew_q3,ew_q4,ew_q5,ew_spread,vw_spread,ic,n,period,lag,turnover_1s
-0.07556630153134314,-0.05084431740069494,-0.06065776116006476,-0.06901892675139315,-0.04698151681733013,0.02858478471401301,0.019747567002508792,0.03804509645079234,896,2015-03-31,60,
0.03899154160578122,0.04954301806332047,0.04565649209863202,0.040197263312626484,0.02155222161271008,-0.01743931999307114,-0.03809253566902147,-0.031804952076026724,894,2015-06-30,60,0.24301675977653636
-0.0861272390738355,-0.0939219132874524,-0.09816990881108813,-0.09530711129204358,-0.14990161120389325,-0.06377437213005775,-0.05014008534844068,-0.05365768676914756,914,2015-09-30,60,0.2513661202185792
0.12218549896713504,0.1192602148551735,0.1239106644740597,0.1237966945559135,0.11767006991001724,-0.004515429057117798,0.012757396036197022,-0.016534619827570658,914,2015-12-31,60,0.21311475409836067
0.07721992202430829,0.07948925412430267,0.0666025112060114,0.06623422427890371,0.08419091867914096,0.006970996654832667,-0.057173521273143006,0.006217844803857116,931,2016-03-31,60,0.2117962466487936
0.0633747688345102,0.05873843551196963,0.06449995695813236,0.04893833287829011,0.044745758664189096,-0.0186290101703211,-0.005175657720429914,-0.06881492770412997,962,2016-06-30,60,0.22020725388601037
0.07817267945107906,0.0830045107930443,0.07729125237385691,0.07541342970513167,0.0716219866350448,-0.006550692816034265,-0.024387826642295954,-0.02089876921626217,983,2016-09-30,60,0.17512690355329952
0.015157703652102995,-0.003169773348084344,0.0011535267673130913,0.024065929061516823,0.0028147935692125793,-0.012342910082890415,-0.056294509438439444,0.009532895365746826,1010,2016-12-31,60,0.2722772277227723
0.02306316731377718,0.016167222706554712,0.02490915611382926,0.0032989755816419546,0.044543349796724,0.021480182482946822,-0.016020468164132863,-0.002363557192071501,1012,2017-03-31,60,0.1921182266009852
0.09122316525010898,0.10305689228909008,0.12344219740473321,0.12650148664651362,0.11732907356479057,0.026105908314681583,0.04186959792521737,0.045666454149936676,1042,2017-06-30,60,0.22009569377990434
0.020099879578166488,-0.006600161147173878,0.021481577444754058,0.022130221717491096,0.027157854631671686,0.007057975053505198,-0.0016778451285622761,0.06180716521737743,1064,2017-09-30,60,0.17840375586854462
0.0649813383411034,0.08241182739178987,0.06980220808806913,0.07959011332463042,0.07001988415145562,0.005038545810352221,0.03350770693927282,-0.01841608099610797,1085,2017-12-31,60,0.15207373271889402
0.07486764306313211,0.055736532161862355,0.07788195461694035,0.0788054247056902,0.059859424422420836,-0.015008218640711272,-0.040235476710851696,0.037875730586064374,1120,2018-03-31,60,0.2142857142857143
-0.11728039098195056,-0.09683436852052352,-0.07925550571681078,-0.08812018269599298,-0.10101229624725643,0.016268094734694136,-0.067554368729363,0.03187941419797671,1148,2018-06-30,60,0.25
0.06107131958381483,0.07814055622380345,0.07886815310852045,0.07361670614335236,0.05953171914071582,-0.001539600443099011,0.004942040786783307,0.007091825834723327,1166,2018-09-30,60,0.2676659528907923
-0.03822993045292224,-0.06913958195837894,-0.02701685540635504,-0.028030896662478478,-0.06404521077847423,-0.025815280325551998,-0.06489952463292875,0.005160139861626318,1188,2018-12-31,60,0.19747899159663862
0.00987053865176924,0.028932973284399626,0.04497158775377437,0.033442741659391255,-0.007499290046713799,-0.01736982869848304,-0.005471738452512141,-0.009313425975963699,1195,2019-03-31,60,0.17782426778242677
0.08013449297895353,0.08921920137481386,0.0879452911875727,0.0950918469268636,0.09623992486569402,0.01610543188674049,0.012301948240539887,0.037185552600380645,1233,2019-06-30,60,0.22874493927125505
-0.04977371912511068,-0.0662574298949496,-0.0852183916973295,-0.07291438500557294,-0.0576721382003985,-0.007898419075287821,0.012359862465068358,0.019125305557876282,1264,2019-09-30,60,0.191699604743083
0.07844597458586972,0.07186981629420332,0.07855087646374287,0.10090037234572864,0.11862156449073537,0.04017558990486565,0.0606380970870641,0.08315079897266849,1273,2019-12-31,60,0.21568627450980393
0.16874174310183374,0.1927186757206404,0.14754948180600572,0.13904544920536474,0.1355330399625201,-0.03320870313931362,-0.03807906725827809,-0.05557641564404037,1264,2020-03-31,60,0.20158102766798414
0.15655878811574023,0.17399713578563647,0.1717996306600509,0.14598745405542318,0.17489561673571447,0.018336828619974238,0.016464166106747807,0.0302161014161619,1330,2020-06-30,60,0.3120300751879699
0.25210652638386205,0.19783024289833007,0.17533837173944392,0.179503582075505,0.21186475478871872,-0.04024177159514333,-0.0887498223112212,-0.004293936055186789,1388,2020-09-30,60,0.27877697841726623
0.005694028099748754,0.011812512969537118,0.05565356068174311,0.0586989248183176,-0.0052559574058615435,-0.010949985505610297,0.038596954725818686,0.008975218904280645,1499,2020-12-31,60,0.30666666666666664
-0.011847597427845571,0.023671323690719694,0.02455397690112895,0.028397204934309746,0.011853956971469029,0.023701554399314602,0.24904920004852507,0.05106100705729023,1541,2021-03-31,60,0.24149108589951374
-0.04439314170301878,-0.008106730849351011,-0.01625422718716019,-0.017123739538118046,-0.07320676068772232,-0.02881361898470354,0.11276186490337588,-0.04635176743159897,1621,2021-06-30,60,0.20955315870570113
-0.17308909218714874,-0.12529586678227603,-0.10389080426023152,-0.08173567468357347,-0.14715250894307097,0.02593658324407777,0.28171978914444373,0.034903136612468966,1685,2021-09-30,60,0.2655786350148368
-0.06420150984847085,-0.04413494538840182,-0.06425104270176374,-0.04909001124123589,-0.12144272450575334,-0.05724121465728249,-0.11625434446312456,-0.07090391754358534,1696,2021-12-31,60,0.2238586156111929
-0.011269748264569168,-0.0007977768566362297,0.005004935586132027,0.017805428141796878,0.029893967094236758,0.041163715358805926,-0.19788408786441,0.06224230197047805,1655,2022-03-31,60,0.20543806646525675
-0.06009373575582986,0.0006683348473719313,-0.002434244009721864,-0.006616503309161631,-0.05101909381298134,0.009074641942848516,0.5079723989067897,0.02106320154687438,1663,2022-06-30,60,0.18918918918918914
0.031229971285943302,0.052000194243287126,0.06547557701720141,0.06323312872077105,0.06011987840804686,0.02888990712210356,0.020114203805272096,0.03794193654954103,1632,2022-09-30,60,0.25076452599388377
-0.06981165054956785,-0.05902458469540944,-0.05524623859145074,-0.025625920788360682,-0.026454707224856808,0.043356943324711045,0.04265928180731446,0.09632214795263044,1735,2022-12-31,60,0.3414985590778098
0.06014931642614141,0.08230214697303102,0.07887261562839949,0.07388359585419,0.058160668126277126,-0.001988648299864282,0.1993896966812457,-0.03254402245259037,1730,2023-03-31,60,0.1719653179190751
