ew_q1,ew_q2,ew_q3,ew_q4,ew_q5,ew_spread,vw_spread,ic,n,period,lag,turnover_1s
-0.13071765937462995,-0.1105345538660188,-0.08628102340832165,-0.07759144762038388,-0.0691910458344166,0.061526613540213354,0.026370253313266423,0.12450961988019575,888,2015-09-30,30,
0.0385899616851793,0.04965665921116021,0.06120293625590116,0.04506927592083256,0.06565413765995187,0.02706417597477257,0.015514027335349845,0.009417956722708155,1007,2017-06-30,30,
0.01944964144789028,0.023180332328235853,0.021796608864216367,0.022507543986656078,0.026183747428273473,0.006734105980383192,-0.023694946455625615,-0.01837751709262921,1138,2018-09-30,30,
-0.03242508546383773,-0.024845299748237983,0.016495269866329203,0.018200076770890833,0.009990818722187557,0.04241590418602529,0.14500458075840472,0.11350311919192975,1210,2019-06-30,30,
0.13099864160868155,0.09207781779583202,0.058577196863452696,0.03825681814794375,0.04401501566214908,-0.08698362594653247,-0.03720020626105302,-0.12928538827488514,1220,2019-09-30,30,0.389344262295082
-0.06838269922372915,-0.07646363863194422,-0.1149651181637208,-0.08809465052806373,-0.11057618534154937,-0.042193486117820214,0.03134407968968701,-0.052720930702067646,1262,2019-12-31,30,0.3754940711462451
0.2399312118126397,0.2032313627484926,0.15490723265234876,0.14206406034222566,0.15146438474487267,-0.08846682706776704,-0.46583724771470947,-0.09385537003002425,1227,2020-03-31,30,0.43292682926829273
0.03515157726308088,0.031193025308740685,0.011976084866048576,0.023864703431540457,0.05481135711945206,0.019659779856371178,-0.0010985380313382614,-0.009026836182761342,1280,2020-06-30,30,0.388671875
0.41134186447203686,0.3403735518686501,0.27401721004106855,0.22178622825539346,0.22669036934704406,-0.1846514951249928,-0.4482754977586985,-0.23624069980022389,1311,2020-09-30,30,0.3447619047619047
0.07543619560593762,0.09146577852000314,0.138454386469038,0.15781611134500279,0.13831822291851426,0.06288202731257664,0.4188435918449128,0.10303696616366037,1440,2020-12-31,30,0.4496527777777778
-0.05234982277731272,0.0002657010098251425,0.009094118633965559,0.027291653921766558,0.021622866169339075,0.0739726889466518,0.12852750723595208,0.13495435931644886,1488,2021-03-31,30,0.3523489932885906
0.04452118350112811,0.04199636042817102,0.014408850805972881,0.027489755610367112,0.0452826258974193,0.0007614423962911884,0.13415298765101039,0.039580917599849455,1559,2021-06-30,30,0.35256410256410253
-0.41065958137445463,-0.23669650663251474,-0.0969628437713322,-0.07239382293045175,-0.09950432818434383,0.3111552531901108,0.8457529350430936,0.359210421814776,1639,2021-09-30,30,0.3734756097560976
-0.0561147462241851,-0.06655321611584286,-0.03468420623984906,-0.04459773208825425,-0.05077189475657199,0.005342851467613111,0.053987165319395146,0.03937695161863434,1614,2021-12-31,30,0.5154798761609907
-0.027132592249064634,-0.0013285658256606003,0.02219312203445282,0.03727426050318989,0.04615579967391524,0.07328839192297987,0.08978612805968922,0.11226212774190994,1602,2022-03-31,30,0.4937694704049844
-0.02091976792246734,-0.02370725531747827,-0.030623397800898938,-0.019356322718915003,-0.038788254792547175,-0.017868486870079834,0.06406689548679306,-0.023405833804316233,1604,2022-06-30,30,0.4439252336448598
0.03776490964533754,0.09117345571929628,0.08232319979350117,0.09261890684093992,0.05698942757221837,0.019224517926880832,0.09694318306595458,0.019804004733761715,1583,2022-09-30,30,0.4211356466876972
-0.07099151492961447,-0.05747430119041811,-0.03612768826513549,-0.023657810132892414,-0.034231839768199955,0.03675967516141452,0.4663759829014679,0.10205360292967068,1679,2022-12-31,30,0.47172619047619047
0.14969190579656372,0.11730699445507452,0.10774791191836024,0.10143344252779739,0.10035586855359963,-0.04933603724296409,-0.04613485585495047,-0.05862538454615718,1639,2023-03-31,30,0.4222560975609756
