weight,leg,alpha_ff3_mo,t,raw_mo
ew,q1,0.001931988970475176,0.5244778064580339,0.013664025248578716
ew,q2,0.0013755414351784704,0.659910158410288,0.011267583507673035
ew,q3,0.001715185436705797,1.0110591485244946,0.010942060295361268
ew,q4,0.0010024686618224493,0.6343479225934219,0.009502136303778028
ew,q5,0.0017955973163668012,1.1367214221472703,0.00946998651882466
ew,q5-q1,-0.00013639165410837158,-0.04126741096878121,-0.004194038729754057
vw,q1,-0.016079940521033405,-1.3265557598142348,-0.007169816520961801
vw,q2,0.010217004717371834,1.1088629296473516,0.0181982939447671
vw,q3,-0.002859039084546541,-0.9986874281159666,0.007515117433080468
vw,q4,-0.0009836062935419752,-0.638180381019738,0.008667033550528927
vw,q5,-0.0014522145667494604,-0.46078400766117267,0.007612315978285617
vw,q5-q1,0.014627725954283945,1.1807058897058775,0.014782132499247416
