config,is_sharpe,boot_p05,boot_p25,boot_p50,oos_sharpe,oos_t
wq0.80_gr1.10_n3,0.42207440201518853,0.06647194977732854,0.29928480030400806,0.4964985078000422,1.0897551273692307,3.3098909610962908
wq0.80_gr1.10_n5,0.3134609684491607,-0.09053017843432631,0.15682702586735747,0.3606986055263281,1.0452413875302011,3.166369584163714
wq0.80_gr1.10_n10,0.1663841935689192,-0.24904950509519358,0.005170437220378083,0.2161369266713959,1.1582912286307931,3.473152385207896
wq0.80_gr1.25_n3,0.563949596170861,0.21780205842919062,0.45703327320281484,0.6393433466308663,1.2549485527518978,3.311010601759231
wq0.80_gr1.25_n5,0.429070996284758,0.033931013571173146,0.28011285105753714,0.47434412030113315,1.1628808950900713,3.2232315714473807
wq0.80_gr1.25_n10,0.25432920913896234,-0.11614533759823197,0.12543777498548084,0.3400824090967004,1.2285548391012768,3.2176655215070773
wq0.80_gr1.50_n3,0.6880347513512798,0.3073641065304587,0.5514808870066068,0.747808647218473,1.3733932954142876,3.5410751683223807
wq0.80_gr1.50_n5,0.5754535826975431,0.1792230231017071,0.4324513975928375,0.6313640051414535,1.3386892075240584,3.6406870158601503
wq0.80_gr1.50_n10,0.37447026156493857,-0.02777962715470395,0.2289861110077962,0.44176485924136377,1.3066710755998754,3.2378529072698683
wq0.85_gr1.10_n3,0.42855192540042714,-0.045055625783401734,0.22206929947120582,0.40987889043170433,1.3281771776730689,3.8982586112856055
wq0.85_gr1.10_n5,0.33176815679468646,-0.17436480368582252,0.09665514527348378,0.2938205050220152,1.2949353424933097,4.215531071835561
wq0.85_gr1.10_n10,0.1673372205159093,-0.3364325155615902,-0.0615585625550584,0.15878969749668473,1.3878494880314236,3.9250346863388135
wq0.85_gr1.25_n3,0.6802621183940945,0.19968026436489494,0.48774925495572163,0.6859998546812646,1.3641472480898214,3.649232624052911
wq0.85_gr1.25_n5,0.5658273149020073,0.06336141415290955,0.33119144578916704,0.5369845653076468,1.3786530094734801,3.888996241772559
wq0.85_gr1.25_n10,0.3402945316169361,-0.12090037557036071,0.15466986671295138,0.3688135112671428,1.4725559720148882,3.992199568592521
wq0.85_gr1.50_n3,0.7559484527211641,0.26052568454039304,0.5557559418840219,0.7631059805632051,1.6904712069105876,4.534035515111346
wq0.85_gr1.50_n5,0.6161476527270059,0.130143249555535,0.4082442850876515,0.6152839668358006,1.5226522493786023,4.431418967376584
wq0.85_gr1.50_n10,0.4762966746921223,0.04674560843391467,0.3040112160835448,0.5227116029141324,1.7472466015176737,4.892750864799334
wq0.90_gr1.10_n3,0.5622943281544149,-0.04040869327962054,0.2950660520089482,0.510914008308837,1.4232373943621965,3.5599977013199577
wq0.90_gr1.10_n5,0.46699163164926955,-0.11918779780042245,0.19030536371660584,0.4052988186511923,1.3144813390368666,3.428801915505493
wq0.90_gr1.10_n10,0.32270203232104355,-0.11702970817728653,0.1333891234266798,0.3463272745697635,1.4966026247203121,3.4956435231251053
wq0.90_gr1.25_n3,0.8695328220883461,0.2296957370146938,0.5925320811623471,0.8444119059857984,1.3983735554810302,3.524838713757487
wq0.90_gr1.25_n5,0.7505187340083752,0.13779255540353239,0.4916024476289119,0.730945585189098,1.2823349755221995,3.305985784261656
wq0.90_gr1.25_n10,0.46691176251716593,-0.03346877850620853,0.25918518685257985,0.47729788687438357,1.492751800101619,3.2813199546477563
wq0.90_gr1.50_n3,0.9583156441408215,0.2585919816132184,0.6559185812036438,0.9319137974734206,1.6379755407095313,3.937504063438803
wq0.90_gr1.50_n5,0.8347860117139881,0.16286772855918508,0.540777410425737,0.8069144429491215,1.5691991142792847,4.098195529763365
wq0.90_gr1.50_n10,0.6391175858953712,0.16452190659170532,0.4579847652940532,0.6924448652676598,1.696409034878229,3.730862468340872
wq0.95_gr1.10_n3,0.7462120874098312,0.09803095177970263,0.46751378435301827,0.7138809126909165,1.3608032161305585,4.264954840246211
wq0.95_gr1.10_n5,0.618146243210869,-0.006461900505662524,0.3553849407522804,0.603336398216421,1.3435680485873658,4.816589404787538
wq0.95_gr1.10_n10,0.3017247774038685,-0.23618459496206676,0.09317805802076247,0.34720410148337244,1.8632362438063566,4.251402409891162
wq0.95_gr1.25_n3,1.079817399449391,0.4659599460195283,0.8000966879123811,1.0257216880915259,1.5715521476240848,4.962709443192054
wq0.95_gr1.25_n5,0.8929233247271274,0.3267116503601861,0.6466437327773098,0.8665206267549621,1.7194209896511308,6.713709638378269
wq0.95_gr1.25_n10,0.6190039761370363,0.03098403749884981,0.385999251297003,0.6047468838417069,2.0289023254993936,5.070856264152478
wq0.95_gr1.50_n3,1.3778361343910894,0.9159197291311214,1.1701884068999773,1.3570985563960434,1.6578399145376663,4.85131906914577
wq0.95_gr1.50_n5,1.257773960592243,0.723727555689683,0.985289429908955,1.1722322823789164,1.7553166269682008,5.083953870059613
wq0.95_gr1.50_n10,0.9986585668355049,0.4891440004789875,0.7917517887531942,0.984536841666996,2.5304721943693123,5.439403698989607
