period,wq0.80_gr1.10_n3,wq0.80_gr1.10_n5,wq0.80_gr1.10_n10,wq0.80_gr1.25_n3,wq0.80_gr1.25_n5,wq0.80_gr1.25_n10,wq0.80_gr1.50_n3,wq0.80_gr1.50_n5,wq0.80_gr1.50_n10,wq0.85_gr1.10_n3,wq0.85_gr1.10_n5,wq0.85_gr1.10_n10,wq0.85_gr1.25_n3,wq0.85_gr1.25_n5,wq0.85_gr1.25_n10,wq0.85_gr1.50_n3,wq0.85_gr1.50_n5,wq0.85_gr1.50_n10,wq0.90_gr1.10_n3,wq0.90_gr1.10_n5,wq0.90_gr1.10_n10,wq0.90_gr1.25_n3,wq0.90_gr1.25_n5,wq0.90_gr1.25_n10,wq0.90_gr1.50_n3,wq0.90_gr1.50_n5,wq0.90_gr1.50_n10,wq0.95_gr1.10_n3,wq0.95_gr1.10_n5,wq0.95_gr1.10_n10,wq0.95_gr1.25_n3,wq0.95_gr1.25_n5,wq0.95_gr1.25_n10,wq0.95_gr1.50_n3,wq0.95_gr1.50_n5,wq0.95_gr1.50_n10
2013-09-30,-0.0023981427918728787,0.0011485040744006747,-0.010208830429166343,0.010033339032951422,0.010814088919935752,-0.0012082626396501817,0.018361957726982743,0.01623792851512014,0.019444515165117894,0.0018731787681304651,0.006070569955460778,0.005869198218983171,0.011222305241053068,0.013698431076324069,0.014595323445081201,0.014477728224791223,0.01727854736202776,0.02728895623161532,0.014805699906436966,0.01648369586047161,0.01234838240478401,0.019313899483359327,0.021741101336434615,0.018133227830101885,0.02423657231184924,0.029864511072158324,0.03275843328771624,0.01625036266945277,0.02324121542818843,0.014319767669639986,0.030336133754214616,0.030204882553186353,0.02697289133312638,0.02743066027268616,0.02665738685597019,0.024077558604945357
2013-12-31,0.056584413338851315,0.05732060314482282,0.04229317829415229,0.0456649999765939,0.04850101553135308,0.032346907785758154,0.05334717777522133,0.05001323283520266,0.03096349928611112,0.0552440007348997,0.05347829759665706,0.03302233322307268,0.05479719838681723,0.05989981232823413,0.03253385860450762,0.044642782022951646,0.04603261473636063,0.02044411196557199,0.05641572478111867,0.05226785911561806,0.022580137631708113,0.046245736602660785,0.04487231349951523,0.026327026866083143,0.02780323460245958,0.025327247935791147,0.007885770082194076,0.03148793482355452,0.033782451362201746,0.022019793461937755,0.023307929045237773,0.026583940765139397,0.016745070085200098,0.02448538571389692,0.02734345265582122,0.018114104159265492
2014-03-31,-0.024010130618702732,-0.027290803729633197,-0.020125585642836077,-0.02888309463530804,-0.030943888857386567,-0.021445462492518087,-0.024252465278144245,-0.02528950288834636,-0.010746958917792496,-0.019287370298061955,-0.020836110168751372,-0.006819586997727237,-0.012044923161389443,-0.015056647440021248,-0.011892830301159917,-0.009920746649531687,-0.007315904433155863,-0.001246394710544843,-0.017234402523557783,-0.01854207567804187,-0.01861097375145026,-0.008295632085783017,-0.00857560343021447,-0.01317968050080609,-0.0025403212241588216,-0.004150750536837347,-0.00614682648715794,-0.0032010726808156947,-0.004522769248530963,-0.00284375446284639,0.00663504952999,0.003984768992440629,0.003983721199867445,0.0024974232355735246,-0.0011632835382034273,0.0009005608960854575
2014-06-30,0.028689689249649566,0.02091119420143793,0.023242760094208142,0.028349908526020016,0.02694597405930375,0.03697562376406014,0.04107323597479602,0.03639483661695879,0.034872060026161694,0.020967667354346985,0.017563457802761424,0.023208400833483474,0.03625375467611594,0.03271811882253338,0.036796424059278424,0.035360355825994616,0.03257240523588763,0.04258412583412919,0.03829826164555548,0.03711162354756987,0.04088752681238302,0.03525098536608255,0.035464991412363464,0.034870567235560646,0.026186125219210685,0.024832700108102547,0.030269087821950265,0.033471927870515734,0.02821317145516733,0.031591411946445935,0.03535896032773134,0.028948210702630192,0.03566098167797416,0.016540229254375,0.018817539243449758,0.02372325829508152
2014-09-30,0.01134327918036411,0.006929909345435158,0.004636775366691992,0.014858456863926665,0.017388411464802488,0.012760225207525379,0.014731620705464306,0.01381435760800926,0.014139112220663289,-0.002262371378108599,-0.003993562609477523,0.0007994239101066156,0.014276057031771261,0.005337444666413858,0.007997642414486333,0.009975344614089506,0.0063037803802449555,0.010647132350004695,-0.0023433668373821007,-0.0019046385572087654,-0.0016729749858784004,0.011970699134876181,0.008618443462996492,0.007882773575620491,0.007820979985098057,0.008773766784819906,0.006257661775568975,-0.00239140212878982,-0.003991356710169529,-0.0026995635575111296,-0.006290608555158977,-0.004536337057190656,-0.0024327195175793542,-0.000791145327333688,-0.003444035075275846,0.00668280637224241
2014-12-31,-0.009685850392893755,-0.007298174301579273,0.003354436044623231,0.0021975691587221916,0.003994764525912624,0.015437714472315678,0.0037766376873493573,0.006991705645316412,0.015583137135139286,-0.0007463951931155968,-0.003357481123717629,0.01347708156611973,0.006657706071181463,0.013050619608386053,0.019215882708495228,0.008289367611905924,0.008562632561854123,0.014061604739837176,0.001597544605949873,0.0023921347486430267,0.00014264562614430681,0.000376327259505177,0.0011747224515260071,0.006157549494981422,0.010235634101535843,0.009694999248132136,0.015585313221375671,0.005060823065060047,0.002008020617871975,-0.004361260564516363,0.0005118629861963,0.0024670214038109498,-0.00788764605697076,-0.0023380598785168807,-0.000467300908321297,-0.004251632554300722
2015-03-31,0.04253771652555478,0.036587972223804666,0.030356150983412458,0.0372898163014362,0.0357355458958288,0.022717007385291334,0.03783094227014362,0.04049227374198723,0.034559949915427185,0.039274273998642015,0.03710342987140601,0.028705926151781472,0.026529238482336955,0.025353121101998118,0.028403480950529695,0.024870089590046714,0.026879215302184213,0.03137645913749592,0.020092003368539224,0.024568133908611674,0.020129043550404756,0.02295409205130986,0.02248266931938968,0.018350056835958164,0.023845570462688054,0.01808325452555534,0.01842259474152348,0.037642879214542235,0.041488911486187774,0.038383891853220824,0.031214681299249564,0.03508163255557674,0.04146041741946384,0.03422817333093817,0.033642883679585726,0.0358036254673253
2015-06-30,0.017616644543335218,0.01755677909459499,0.02230948376696895,0.013563038777539622,0.009048713791399439,0.008900513279756252,0.014934402346303142,0.016492130180672585,0.008516818819585367,0.03255164054474745,0.031233208351821123,0.024869706529234897,0.017683310312530634,0.018490584764618824,0.019236613294230667,0.02763324538926733,0.026290112546005145,0.023419267440424427,0.02510439700752539,0.026649596499510472,0.0354260705094769,0.03179086933753838,0.030070344527575742,0.03539080701495819,0.028928289590972246,0.03300635366506707,0.028328329768787484,0.006077619095249738,0.0054744764964874265,0.013298470963150552,0.00528570469242455,0.008121085133321805,0.01595422401937366,-0.003559341089225357,-0.0013868098865077172,0.002572608049699117
2015-09-30,0.10436176062904728,0.10087788248579371,0.09641387028380556,0.09222286932748493,0.09294708431989977,0.07995168503946087,0.06873010279214993,0.06942332164601563,0.059450552362854805,0.08955727854514293,0.08984432259985509,0.08537287827701184,0.07015165996117871,0.07231678594282685,0.0657778944110872,0.05320033148600102,0.054349049505647604,0.05846466116432096,0.06862291205110373,0.06683268208928272,0.06627482950362426,0.060085701003583916,0.06174738321472835,0.05641946220013462,0.04706928279316547,0.05042292365294339,0.05764676724876508,0.020579447837979686,0.018523995598088927,0.014994665147456648,0.022035546886714788,0.020900646556356817,0.013742029829158245,0.02133949327601746,0.01824602342021292,0.017262793910141183
2015-12-31,-0.02432846754122142,-0.035145857535507086,-0.04134881673152527,-0.02361828491326476,-0.04433778237629504,-0.03579167848025534,-0.028047399492807407,-0.03631385477176827,-0.03471282173481041,-0.021345661178982095,-0.0319702149841144,-0.02861043851965675,-0.00843922391292709,-0.017904451582846037,-0.02473541820316122,0.0002797093327088218,-0.015228569873463965,-0.010933877365614825,-0.020937365538357428,-0.033934377450737546,-0.03406834442737483,-0.0185374571665978,-0.029684024932578046,-0.03389121252549118,-0.014360431567265075,-0.01932487984497394,-0.017301481830551607,-0.009207222091954043,-0.01806062592220556,-0.018149523126792216,-0.008737820836518112,-0.0176739803825417,-0.0268068139041768,-0.005269306111115174,-0.01288448395052777,-0.017975981349305115
