period,ssi_tercile,nc_spread
2013-09-30,1,-0.000683018181872018
2013-09-30,2,0.002557357997576941
2013-09-30,3,-0.01030196641481522
2013-12-31,1,0.009091545064493889
2013-12-31,2,0.013265663484280061
2013-12-31,3,0.04104628419019397
2014-03-31,1,-0.000958599526209955
2014-03-31,2,0.01651268668269483
2014-03-31,3,-0.023859812658267622
2014-06-30,1,0.05201162049257149
2014-06-30,2,-0.015177714286548065
2014-06-30,3,0.0012152538391141075
2014-09-30,1,-0.03616284497255649
2014-09-30,2,-0.006527269612975752
2014-09-30,3,0.0005914876336381228
2014-12-31,1,0.004006491743176639
2014-12-31,2,-0.01733686407844299
2014-12-31,3,0.023155359110694395
2015-03-31,1,0.06071298702375606
2015-03-31,2,-0.042893521282591746
2015-03-31,3,0.029614807517184386
2015-06-30,1,-0.0075488276405649285
2015-06-30,2,0.01300197403182031
2015-06-30,3,-0.044746784031803266
2015-09-30,1,0.035373082528692784
2015-09-30,2,0.006984213890527238
2015-09-30,3,0.027845536411364225
2015-12-31,1,-0.02524463551840722
2015-12-31,2,0.012669839218628465
2015-12-31,3,-0.03153808643180839
2016-03-31,1,-0.025652860358129678
2016-03-31,2,-0.03306381818112282
2016-03-31,3,-0.0060147269479030735
2016-06-30,1,-0.06329507572117885
2016-06-30,2,-0.04325560974564055
2016-06-30,3,0.03160546367493129
2016-09-30,1,-0.02514274040689886
2016-09-30,2,-0.011189945359581066
2016-09-30,3,0.007924300231760231
2016-12-31,1,0.003225243498878377
2016-12-31,2,-0.03458956670245553
2016-12-31,3,-0.026734156930901625
2017-03-31,1,0.02688090429235503
2017-03-31,2,-0.010241013856352649
2017-03-31,3,0.008918115918825423
2017-06-30,1,0.07585874783981571
2017-06-30,2,0.01598651090223742
2017-06-30,3,-0.006039343266078093
2017-09-30,1,0.06592622215880951
2017-09-30,2,-0.0025069541409581536
2017-09-30,3,0.00023416989317220915
2017-12-31,1,-0.011513533019778845
2017-12-31,2,0.033219027230273465
2017-12-31,3,0.004739826215853865
2018-03-31,1,0.005572113206104123
2018-03-31,2,0.06349913016483133
2018-03-31,3,0.008757535700922442
2018-06-30,1,-0.03738593904739727
2018-06-30,2,0.02614138290211327
2018-06-30,3,-0.027337845664782007
2018-09-30,1,0.004339223412558359
2018-09-30,2,-0.0010873709634875856
2018-09-30,3,0.02502948430385553
2018-12-31,1,0.051625461629653105
2018-12-31,2,-0.016575354356770003
2018-12-31,3,0.042773485736644426
2019-03-31,1,0.06405961138236321
2019-03-31,2,0.01895013718992473
2019-03-31,3,-0.047292273450998734
2019-06-30,1,-0.017010594173477916
2019-06-30,2,-0.014554735470710109
2019-06-30,3,0.009785775536718368
2019-09-30,1,-0.027814741538084727
2019-09-30,2,0.004105466159049415
2019-09-30,3,0.024561098821085647
2019-12-31,1,0.1034379039688583
2019-12-31,2,0.023936640742078408
2019-12-31,3,-0.0695055568213548
2020-03-31,1,-0.030653436006542967
2020-03-31,2,-0.06869084440051934
2020-03-31,3,-0.040073840585348075
2020-06-30,1,-0.05428955150802202
2020-06-30,2,-0.00027909123001607083
2020-06-30,3,-0.03382230889292555
2020-09-30,1,-0.09910725922425054
2020-09-30,2,-0.0684909934246401
2020-09-30,3,-0.04049145073320301
2020-12-31,1,0.0681632557721144
2020-12-31,2,0.06780041548847866
2020-12-31,3,0.17201140436881301
2021-03-31,1,0.01279809413456522
2021-03-31,2,-0.08383478073803446
2021-03-31,3,-0.022184704181382853
2021-06-30,1,-0.001682549976461653
2021-06-30,2,0.020637278998908576
2021-06-30,3,0.05291154448261064
2021-09-30,1,0.17622582489876265
2021-09-30,2,0.05774126962060469
2021-09-30,3,0.13482784393600886
2021-12-31,1,0.1251923281120398
2021-12-31,2,0.017218126728833258
2021-12-31,3,0.04688078464614946
2022-03-31,1,-0.06309629413009658
2022-03-31,2,-0.024875697482629106
2022-03-31,3,0.008470756781275207
2022-06-30,1,0.07891176131791537
2022-06-30,2,0.04728991313393311
2022-06-30,3,0.039648289070081985
2022-09-30,1,-0.020549039807613342
2022-09-30,2,-0.020319875822140815
2022-09-30,3,0.035937540990220763
2022-12-31,1,0.05672734285312206
2022-12-31,2,0.055484130971590044
2022-12-31,3,0.02087021520284521
2023-03-31,1,-0.038083096849676784
2023-03-31,2,-0.0020267645247149524
2023-03-31,3,0.0007619120521908246
2023-06-30,1,0.06678570107384497
2023-06-30,2,0.017281649365754676
2023-06-30,3,0.022566313289764665
2023-09-30,1,-0.0309037668863021
2023-09-30,2,0.00325875983155427
2023-09-30,3,0.010099165143261757
2023-12-31,1,0.10024552561778749
2023-12-31,2,-0.0033781150530706253
2023-12-31,3,0.030568266913611787
2024-03-31,1,0.015032266668347997
2024-03-31,2,0.020334451978648423
2024-03-31,3,0.07088321132718854
2024-06-30,1,0.02143817427296238
2024-06-30,2,0.021370294243008445
2024-06-30,3,-0.030395927663218816
2024-09-30,1,0.017837510253010447
2024-09-30,2,0.019833448158423136
2024-09-30,3,0.0015112266034858005
2024-12-31,1,0.05891526750474702
2024-12-31,2,-0.01840576616652432
2024-12-31,3,-0.023154470876058868
2025-03-31,1,-0.026841824506126002
2025-03-31,2,0.012238902987107433
2025-03-31,3,-0.04161180243970351
2025-06-30,1,-0.013672687144285017
2025-06-30,2,-0.02341137097637581
2025-06-30,3,0.04873522582072144
2025-09-30,1,-0.07486898400712408
2025-09-30,2,-0.038621610365696855
2025-09-30,3,-0.019162178037089847
2025-12-31,1,-0.02288304280229445
2025-12-31,2,-0.02807695578152023
2025-12-31,3,0.046648575193756064
