period,version,spread_ew,ic
2013-09-30,raw,0.054518406331617975,0.0826613280757094
2013-09-30,resid,0.04221070456981813,0.081698548828669
2013-12-31,raw,-0.05584495056156604,-0.15049541117378717
2013-12-31,resid,-0.02522915887888816,-0.08456289813689903
2014-03-31,raw,0.03169844220439725,0.06417305328588824
2014-03-31,resid,0.02458347587717446,0.05948482453384009
2014-06-30,raw,-0.007875299230157437,-0.05390888480149758
2014-06-30,resid,-0.01526391637324791,-0.05458766473837588
2014-09-30,raw,-0.0044358836367480795,-0.016317080617256837
2014-09-30,resid,-0.009985315765580573,-0.028929768558617824
2014-12-31,raw,0.01358267802670928,0.04346621601195421
2014-12-31,resid,0.008526940555131153,0.040277820428704425
2015-03-31,raw,0.02501426364786726,0.03382093670382999
2015-03-31,resid,0.02057192728378166,0.02315169699113776
2015-06-30,raw,0.0011477966497781822,0.03266006781614165
2015-06-30,resid,0.009440302356422743,0.01211364613661104
2015-09-30,raw,-0.10652529042911243,-0.2024256536666779
2015-09-30,resid,-0.08976036989139097,-0.18818292175967433
2015-12-31,raw,0.02219574728551199,0.10722079445007449
2015-12-31,resid,-0.00356762545458969,0.05512431227594715
2016-03-31,raw,0.03879784587472801,0.14345697577607433
2016-03-31,resid,0.015085262853475001,0.06940009947826668
2016-06-30,raw,0.021874680038577225,0.08504719922504637
2016-06-30,resid,-0.01642112129141205,-0.012581142408495541
2016-09-30,raw,0.00847341695201867,0.06266764847482
2016-09-30,resid,0.015127138399900833,0.06774439189730788
2016-12-31,raw,0.01925665926440926,0.06779719273232336
2016-12-31,resid,0.020508165923598446,0.07838812754579494
2017-03-31,raw,0.002237434162642469,0.043919481925527075
2017-03-31,resid,0.02637742962937386,0.08320508412814692
2017-06-30,raw,0.029738424281068765,0.06081379033655043
2017-06-30,resid,0.008090665678491066,0.04248574827959571
2017-09-30,raw,0.04594691192403529,0.06610857628629191
2017-09-30,resid,0.04981390309813137,0.06380976856347903
2017-12-31,raw,0.05761378434967776,0.13882608046259637
2017-12-31,resid,0.015417772731404766,0.04513736929665491
2018-03-31,raw,0.01729730085501688,0.03372968991347828
2018-03-31,resid,-0.018477774341379878,-0.031639106968968926
2018-06-30,raw,-0.07818859300993028,-0.18293524032615596
2018-06-30,resid,-0.04986222552349358,-0.12383728852481043
2018-09-30,raw,0.03293563556878581,0.08295747511631112
2018-09-30,resid,0.04179850010676426,0.10746923511007812
2018-12-31,raw,0.0001374929642022002,0.02566173839939824
2018-12-31,resid,-0.0038092825588953577,0.046672400614889
2019-03-31,raw,-0.0342762254024466,-0.0142109371083502
2019-03-31,resid,0.02078163842208794,0.05676682333816546
2019-06-30,raw,0.009337140612195621,0.0030313044675264736
2019-06-30,resid,-0.013089489261830081,-0.03431402302868076
2019-09-30,raw,0.026062841904459816,0.04080421524438711
2019-09-30,resid,0.04438759668836638,0.09546266064163116
2019-12-31,raw,0.07504684312176331,0.025753830253307065
2019-12-31,resid,0.07105678072005646,0.08266822550543289
2020-03-31,raw,-0.031431773545951835,0.006179443400822903
2020-03-31,resid,-0.08104160663000423,-0.08130854677874372
2020-06-30,raw,0.044436849450059726,0.09728247048575127
2020-06-30,resid,0.01780665652862047,0.06160933987938981
2020-09-30,raw,0.10569479774359458,0.23668562952273597
2020-09-30,resid,0.024424171450152132,0.1343754294737783
2020-12-31,raw,-0.09589438153167013,-0.15618903776517892
2020-12-31,resid,-0.15680953143749227,-0.23277125664419074
2021-03-31,raw,-0.02701083347135801,-0.05565449090752082
2021-03-31,resid,0.008054822429001747,0.039284609376931054
2021-06-30,raw,0.038236594977092454,0.12879327783506003
2021-06-30,resid,0.004730625329523619,0.06461589334190715
2021-09-30,raw,-0.07230005596473608,-0.14514045974846407
2021-09-30,resid,-0.05281876570439378,-0.11410957113319473
2021-12-31,raw,-0.12085093866245711,-0.19222591256893423
2021-12-31,resid,-0.07421814191368166,-0.16614573090177803
2022-03-31,raw,0.02897823449154603,0.10766038167428567
2022-03-31,resid,-0.022967202280053917,0.04319485193742721
2022-06-30,raw,0.002486873450049873,0.001135397167762994
2022-06-30,resid,0.0015376558880838415,-0.0005245913939980736
