period,variant,gd,car3,pl3,car5,pl5,car10,pl10
2020-06-30,V1FIX,2083,0.005399490541920427,0.003424137682424583,0.005534202422764001,0.014700876378596983,0.042759306278981286,-0.02739077814207224
2020-06-30,V1FIX,2083,0.09008816410071502,-0.0036917427898520484,0.11905179360139562,-0.001589172470977057,0.023204779426038685,0.04587969493647296
2020-06-30,V1FIX,2083,0.017985385362042437,0.01435844467958911,0.029547036159903717,0.019337599739561263,0.08128928974087221,0.023981087603270158
2020-06-30,V1FIX,2083,0.018037514035716185,0.004403004334783916,0.05402666748037186,0.014517904855506868,0.006958620632580742,0.0009780947367001081
2020-06-30,V1FIX,2083,0.018318988439615252,0.004325661711816903,0.028623355207011675,0.008428981600898122,0.05629097961737685,-0.0008191109642813222
2020-06-30,V1FIX,2083,0.036847028385668404,0.009255782394357282,0.05313546794776425,0.03678360300193641,0.03414093402093477,-0.012810237427184096
2020-06-30,V1FIX,2083,-0.003090841047521322,-0.004714254771082477,-0.004849429617073482,0.012153670651188381,0.0382944028247374,-0.010090490425880583
2020-06-30,V1FIX,2083,0.0130360086796111,-0.0016698518301703103,0.016625749410986795,0.004433916294117069,0.07200785831646839,-0.02344885297401627
2020-06-30,V1FIX,2083,0.0203534117845444,0.013007954407459141,0.035262322384412716,0.014009777495890139,0.08430144439163872,0.019143161448328814
2020-06-30,V1FIX,2083,0.006426849451661107,0.0026826040340852788,0.014884318741610092,-0.001283838975846685,-0.0012061575125137157,0.0017286040439020323
2020-06-30,V1FIX,2083,0.010022063881673803,0.018974488846820802,0.015682487879463223,0.03679699758803463,0.040556081250060015,-0.0018981689911535648
2020-06-30,V1FIX,2083,0.0036543847351230563,0.021163060370449478,0.01121106623834936,0.023421298096531987,0.04055530860539023,0.0235135059700348
2020-06-30,V1FIX,2088,-0.00277806638944843,-0.010478786239433425,-0.006964343036394882,-0.02369062989271161,-0.0026035962676247302,-0.013650862540853315
2020-06-30,V1FIX,2088,-0.001032919530248938,-0.001670559845830566,0.0030124430197487175,-0.00043806995829016594,0.003325709162483992,0.001599959584266969
2020-06-30,V1FIX,2088,-0.008794201476328454,-0.014079180798963403,-0.010935698349273314,-0.0182519488119613,-0.009652189221931852,0.0013046833918237966
2020-06-30,V1FIX,2088,-0.0022574078869843084,-0.010271201508636177,-0.00860963979086803,-0.024870591999617483,-0.009652482515975131,-0.04295943195295119
2020-06-30,V1FIX,2088,0.010749109059642803,0.0031330308617423474,0.02400767177196498,-0.0041014794196277795,0.025245346977829947,0.01566119392668263
2020-06-30,V1FIX,2088,-0.022120880536636994,0.0021273323777871657,-0.03007654465690663,-0.006931555923500607,-0.03421007573435988,0.010937883744149965
2020-06-30,V1FIX,2088,-0.09569654867975019,0.03402799490362374,-0.11684057973670381,0.047468867407450016,-0.1383481884928272,0.08019917305192331
2020-06-30,V1FIX,2088,-0.021074787104193478,0.006568610969421351,-0.02605623579107234,-0.0010873258847855615,0.013405027897828953,0.002604148993726041
2020-06-30,V1FIX,2088,-0.0010616338771131883,-0.008909386893783022,-0.011472550332212773,-0.017511952650667455,-0.02086987969380284,-0.003017417233963815
2020-06-30,V1FIX,2093,0.00283054552568453,-0.0004052758426263181,0.018441465997929386,0.0036694275155693123,0.019960739143402413,0.0022742774096099483
2020-06-30,V1FIX,2093,0.005711651359139025,-0.01158979993520915,0.02065035357853166,-0.015425043682506624,0.040699172377965234,-0.014784500899139102
2020-06-30,V1FIX,2093,-0.01060309245522954,0.006522310958567634,0.008952698077923416,0.03273030564447329,0.00043881875079109233,0.05388459840965233
2020-06-30,V1FIX,2093,-0.00388808223531964,0.00403778372428993,0.0029447737120341768,0.00787317170479735,0.03227752179826714,0.02967504911230226
2020-06-30,V1FIX,2093,0.00086296908005693,0.006522310958567634,0.004635363302355161,0.03273030564447329,0.0021282688516800984,0.05388459840965233
2020-06-30,V1FIX,2093,0.008570564242386577,-0.004515190066722507,0.01786943966765057,-0.0039881246822667474,0.03049183652883176,-0.014590701234857745
2020-06-30,V1FIX,2093,0.0015537239692231142,0.008309631647246473,0.0062505175861053254,0.007902333210627444,-0.0019961330141011146,0.02420636150810764
2020-06-30,V1FIX,2093,-0.019963592673233728,-0.0022835902216853444,-0.018088839953333706,-0.005411103196599265,-0.0008540173122708358,0.0002230334087767627
2020-06-30,V1FIX,2098,-0.0036887108895352016,0.016702367364515497,-0.0004932695286315569,0.011025517903739623,0.006942165845984083,0.018736546010182337
2020-06-30,V1FIX,2098,0.03286964998991227,0.0037799054757308437,0.050781604414949034,0.002951804497211441,0.08067326375329571,0.018393506785583647
2020-06-30,V1FIX,2098,0.005569435671585661,0.0005531760295263144,-0.0002865705654316115,0.0011382745423204276,-0.012030206065384332,-0.012526765697945651
