period,variant,gd,z_used,car3,pl3,car5,pl5,car10,pl10,cut97,cut98,cut99
2020-06-30,A,2088,3.4999324621811514,-0.00277806638944843,-0.09775391925983126,-0.006964343036394882,-0.10845015607734602,-0.0026035962676247302,-0.08571840070892497,True,True,False
2020-06-30,A,2088,10.463463434215043,-0.0010616338771131883,-0.0307264605665102,-0.011472550332212773,-0.03478320304045411,-0.02086987969380284,-0.014538000291135245,True,True,True
2020-06-30,B,2088,7.100295181152575,-0.008794201476328454,-0.02123478997674653,-0.010935698349273314,-0.02594693277418747,-0.009652189221931852,-0.005296579195655809,True,True,True
2020-06-30,B,2088,4.3405210193922015,-0.0021898987147398684,0.039601382028329,-0.004770565966776735,0.04903912200722601,0.007380814634729194,0.0911438402273909,True,True,False
2020-06-30,B,2088,8.133408495198053,-0.0010616338771131883,-0.006389810064382384,-0.011472550332212773,-0.010198687874760647,-0.02086987969380284,-0.0016805056735016532,True,True,True
2020-06-30,C,2088,4.869278500573806,-0.008794201476328454,-0.014556946533222731,-0.010935698349273314,-0.02587682626364029,-0.009652189221931852,-0.0054958457292093536,True,True,True
2020-06-30,C,2088,2.806586925977483,0.0017546542851655856,0.05254377289020919,-0.008318805114506972,0.0553821089054816,-0.00012310639614764862,0.08373726603179363,True,True,False
2020-06-30,C,2088,2.6045734259830473,-0.012062510887833361,-0.022493437133461462,-0.016748025433618873,-0.02788276926813334,-0.02093572266865241,-0.006479011374909855,True,True,False
2020-06-30,A,2089,7.872231402822336,-0.0033312718537805374,-0.01118483483400089,-0.0016432026469021589,-0.015473867082370595,0.014063955207798445,-0.004631790813502573,True,True,True
2020-06-30,A,2089,6.618417134186134,-0.02357784416369132,-0.005281841498212936,-0.017516868734748146,0.001020001483588523,-0.012582109418812588,0.020640878154909902,True,True,False
2020-06-30,B,2089,8.037647086037468,-0.0033312718537805374,-0.015865124910928886,-0.0016432026469021589,-0.016706161465109188,0.014063955207798445,-0.00021093056398794886,True,True,False
2020-06-30,B,2089,8.902158750456728,0.00415118712551904,0.0018590808962958838,0.0012538084297468056,0.002907796857497319,0.01829812708561789,0.005210138284150884,True,True,True
2020-06-30,B,2089,9.630609072475504,-0.007407125359130823,-0.0033618349826655567,0.011897207153108758,-0.00933401562631036,0.0006202868410921658,-0.012808358268607174,True,True,True
