date,gross,net0,net
2013-12-13,-0.0004649213723683598,-0.0006649213723683598,-0.0006847133996210229
2013-12-16,0.0011324468775563345,0.0009324468775563345,0.0009126548503036715
2013-12-17,-0.00030239516348828195,-0.0005023951634882819,-0.000522187190740945
2013-12-18,-0.0017421516486725438,-0.0019421516486725439,-0.001961943675925207
2013-12-19,-0.00034152946773499194,-0.0005415294677349919,-0.000561321494987655
2013-12-20,-0.0005440939191717486,-0.0007440939191717486,-0.0007638859464244117
2013-12-23,0.0009525491947961937,0.0007525491947961938,0.0007327571675435307
2013-12-24,-0.0015962732162068372,-0.0017962732162068373,-0.0018160652434595003
2013-12-26,0.0018317062423969207,0.0016317062423969206,0.0016119142151442575
2013-12-27,-0.0008598004516182382,-0.0010598004516182383,-0.0010795924788709014
2013-12-30,-0.0019522413048489765,-0.0021522413048489764,-0.0021720333321016395
2013-12-31,0.0007156976930446071,0.0005156976930446071,0.0004959056657919441
2014-01-02,0.000456756551020872,0.00025675655102087196,0.00023696452376820892
2014-01-03,-0.0014366340149585348,-0.001636634014958535,-0.001656426042211198
2014-01-06,0.0016300460152171839,0.0014300460152171838,0.0014102539879645207
2014-01-07,0.00046543048839552337,0.00026543048839552334,0.0002456384611428603
2014-01-08,0.0018159338806678338,0.0016159338806678337,0.0015961418534151707
2014-01-09,-0.0005435163971468389,-0.0007435163971468389,-0.000763308424399502
2014-01-10,-0.0024405754229668833,-0.0026405754229668833,-0.0026603674502195464
2014-01-13,-0.0024791031635581803,-0.0026791031635581804,-0.0026988951908108435
2014-01-14,0.0010753630303139807,0.0008753630303139807,0.0008555710030613176
2014-01-15,0.0012978178513379018,0.0010978178513379017,0.0010780258240852387
2014-01-16,-1.831563144799684e-05,-0.00021831563144799685,-0.0002381076587006599
2014-01-17,-0.0005850353567228313,-0.0007850353567228313,-0.0008048273839754943
2014-01-21,0.0006617580937555464,0.00046175809375554645,0.0004419660665028834
2014-01-22,0.00022793892510306388,2.7938925103063872e-05,8.146897850400825e-06
2014-01-23,0.0009738004795408178,0.0007738004795408178,0.0007540084522881548
2014-01-24,-0.00025264225260689143,-0.0004526422526068914,-0.00047243427985955446
2014-01-27,0.0001722771073908996,-2.772289260910042e-05,-4.751491986176347e-05
2014-01-28,-0.0027049145983880484,-0.0029049145983880485,-0.0029247066256407116
2014-01-29,-0.00010092426303639904,-0.000300924263036399,-0.00032071629028906207
2014-01-30,0.0012664591475769799,0.0010664591475769798,0.0010466671203243167
2014-01-31,0.0009620546534427947,0.0007620546534427947,0.0007422626261901317
2014-02-03,0.0006505347264726637,0.00045053472647266376,0.0004307426992200007
2014-02-04,-0.0015371756713152436,-0.0017371756713152437,-0.0017569676985679068
2014-02-05,-0.0001316298032267305,-0.0003316298032267305,-0.00035142183047939357
2014-02-06,-0.0007833215095616572,-0.0009833215095616573,-0.0010031135368143203
2014-02-07,-0.00010532887002313447,-0.0003053288700231345,-0.00032512089727579753
2014-02-10,0.0006441388667658656,0.00044413886676586563,0.0004243468395132026
2014-02-11,0.0006598839409529544,0.00045988394095295446,0.0004400919137002914
2014-02-12,-0.0020888657901295205,-0.0022888657901295206,-0.0023086578173821836
2014-02-13,-0.001006417637541153,-0.0012064176375411531,-0.0012262096647938162
2014-02-14,-0.00040851870639586245,-0.0006085187063958624,-0.0006283107336485255
2014-02-18,-6.313102169290259e-05,-0.00026313102169290257,-0.0002829230489455656
2014-02-19,0.003557556038436034,0.003357556038436034,0.003337764011183371
2014-02-20,0.004092808745578727,0.003892808745578727,0.003873016718326064
2014-02-21,-0.0016467589042440528,-0.001846758904244053,-0.001866550931496716
2014-02-24,-0.00011186196582699259,-0.0003118619658269926,-0.0003316539930796556
2014-03-14,0.0001460448534963854,-5.395514650361461e-05,-7.374717375627766e-05
2014-03-17,0.0005155114649832917,0.00031551146498329176,0.0002957194377306287
2014-03-18,0.00044148396559655904,0.00024148396559655903,0.00022169193834389598
2014-03-19,0.001168681523954925,0.000968681523954925,0.000948889496702262
2014-03-20,0.0005766473521161658,0.0003766473521161658,0.00035685532486350274
2014-03-21,-0.0015664323940554523,-0.0017664323940554524,-0.0017862244213081154
2014-03-24,0.0018150246737251134,0.0016150246737251133,0.0015952326464724503
2014-03-25,0.0013655681713183932,0.0011655681713183931,0.00114577614406573
2014-03-26,0.00013000014539723292,-6.999985460276708e-05,-8.979188185543013e-05
2014-03-27,-0.000512354191711857,-0.000712354191711857,-0.00073214621896452
2014-03-28,-0.00040199306496680083,-0.0006019930649668008,-0.0006217850922194639
2014-03-31,-0.0027632969740731816,-0.0029632969740731817,-0.0029830890013258448
2014-04-01,-0.0004762968905280471,-0.0006762968905280471,-0.0006960889177807101
2014-04-02,0.0008629511177947246,0.0006629511177947247,0.0006431590905420616
2014-04-03,-0.0009914937983946676,-0.0011914937983946677,-0.0012112858256473308
2014-04-04,-0.002664297950449724,-0.002864297950449724,-0.002884089977702387
2014-04-07,-0.0011787151986494186,-0.0013787151986494187,-0.0013985072259020818
2014-04-08,-8.565314024681576e-05,-0.00028565314024681576,-0.0003054451674994788
2014-04-09,0.0024509801796363142,0.002250980179636314,0.002231188152383651
2014-04-10,-0.003669070524516083,-0.003869070524516083,-0.003888862551768746
2014-04-11,-0.0010063645027281747,-0.0012063645027281748,-0.0012261565299808378
2014-04-14,0.0012833001374916086,0.0010833001374916085,0.0010635081102389455
2014-04-15,0.0007848320632072848,0.0005848320632072849,0.0005650400359546218
2014-04-16,0.0010904780362762305,0.0008904780362762305,0.0008706860090235674
2014-04-17,-0.0004885756308052934,-0.0006885756308052934,-0.0007083676580579564
2014-04-21,0.0013742746676009352,0.0011742746676009351,0.001154482640348272
2014-04-22,-7.371403392435801e-05,-0.000273714033924358,-0.00029350606117702104
2014-04-23,0.0005981070132923903,0.0003981070132923903,0.00037831498603972723
2014-04-24,0.0037065060670120552,0.003506506067012055,0.003486714039759392
2014-04-25,0.0004233117825191232,0.00022331178251912317,0.00020351975526646012
2014-04-28,-0.0004910072547957609,-0.0006910072547957609,-0.0007107992820484239
2014-04-29,0.0026500041908425697,0.0024500041908425696,0.0024302121635899065
2014-04-30,-0.0017662097391377238,-0.0019662097391377237,-0.0019860017663903867
2014-05-01,0.0015316910777119636,0.0013316910777119635,0.0013118990504593004
2014-05-02,-0.0012807484950990561,-0.0014807484950990562,-0.0015005405223517192
2014-05-05,0.0011445151681608887,0.0009445151681608887,0.0009247231409082256
2014-05-06,-0.0009281663932748305,-0.0011281663932748306,-0.0011479584205274936
2014-05-07,-0.0017164850404619973,-0.0019164850404619974,-0.0019362770677146604
2014-05-08,0.000996375724847339,0.0007963757248473389,0.0007765836975946759
2014-05-09,0.0010723417674260568,0.0008723417674260568,0.0008525497401733938
2014-05-12,-0.0013901944671920912,-0.0015901944671920913,-0.0016099864944447543
2014-05-13,0.000912995109897777,0.000712995109897777,0.0006932030826451139
2014-05-14,-0.002072333087166388,-0.002272333087166388,-0.002292125114419051
2014-05-15,-0.003614430249715095,-0.003814430249715095,-0.003834222276967758
2014-05-16,0.001977679058938348,0.001777679058938348,0.001757887031685685
2014-05-19,-0.0014004303897700188,-0.001600430389770019,-0.001620222417022682
2014-05-20,0.005374073205661001,0.005174073205661002,0.005154281178408339
2014-05-21,0.0012314098709703106,0.0010314098709703105,0.0010116178437176474
2014-05-22,-0.006060583509366746,-0.006260583509366746,-0.006280375536619409
2014-05-23,-0.0020998754232580074,-0.0022998754232580075,-0.0023196674505106705
2014-06-13,6.439656025552674e-05,-0.00013560343974447327,-0.0001553954669971363
