period,rate_stressed,n_stressed,rate_calm,sb_stressed,sb_calm,flow_stressed,flow_calm
2020-12-31,0.07258064516129033,124,0.5,0.28931829284331473,0.49049833563365786,0.0739084813151252,-0.035897581420878066
2021-03-31,0.15702479338842976,121,0.0,0.37723431099729576,0.3346333340917762,-0.0018334541630204027,0.043834267283552386
2021-09-30,0.14685314685314685,143,0.0,0.31823763142966466,0.22991589260325754,-0.01701512653941834,0.006921192793788962
2021-12-31,0.1875,144,0.0,0.34169027389658463,0.3223081967463123,0.022099122398397494,-0.03688722427956067
2022-03-31,0.1569767441860465,172,0.0,0.378237045246335,0.12900296763000502,-0.05262829615788706,0.02826797002110955
2022-06-30,0.10614525139664804,179,0.0,0.3219162876086914,0.27980056158107175,-0.030531215977298583,-0.02801922194662711
2022-09-30,0.1518987341772152,158,0.0,0.33372790881128295,0.37185233052614025,-0.039057395753691576,0.029496583551962663
2022-12-31,0.1111111111111111,171,,0.46397474924711996,,-0.018419623901266505,
2023-03-31,0.08130081300813008,123,0.0,0.3495819882604182,0.4889756944444444,0.00645449613776013,0.048358823585395116
2023-06-30,0.09195402298850575,174,0.0,0.31865385957330544,0.23037917286860704,0.012825392939767224,0.09210981556491331
2023-09-30,0.10194174757281553,206,0.3333333333333333,0.33009350539254256,0.4734868249679027,-0.02918477566450905,-0.06686592157024218
2023-12-31,0.12831858407079647,226,0.0,0.38728712429321616,0.11522674440566508,0.0422897818640842,0.09815152844121337
2024-03-31,0.09210526315789473,228,0.0,0.34722751434309623,0.2492103625499184,0.00575908169307233,0.02759491345210134
2024-06-30,0.11428571428571428,280,0.16666666666666666,0.34641551746581606,0.35746134809559843,-0.021488440064137027,-0.018668487442450903
2024-09-30,0.125,280,,0.3530905004566813,,-0.02468578979738353,
2024-12-31,0.09917355371900827,242,,0.3612423748607494,,0.0021407146052022093,
2025-03-31,0.1459227467811159,233,0.0,0.40129953665670837,0.4804140519256799,-0.042337777478830906,-0.06918589422779083
2025-06-30,0.11392405063291139,158,0.0,0.3626353274561648,0.28973257721928136,0.0152640513555086,0.12428705324266393
2025-09-30,0.13106796116504854,206,,0.3849901150859457,,-0.01419998921974399,
