period_end,available_date,entry_date,exit_date,horizon,n_names,ic,spread_gross,spread_net,signal_name
2016-06-30,2016-09-08,2016-09-09,2016-09-16,5,38,0.2156691104059525,0.007203645708144706,0.003203645708144706,quality_reversal
2016-06-30,2016-09-08,2016-09-09,2016-10-10,21,38,0.07035780719991247,0.00178709464500542,-0.00221290535499458,quality_reversal
2016-06-30,2016-09-08,2016-09-09,2016-12-08,63,38,0.07167086114454536,0.024673874674532553,0.020673874674532553,quality_reversal
2016-06-30,2016-09-08,2016-09-09,2017-03-13,126,38,0.17977896925265346,0.034993822262654586,0.030993822262654586,quality_reversal
2016-09-30,2016-12-09,2016-12-12,2016-12-19,5,38,0.49250465039938723,0.017675144416765223,0.013675144416765223,quality_reversal
2016-09-30,2016-12-09,2016-12-12,2017-01-12,21,38,-0.2994857205383521,-0.013545843402291386,-0.017545843402291386,quality_reversal
2016-09-30,2016-12-09,2016-12-12,2017-03-15,63,38,-0.12222343801291169,-0.02600169628425003,-0.03000169628425003,quality_reversal
2016-09-30,2016-12-09,2016-12-12,2017-06-14,126,38,-0.1101871101871102,-0.03856262526501478,-0.04256262526501478,quality_reversal
2016-12-31,2017-03-11,2017-03-13,2017-03-20,5,38,0.24543166648429807,0.008612818528904402,0.004612818528904402,quality_reversal
2016-12-31,2017-03-11,2017-03-13,2017-04-11,21,38,0.3399715504978663,0.013834192196607975,0.009834192196607975,quality_reversal
2016-12-31,2017-03-11,2017-03-13,2017-06-12,63,38,0.21085457927563186,0.019133058047080986,0.015133058047080986,quality_reversal
2016-12-31,2017-03-11,2017-03-13,2017-09-11,126,38,0.1911587701061385,0.03797466214162232,0.033974662141622314,quality_reversal
2017-03-31,2017-06-09,2017-06-12,2017-06-19,5,38,-0.19444140496772075,-0.004204716648936908,-0.008204716648936908,quality_reversal
2017-03-31,2017-06-09,2017-06-12,2017-07-12,21,38,-0.04847357478936427,-0.0031749690522688044,-0.0071749690522688045,quality_reversal
2017-03-31,2017-06-09,2017-06-12,2017-09-11,63,38,-0.2745376955903272,-0.028925638936509474,-0.032925638936509474,quality_reversal
2017-03-31,2017-06-09,2017-06-12,2017-12-08,126,38,0.09267972425867164,0.007976383291156797,0.003976383291156797,quality_reversal
2017-06-30,2017-09-08,2017-09-11,2017-09-18,5,38,0.11522048364153627,-0.000992645725589849,-0.004992645725589849,quality_reversal
2017-06-30,2017-09-08,2017-09-11,2017-10-10,21,38,0.25637378268957217,0.007202110471596086,0.003202110471596086,quality_reversal
2017-06-30,2017-09-08,2017-09-11,2017-12-08,63,38,0.2968596126490863,0.019525232031426365,0.015525232031426365,quality_reversal
2017-06-30,2017-09-08,2017-09-11,2018-03-13,126,38,0.3056133056133056,0.01185212027606762,0.00785212027606762,quality_reversal
2017-09-30,2017-12-09,2017-12-11,2017-12-18,5,38,0.022869022869022867,0.003790436141258369,-0.00020956385874163104,quality_reversal
2017-09-30,2017-12-09,2017-12-11,2018-01-11,21,38,-0.17912244228033702,0.022452965021381242,0.018452965021381242,quality_reversal
2017-09-30,2017-12-09,2017-12-11,2018-03-14,63,38,0.22070248386037858,0.03225101868037475,0.02825101868037475,quality_reversal
2017-09-30,2017-12-09,2017-12-11,2018-06-13,126,38,0.3603238866396761,0.06292392107812321,0.058923921078123206,quality_reversal
2017-12-31,2018-03-11,2018-03-12,2018-03-19,5,38,0.22070248386037858,0.0036953225983344766,-0.0003046774016655235,quality_reversal
2017-12-31,2018-03-11,2018-03-12,2018-04-11,21,38,0.000547105810263705,-0.0070792187428791245,-0.011079218742879125,quality_reversal
2017-12-31,2018-03-11,2018-03-12,2018-06-11,63,38,0.06444906444906445,0.016336274048005958,0.012336274048005958,quality_reversal
2017-12-31,2018-03-11,2018-03-12,2018-09-10,126,38,0.14279461647882702,0.05923584256635908,0.05523584256635908,quality_reversal
2018-03-31,2018-06-09,2018-06-11,2018-06-18,5,38,-0.046503993872414925,0.0020121756075040433,-0.0019878243924959568,quality_reversal
2018-03-31,2018-06-09,2018-06-11,2018-07-11,21,38,-0.05722726775358354,0.002991041407813113,-0.001008958592186887,quality_reversal
2018-03-31,2018-06-09,2018-06-11,2018-09-10,63,38,-0.13272786956997482,-0.008318117598090854,-0.012318117598090855,quality_reversal
2018-03-31,2018-06-09,2018-06-11,2018-12-10,126,38,-0.10471605208447313,-0.01766971100331946,-0.02166971100331946,quality_reversal
2018-06-30,2018-09-08,2018-09-10,2018-09-17,5,38,-0.029434292592187328,0.0025372532327658476,-0.0014627467672341525,quality_reversal
2018-06-30,2018-09-08,2018-09-10,2018-10-09,21,38,-0.011489222015537806,0.011300689018063024,0.007300689018063024,quality_reversal
2018-06-30,2018-09-08,2018-09-10,2018-12-10,63,38,0.01783564941459678,0.0399213824056627,0.0359213824056627,quality_reversal
2018-06-30,2018-09-08,2018-09-10,2019-03-13,126,38,-0.05591421380895065,0.030735625124972757,0.026735625124972757,quality_reversal
2018-09-30,2018-12-09,2018-12-10,2018-12-17,5,40,0.20393996247654786,0.005922760862648188,0.001922760862648188,quality_reversal
2018-09-30,2018-12-09,2018-12-10,2019-01-10,21,40,0.4181988742964353,0.01360473707988491,0.00960473707988491,quality_reversal
2018-09-30,2018-12-09,2018-12-10,2019-03-13,63,40,0.24146341463414636,0.008616867175587989,0.004616867175587989,quality_reversal
2018-09-30,2018-12-09,2018-12-10,2019-06-12,126,40,-0.14484052532833022,-0.014315131987585272,-0.018315131987585272,quality_reversal
2018-12-31,2019-03-11,2019-03-12,2019-03-19,5,40,-0.12288930581613511,-0.0028867406222100322,-0.006886740622210032,quality_reversal
2018-12-31,2019-03-11,2019-03-12,2019-04-10,21,40,-0.16566604127579737,-0.003967685448217781,-0.007967685448217781,quality_reversal
2018-12-31,2019-03-11,2019-03-12,2019-06-11,63,40,-0.04709193245778612,0.007516005273944332,0.0035160052739443316,quality_reversal
2018-12-31,2019-03-11,2019-03-12,2019-09-10,126,40,0.0001876172607879925,0.015554331402878263,0.011554331402878263,quality_reversal
2019-03-31,2019-06-09,2019-06-10,2019-06-17,5,40,0.04915572232645404,-9.12661050333774e-05,-0.0040912661050333775,quality_reversal
2019-03-31,2019-06-09,2019-06-10,2019-07-10,21,40,-0.11707317073170734,-0.004069329490846346,-0.008069329490846346,quality_reversal
2019-03-31,2019-06-09,2019-06-10,2019-09-09,63,40,0.039024390243902446,-0.004011429552143966,-0.008011429552143966,quality_reversal
2019-03-31,2019-06-09,2019-06-10,2019-12-06,126,40,0.1153846153846154,0.004643583305788762,0.000643583305788762,quality_reversal
2019-06-30,2019-09-08,2019-09-09,2019-09-16,5,40,0.31417983992535026,0.009999801369235548,0.0059998013692355474,quality_reversal
2019-06-30,2019-09-08,2019-09-09,2019-10-08,21,40,-0.16416510318949346,-0.011781839769619773,-0.015781839769619773,quality_reversal
2019-06-30,2019-09-08,2019-09-09,2019-12-06,63,40,0.04840525328330207,0.010919333273113119,0.006919333273113119,quality_reversal
2019-06-30,2019-09-08,2019-09-09,2020-03-10,126,40,-0.20506566604127585,-0.03279027183737729,-0.03679027183737729,quality_reversal
2019-09-30,2019-12-09,2019-12-10,2019-12-17,5,40,0.13433395872420265,0.004739481813610419,0.0007394818136104188,quality_reversal
2019-09-30,2019-12-09,2019-12-10,2020-01-10,21,40,-0.21257035647279554,-0.00916474748927193,-0.01316474748927193,quality_reversal
2019-09-30,2019-12-09,2019-12-10,2020-03-12,63,40,-0.38405253283302065,-0.06909300637606086,-0.07309300637606087,quality_reversal
2019-09-30,2019-12-09,2019-12-10,2020-06-11,126,40,-0.32589118198874306,-0.07116194010067547,-0.07516194010067548,quality_reversal
2019-12-31,2020-03-10,2020-03-11,2020-03-18,5,40,0.09118198874296438,0.03523421202379945,0.03123421202379945,quality_reversal
2019-12-31,2020-03-10,2020-03-11,2020-04-09,21,40,0.10056285178236399,0.027780837050247545,0.023780837050247545,quality_reversal
2019-12-31,2020-03-10,2020-03-11,2020-06-10,63,40,-0.02363977485928706,-0.0036347112967581308,-0.007634711296758131,quality_reversal
