period_end,available_date,entry_date,exit_date,horizon,n_names,ic,spread_gross,spread_net,signal_name
2016-12-31,2017-03-11,2017-03-13,2017-09-11,126,38,0.06795054163475216,0.032412179709298536,0.028412179709298536,run_prone_reversal
2017-03-31,2017-06-09,2017-06-12,2017-06-19,5,38,-0.15286136338767917,-0.004554895017426642,-0.008554895017426643,run_prone_reversal
2017-03-31,2017-06-09,2017-06-12,2017-07-12,21,38,0.021337126600284494,-0.00873002002428891,-0.01273002002428891,run_prone_reversal
2017-03-31,2017-06-09,2017-06-12,2017-09-11,63,38,-0.20231972863551811,-0.051790427301967534,-0.05579042730196754,run_prone_reversal
2017-03-31,2017-06-09,2017-06-12,2017-12-08,126,38,0.15636284057336688,-0.00044370383059352814,-0.004443703830593528,run_prone_reversal
2017-06-30,2017-09-08,2017-09-11,2017-09-18,5,38,0.020461757303862568,-0.0031586310092342387,-0.007158631009234239,run_prone_reversal
2017-06-30,2017-09-08,2017-09-11,2017-10-10,21,38,0.1758398074187548,0.004829315156058778,0.0008293151560587776,run_prone_reversal
2017-06-30,2017-09-08,2017-09-11,2017-12-08,63,38,0.30714520188204397,0.030684271773275408,0.026684271773275408,run_prone_reversal
2017-06-30,2017-09-08,2017-09-11,2018-03-13,126,38,0.4563956669219827,0.04038933637369621,0.03638933637369621,run_prone_reversal
2017-09-30,2017-12-09,2017-12-11,2017-12-18,5,38,-0.01214574898785425,-0.003186485224466438,-0.007186485224466438,run_prone_reversal
2017-09-30,2017-12-09,2017-12-11,2018-01-11,21,38,-0.31896268738374,0.0008728494807654225,-0.0031271505192345776,run_prone_reversal
2017-09-30,2017-12-09,2017-12-11,2018-03-14,63,38,-0.006893533209322683,-0.007681105615911305,-0.011681105615911305,run_prone_reversal
2017-09-30,2017-12-09,2017-12-11,2018-06-13,126,38,0.36360652150125833,0.027524774574612616,0.023524774574612616,run_prone_reversal
2017-12-31,2018-03-11,2018-03-12,2018-03-19,5,38,0.10602910602910603,0.005905112775704047,0.0019051127757040466,run_prone_reversal
2017-12-31,2018-03-11,2018-03-12,2018-04-11,21,38,0.24193018929861035,0.017031179269949445,0.013031179269949445,run_prone_reversal
2017-12-31,2018-03-11,2018-03-12,2018-06-11,63,38,0.11762774920669658,-0.006220549563329815,-0.010220549563329816,run_prone_reversal
2017-12-31,2018-03-11,2018-03-12,2018-09-10,126,38,0.06072874493927125,-0.026438329083083523,-0.030438329083083523,run_prone_reversal
2018-03-31,2018-06-09,2018-06-11,2018-06-18,5,38,-0.07823613086770981,-0.0029931365295648845,-0.006993136529564885,run_prone_reversal
2018-03-31,2018-06-09,2018-06-11,2018-07-11,21,38,-0.07298391508917824,-0.006312989432415048,-0.010312989432415048,run_prone_reversal
2018-03-31,2018-06-09,2018-06-11,2018-09-10,63,38,-0.07867381551592079,-0.006681709421520053,-0.010681709421520053,run_prone_reversal
2018-03-31,2018-06-09,2018-06-11,2018-12-10,126,38,0.009300798774482985,0.0024879663615327563,-0.0015120336384672438,run_prone_reversal
2018-06-30,2018-09-08,2018-09-10,2018-09-17,5,38,-0.026808184702921543,-0.0016103169747588375,-0.005610316974758838,run_prone_reversal
2018-06-30,2018-09-08,2018-09-10,2018-10-09,21,38,0.002954371375424007,0.0029208867422276163,-0.0010791132577723838,run_prone_reversal
2018-06-30,2018-09-08,2018-09-10,2018-12-10,63,38,0.07626654995076047,0.025730906896856073,0.021730906896856073,run_prone_reversal
2018-06-30,2018-09-08,2018-09-10,2019-03-13,126,38,0.00886311412627202,0.004400526280352351,0.0004005262803523507,run_prone_reversal
2018-09-30,2018-12-09,2018-12-10,2018-12-17,5,40,0.19549718574108818,0.011695073554632368,0.007695073554632368,run_prone_reversal
2018-09-30,2018-12-09,2018-12-10,2019-01-10,21,40,0.46829268292682935,0.03140038969839472,0.027400389698394718,run_prone_reversal
2018-09-30,2018-12-09,2018-12-10,2019-03-13,63,40,0.3440900562851783,0.0233965134296506,0.0193965134296506,run_prone_reversal
2018-09-30,2018-12-09,2018-12-10,2019-06-12,126,40,-0.12626641651031897,0.008236991900541057,0.004236991900541057,run_prone_reversal
2018-12-31,2019-03-11,2019-03-12,2019-03-19,5,40,-0.07335834896810507,-0.0011759705237771312,-0.005175970523777131,run_prone_reversal
2018-12-31,2019-03-11,2019-03-12,2019-04-10,21,40,-0.13677298311444655,-0.006930195342168502,-0.010930195342168502,run_prone_reversal
2018-12-31,2019-03-11,2019-03-12,2019-06-11,63,40,-0.03583489681050657,0.0015376349544819756,-0.0024623650455180245,run_prone_reversal
2018-12-31,2019-03-11,2019-03-12,2019-09-10,126,40,0.03433395872420263,0.0076046901499233766,0.0036046901499233765,run_prone_reversal
2019-03-31,2019-06-09,2019-06-10,2019-06-17,5,40,0.02401500938086304,-0.00022546269206054348,-0.0042254626920605436,run_prone_reversal
2019-03-31,2019-06-09,2019-06-10,2019-07-10,21,40,-0.125328330206379,-0.0014460496532492373,-0.005446049653249237,run_prone_reversal
2019-03-31,2019-06-09,2019-06-10,2019-09-09,63,40,0.01988742964352721,0.011054178987128904,0.007054178987128904,run_prone_reversal
2019-03-31,2019-06-09,2019-06-10,2019-12-06,126,40,0.13133208255159476,0.016017794568692456,0.012017794568692456,run_prone_reversal
