horizon,n_events,n_names_median,ic_mean,ic_t_nw,spread_gross_mean,spread_net_mean,spread_net_t_nw,spread_net_sharpe_ann,positive_share,signal_name,sample
5,51,40.0,0.03788788479307492,1.291251336034076,0.0017754194515988782,-0.0022245805484011217,-2.2879653836848255,-2.3211655928571218,0.3333333333333333,raw_reversal,full
21,51,40.0,0.026437648198089896,1.018276124623865,0.0025809573991659594,-0.0014190426008340415,-0.8836678842682968,-0.4134334755149996,0.45098039215686275,raw_reversal,full
63,50,40.0,0.03852753802168587,1.4880316271383782,0.004916489661713049,0.0009164896617130485,0.21893449916513769,0.06126620790291028,0.48,raw_reversal,full
126,49,40.0,0.059963232917831955,1.9397620132580318,0.0103270664487916,0.006327066448791597,1.0354286139494873,0.2105676040581181,0.5918367346938775,raw_reversal,full
5,34,38.0,0.07935181079280977,2.2361368150449685,0.0034319774572943635,-0.0005680225427056366,-0.5005987108097218,-0.587067468895743,0.47058823529411764,raw_reversal,pre_2022
21,34,38.0,0.04769090558264417,1.479282712710888,0.004568036950505601,0.0005680369505056002,0.28453333492147076,0.15490318239583645,0.5294117647058824,raw_reversal,pre_2022
63,34,38.0,0.06808978997860136,2.145375390039095,0.008912136379237226,0.004912136379237228,0.9062932282110167,0.29829751320839465,0.5882352941176471,raw_reversal,pre_2022
126,34,38.0,0.09027597299892098,2.2467311653985904,0.013483963869169968,0.009483963869169968,1.1995183538268834,0.2876457443126712,0.6764705882352942,raw_reversal,pre_2022
5,17,41.0,-0.04503996720639476,-1.1390596405101026,-0.0015376965597920919,-0.005537696559792092,-4.400461463097756,-7.194935544223649,0.058823529411764705,raw_reversal,post_2021
21,17,41.0,-0.016068866571018654,-0.36750007699738846,-0.0013932017035133244,-0.005393201703513324,-2.344964218862885,-2.040935275991077,0.29411764705882354,raw_reversal,post_2021
63,16,41.0,-0.024292247386759586,-0.6294183759820642,-0.0035742596130258287,-0.007574259613025829,-1.4223845460875735,-0.7351384876098348,0.25,raw_reversal,post_2021
126,15,41.0,-0.008745644599303137,-0.22899799362266757,0.0031714322959339636,-0.0008285677040660373,-0.09595914377954527,-0.03729486616748062,0.4,raw_reversal,post_2021
5,50,40.0,0.03960157281156719,1.4200233364404562,0.00235763265431769,-0.0016423673456823099,-1.5642686305722373,-1.5298340455635528,0.34,quality_reversal,full
21,50,40.0,0.01789657720632575,0.6761559648017563,0.002773126319269613,-0.001226873680730388,-0.8527810375023389,-0.38135635523557787,0.4,quality_reversal,full
63,49,40.0,0.04000915429348162,1.4528386641279467,0.006151689948776885,0.0021516899487768835,0.5614109254276738,0.14903651814218496,0.5510204081632653,quality_reversal,full
126,48,40.0,0.06299169613090173,1.990581164096258,0.011051670491991286,0.007051670491991284,1.2170401445173173,0.23712631636148426,0.5833333333333334,quality_reversal,full
5,33,38.0,0.0842131316488216,2.575432281995687,0.003980624386678484,-1.9375613321516712e-05,-0.01479639577520705,-0.01735863318873414,0.36363636363636365,quality_reversal,pre_2022
21,33,38.0,0.03857732899490809,1.1428185058483096,0.004151790910501777,0.00015179091050177658,0.07750374191292286,0.042026899485048425,0.45454545454545453,quality_reversal,pre_2022
63,33,38.0,0.06991328654093887,2.1374155297421082,0.010701117913813197,0.0067011179138131965,1.3520175302766095,0.4279787085379193,0.6666666666666666,quality_reversal,pre_2022
126,33,38.0,0.09259567161855162,2.23983251047853,0.014991159458698807,0.010991159458698805,1.4282073233629515,0.3284636926804619,0.6363636363636364,quality_reversal,pre_2022
5,17,41.0,-0.0469973355195737,-1.2643425038110134,-0.0007928807085003204,-0.00479288070850032,-4.002916129191058,-5.6453377592298715,0.29411764705882354,quality_reversal,post_2021
21,17,41.0,-0.022248411559745853,-0.5587388756970733,9.689505393658766e-05,-0.0039031049460634126,-2.5987855394836687,-1.810746182032105,0.29411764705882354,quality_reversal,post_2021
63,16,41.0,-0.02166811846689895,-0.48778910357462296,-0.0032315052291105066,-0.0072315052291105075,-1.7987305018134199,-0.6922512147875061,0.3125,quality_reversal,post_2021
126,15,41.0,-0.0021370499419279903,-0.055194945332483515,0.002384794765234737,-0.001615205234765264,-0.23774697021943492,-0.08621526043894619,0.4666666666666667,quality_reversal,post_2021
5,50,40.0,0.001613145699134917,0.06513486041680261,0.0005507084186605343,-0.003449291581339466,-3.3114085810418237,-3.4230913292352803,0.32,specialist_reversal,full
21,50,40.0,-0.012231775775383723,-0.5306440600933793,0.0009405172474229937,-0.0030594827525770056,-2.244028866774795,-1.0825860741424012,0.38,specialist_reversal,full
63,49,40.0,-0.013571703363537939,-0.7465864022094465,-0.0009718331745426966,-0.004971833174542697,-1.529931491757956,-0.42386368771492017,0.3877551020408163,specialist_reversal,full
126,48,40.0,-0.00911782543729611,-0.399743753632803,0.0041323894510539,0.00013238945105389804,0.025459128418410238,0.004578907848924118,0.5,specialist_reversal,full
5,33,38.0,0.00329412319528943,0.0970995225533034,0.001132884568388646,-0.0028671154316113542,-2.3767131952430294,-3.1110381018281754,0.3333333333333333,specialist_reversal,pre_2022
21,33,38.0,-0.021352125686491023,-0.6915449852219365,0.001274361643631765,-0.002725638356368235,-1.4697315179729247,-0.8678283535064549,0.3939393939393939,specialist_reversal,pre_2022
63,33,38.0,-0.0061935238519094105,-0.2692538490417661,0.001441860926203959,-0.0025581390737960427,-0.5844764808880414,-0.19180376273229235,0.45454545454545453,specialist_reversal,pre_2022
126,33,38.0,0.009797575417148019,0.33818233690030314,0.00744820924225136,0.0034482092422513577,0.5404533597933627,0.1145142502872914,0.5151515151515151,specialist_reversal,pre_2022
5,17,41.0,-0.0016499282639885302,-0.050107582784212915,-0.0005793982249293298,-0.0045793982249293305,-2.2236989233020386,-3.9123102388848263,0.29411764705882354,specialist_reversal,post_2021
21,17,41.0,0.005472432875589267,0.16427510291387004,0.00029246636066479075,-0.0037075336393352096,-2.059373807745196,-1.7148295217235596,0.35294117647058826,specialist_reversal,post_2021
63,16,41.0,-0.028789198606271778,-0.979882985047237,-0.005950077257332673,-0.009950077257332674,-2.731019871573789,-1.3934905054658044,0.25,specialist_reversal,post_2021
126,15,41.0,-0.05073170731707318,-1.590353627802443,-0.003162414089580513,-0.007162414089580517,-0.8248010569441674,-0.2721804679407783,0.4666666666666667,specialist_reversal,post_2021
5,47,40.0,0.022617316999134694,0.7367126155209771,0.0002644745063406655,-0.003735525493659334,-3.517813284177423,-3.791780974042144,0.3404255319148936,run_prone_reversal,full
21,47,40.0,0.010504789426210765,0.3973312852381654,0.0014494717026737587,-0.002550528297326242,-1.569726156845568,-0.7347360813439303,0.3829787234042553,run_prone_reversal,full
63,46,40.0,0.009031764057717063,0.34170566254153734,-0.00021096985360515895,-0.004210969853605161,-1.044530669831197,-0.3056363008415144,0.45652173913043476,run_prone_reversal,full
