period,spread_A,spread_B,ic_A,ic_B,aum_share_etf,votes_changed
2013-09-30,0.026767099036057382,0.03154220749833999,0.04136503961245269,0.047383123378275806,0.04417123153210485,0.16115261472785486
2013-12-31,0.01395092820101591,0.017765167758042443,0.04523362784927643,0.05102165468476207,0.04922708641941662,0.1774891774891775
2014-03-31,-0.004471218610696208,-0.0006279238611565721,0.019128863581560067,0.018711222339860244,0.04955792972644633,0.150749063670412
2014-06-30,0.017727475653438036,0.01681350351859359,0.02440745730249277,0.024560242685993567,0.045022402388186764,0.15918367346938775
2014-09-30,-0.00844853669430469,-0.008577959347986337,-0.03565409636626989,-0.026958737696666225,0.04641712867476326,0.1506849315068493
2014-12-31,0.004279788658026661,0.00552174973312166,0.01770701468288846,-0.0010531393628344658,0.05116091117879829,0.19102296450939457
2015-03-31,0.009520241832036787,0.031122641343148,0.022296912595017898,0.03625682074917894,0.05481577865373795,0.1848013816925734
2015-06-30,0.015113747712379416,0.01273489493616868,-0.012027060570878502,-0.02224936816298414,0.12462908714661473,0.15921787709497207
2015-09-30,-0.002030924599280143,-0.0015793556627866079,0.036189452950129826,0.03322147425864733,0.07170354927621843,0.19640971488912354
2015-12-31,-0.02622866749841432,-0.027872695700639216,-0.09464331255882397,-0.10271185550380765,0.06760871074890977,0.20222446916076844
2016-03-31,-0.02939087624050836,-0.02827310124499756,-0.12852218300257814,-0.12118496834705883,0.0695779801119659,0.2367303609341826
2016-06-30,0.0036521263799812846,-0.011197731028956003,-0.047463656459,-0.054096162683799714,0.05847465890663868,0.20092915214866433
2016-09-30,-0.005348999438628682,0.0004994660360826131,0.0024263990067358854,0.0026575234774034455,0.06694467198391116,0.2109617373319545
2016-12-31,-0.010318678761699125,-0.007004080930243885,-0.030863648004109914,-0.025052571053703895,0.07632013242240375,0.22343096234309623
2017-03-31,0.003791240629585288,-0.0010821411951964337,-0.005912118612685332,-0.003438427247542574,0.07950749703479502,0.22755013077593722
2017-06-30,0.049195991009606824,0.045725685774989866,0.07323386461057566,0.08113365168934272,0.07940140000113241,0.21369102682701202
2017-09-30,0.027099472971888167,0.025225459942364456,0.08545795287470065,0.0585641856780335,0.08433488755165261,0.21083743842364533
2017-12-31,-0.005886147003206683,0.006776062547106297,-0.02818713587009806,-0.023036580425948278,0.1003307281455827,0.2786352558895207
2018-03-31,0.021240012782064173,-0.005776472213253302,0.021083398791360522,0.021334069692266547,0.10292260783428558,0.23184152604548788
2018-06-30,0.00616936418789045,0.007303790864717871,0.04083170580986703,0.04274144368291042,0.10383084608816662,0.2322530864197531
2018-09-30,0.017910309704125105,0.0018221846645872924,-0.012480434285396361,-0.01818678512436423,0.11064408912848242,0.2727272727272727
2018-12-31,0.026387575794743476,0.028685331108891078,0.06675255137027307,0.058527661251172834,0.12204957969435902,0.2805573147561748
