period,factor,P_aum,P_ew,dispersion,breadth_pos,hhi_pos
2013-09-30,size,1.512212563658485,1.5818801779128404,0.3557078555763223,1.0,0.04745607887652245
2013-09-30,mom,0.02103646567064639,0.030161041789080165,0.2670071097570461,0.01856735490454176,0.07987684074700233
2013-09-30,beta,0.8708776260871128,0.8677541891444825,0.19548441733659827,0.9987570717845091,0.04807583369587577
2013-09-30,lowvol,0.7927511488945582,0.7822239133292073,0.16306193160405977,0.9908329897537409,0.04949868759816673
2013-09-30,strev,-0.2486038136544933,-0.2462355066673275,0.18918089054911602,0.001521697998124758,0.07000766386245155
2013-09-30,liq,1.3930086294958377,1.3347031623493422,0.2593378514747799,0.9982258852994393,0.05082978774268302
2013-12-31,size,1.2638719427518867,1.3299071946965444,0.36144794429406285,1.0,0.04967947434394124
2013-12-31,mom,0.17116756754978268,0.17164220388923307,0.2532831472700086,0.02063668928527519,0.06066579324476173
2013-12-31,beta,0.7152464472483439,0.7100522671204577,0.2013451912582648,0.9606611987373062,0.05095743413925465
2013-12-31,lowvol,1.4433188651742812,1.4299883251257925,0.16658757567659352,0.9993634671381062,0.04982779044063421
2013-12-31,strev,0.6178779520434398,0.6252930608798729,0.1453447207889128,0.971800474833606,0.04881511948393055
2013-12-31,liq,1.2647661331808262,1.215862920746378,0.26556736506334033,0.9960682111694152,0.05239017582462465
2014-03-31,size,1.5732712157731246,1.657813691819621,0.36938360290679473,0.9999999999999999,0.053417697191001166
2014-03-31,mom,-1.109165853457902,-1.0955138769872703,0.25566876587084675,0.001817344289492872,0.2572433419968402
2014-03-31,beta,0.28230471372149823,0.29018545519380157,0.20679027741682773,0.05648781183389665,0.051390611586653916
2014-03-31,lowvol,1.573547810095369,1.5451960904552782,0.17851481260999788,0.9993466032919083,0.05590093943654009
2014-03-31,strev,-0.07044149016905296,-0.06820185643577312,0.18280597386021974,0.0,0.0704111102595181
2014-03-31,liq,1.3212453941776552,1.2547557196175985,0.2729958859254381,0.9969537271315411,0.05854610433024829
2014-06-30,size,1.5345087105724777,1.6152114613936508,0.3630861905310442,1.0,0.05498413070767074
2014-06-30,mom,-1.401661981901712,-1.3862802211138152,0.24439488122923966,0.00024178627351528,0.8351809503244754
2014-06-30,beta,-0.32198714339821577,-0.3078638937205738,0.24568593410170894,0.0026784041648100065,0.051939415848679026
2014-06-30,lowvol,1.3170206737691308,1.2870098769207563,0.1940654063679988,0.9988768711300134,0.05748649346414207
2014-06-30,strev,0.011826612523470587,0.04996091647510144,0.21335820156466165,0.006815968575658872,0.012299626320461336
2014-06-30,liq,1.3123468817598474,1.248364928035785,0.2616736187414146,0.9972318015887227,0.059475299693185456
2014-09-30,size,1.8903190715708127,1.9730885606087774,0.37643927983787817,1.0,0.05589000194664503
2014-09-30,mom,-0.24738968857125906,-0.23398232880138684,0.22004073231046922,0.0029095484611764938,0.04027116765242794
2014-09-30,beta,0.1228946350794879,0.14104739255349855,0.25108263989786617,0.03389336611283194,0.04363501440595508
2014-09-30,lowvol,3.9763921536642406,3.9478447743307052,0.20015880211696319,1.0,0.05810617446661498
2014-09-30,strev,1.0544374290857503,1.0285681258767816,0.15555166338527066,0.998841109258358,0.059641698165382784
2014-09-30,liq,1.0990428665512748,1.0356548346631176,0.26710258025149064,0.9914320990250283,0.061969500626575906
2014-12-31,size,1.8743785953956333,1.9362462633736224,0.3447460404282985,1.0,0.0801896206393032
2014-12-31,mom,-0.3704139471508956,-0.3865811064272667,0.16311677631396762,0.0,0.08613472525323856
2014-12-31,beta,-0.42413331361928963,-0.4076952648966719,0.22351557830620247,0.00133104465552621,0.0992085144015317
2014-12-31,lowvol,3.738610118635706,3.7154277356631495,0.13805846694655813,1.0,0.08141635549529351
2014-12-31,strev,-1.2074587126712895,-1.199873235462891,0.12976255579160031,0.0,0.0
2014-12-31,liq,1.132269151253762,1.0842595778561352,0.24605004922919002,0.9938517133261964,0.08536690543490018
2015-03-31,size,1.1112282018052249,1.1933774737525569,0.36842155565238593,1.0,0.06126307168978607
2015-03-31,mom,0.6935759703446159,0.6913499445032283,0.21638869603140684,0.9270589867472809,0.06670318682460162
2015-03-31,beta,0.22574067698320543,0.2381664102047884,0.19433226887125085,0.038961921339850776,0.053809037511409794
2015-03-31,lowvol,1.143777875496407,1.1183118376599486,0.14487903315845924,0.9989666879254439,0.06559734220407266
2015-03-31,strev,0.6976946399900923,0.7119558181457724,0.1285809752428182,0.9980057009526121,0.06406536386299659
2015-03-31,liq,1.1966418569265083,1.1320464287883736,0.2617402159063984,0.9945321052382576,0.06658025405691174
2015-06-30,size,1.173099672989479,1.2453200407246598,0.3688911214959387,1.0,0.05986736965334384
2015-06-30,mom,0.8554689977346932,0.8573960125457459,0.21791860238718838,0.9798248719198087,0.06453752895994803
2015-06-30,beta,0.19108062044241575,0.19269425992030362,0.1473349971490682,0.008109001245164869,0.05409792884863313
2015-06-30,lowvol,1.4237955021765558,1.4054119381278136,0.1471136018176896,0.999747016292778,0.06333864652567638
2015-06-30,strev,-1.19943543039816,-1.1883326591387333,0.17479078481981658,0.0,0.3314063862412851
2015-06-30,liq,1.2539357472402002,1.1964393566222982,0.2618857920568005,0.9966577431207753,0.06514060141533111
2015-09-30,size,0.7900732837155473,0.8249525845094027,0.34491994342707005,0.9854884380231667,0.08585912495218752
2015-09-30,mom,0.3956819209306124,0.3859777945582752,0.21072282781539275,0.07787063674312156,0.09095837664678137
2015-09-30,beta,0.34724854266056643,0.3346737243398722,0.131664270259163,0.0451985030307368,0.08152388014662983
2015-09-30,lowvol,0.9130199498658365,0.909130869843487,0.12644680836233985,0.9971403201076432,0.08362841271253633
2015-09-30,strev,0.26162412180898265,0.24872775750237666,0.14940054344842557,0.0077810265883263875,0.089544831451807
2015-09-30,liq,1.2129893580200708,1.1805064573356654,0.2385674857064475,0.9943188953807678,0.08455865859896916
2015-12-31,size,0.7682374034460528,0.7968946439382809,0.35532541750086377,0.9790827776568484,0.10038466834221588
2015-12-31,mom,0.26336690698382315,0.2552646568286839,0.2352965020370499,0.01871170232184482,0.11226176066878428
2015-12-31,beta,0.3868622990374351,0.3730901958820972,0.12213669017207616,0.06460596784028719,0.09779743888365298
