period,factor,pressure,funding,P_aum,rot_agg,drift_price,drift_char,fwd_factor_ret
2013-12-31,size,0.10060012131320487,0.9868340493004271,1.2638719427518867,0.003108713459000577,0.001349408251991587,-0.26198722506916583,0.00578489956379438
2013-12-31,mom,0.20272050195197677,0.037871619137779575,0.17116756754978268,0.0031930027240290367,0.002846467017611758,0.13701052537913383,-0.03156958181809621
2013-12-31,beta,0.00818251700271157,0.5957409429368288,0.7152464472483439,0.00024531532853812646,0.0075734088787201646,-0.16368484396135385,-0.015905751470948682
2013-12-31,lowvol,-0.3162502060740661,1.95222976239672,1.4433188651742812,-0.0026783948236918766,7.118725931894993e-05,0.658571144348546,0.025494978159317068
2013-12-31,strev,0.13555082336188073,-0.46917281339163197,0.6178779520434398,0.0016000476792193494,0.0014996594509510477,0.8556266619748978,-0.035825371705011974
2013-12-31,liq,-0.056403878971823695,0.8382607133158623,1.2647661331808262,-0.0020287136402965438,0.0009366899655551142,-0.11672408693444608,-0.0019190915502536167
2014-03-31,size,0.08967283098822112,0.12663964757374407,1.5732712157731246,0.003091389619641128,0.0006915726445332239,0.32219439997863775,0.017482916654397086
2014-03-31,mom,0.11258497202126831,0.022468551376300362,-1.109165853457902,0.00208124217047201,-0.0013679887199538753,-1.2637002430493087,0.044643365866549226
2014-03-31,beta,0.02342065663206357,0.06084767619715538,0.28230471372149823,0.0008206512393860333,-0.0018225181141287396,-0.42120663954803816,0.05884426821625658
2014-03-31,lowvol,-0.30432994110571016,0.4579896170390753,1.573547810095369,-0.0027514298724823135,-0.0008157148050942488,0.12068759465149773,-0.09621032366021066
2014-03-31,strev,-0.22919769152501074,0.10865562174723947,-0.07044149016905296,-0.0036813158205171396,-0.0023910823245720464,-0.680339666760426,-0.010546090060842051
2014-03-31,liq,-0.047379717858516905,0.06777796470876597,1.3212453941776552,-0.00196640209233732,-0.001093249202800676,0.04371638003809848,0.0038365209178645486
2014-06-30,size,0.16291340691226158,0.7028503949395677,1.5345087105724777,0.004229288544798944,-0.0011032111531405274,-0.03799490680632468,0.013496657628300011
2014-06-30,mom,0.13122878189487175,-0.8093156762572753,-1.401661981901712,0.002091198482872115,0.0036343741650541926,-0.2983603626695765,0.002246807744961876
2014-06-30,beta,0.04352454703661732,0.12164792085086484,-0.32198714339821577,0.001117727834989841,-0.003708169763118453,-0.6017300678858857,0.018733065446780713
2014-06-30,lowvol,-0.2419438981149174,2.453076384193249,1.3170206737691308,-0.0017851015203543253,0.0004341834818037494,-0.25552298026430204,0.02261527271460005
2014-06-30,strev,0.20453249249390643,-0.07885748656429943,0.011826612523470587,0.0024598985903589395,5.8382063744633376e-05,0.08177997246672958,-0.02630022689022085
2014-06-30,liq,-0.1124188874434218,0.5021327741608785,1.3123468817598474,-0.0034677075491196174,0.0017193133803384533,-0.013124494124608477,0.009054817836115387
2014-09-30,size,0.14308683804094238,0.11049106364376067,1.8903190715708127,0.0034605036546768372,-0.009940386551499487,0.35760505986420527,0.01817105777718747
2014-09-30,mom,0.0066699299850923755,-0.2832532366726945,-0.24738968857125906,7.706725921606018e-05,0.0035340095269103524,1.1536975579260798,-0.003213511231824108
2014-09-30,beta,0.0472975518854342,-0.018636604228351353,0.1228946350794879,0.0010637793793297318,0.0003048891851325482,0.44613697428846233,0.03876861252103083
2014-09-30,lowvol,-0.32814307643743856,0.4871186308292773,3.9763921536642406,-0.0020518932431536044,-0.002087345975556524,2.6648620650732346,-0.06395181998322973
2014-09-30,strev,-0.03762152357848337,-0.016202729130987376,1.0544374290857503,-0.00042981652585893384,-0.009782337729730056,1.051575662615626,0.009347114178750733
2014-09-30,liq,-0.0881585798287187,0.12101192155679473,1.0990428665512748,-0.0024644895532367267,0.00827009387696951,-0.21452016790533562,-0.011826931629113004
2014-12-31,size,0.07493407620903157,0.5766301075940886,1.8743785953956333,0.002478086470327016,0.011299863281740196,-0.009675840125634931,0.005889709618704644
2014-12-31,mom,0.16425398113196438,-0.15190749082675803,-0.3704139471508956,0.0027370102590649078,-0.0038638778235952926,-0.11624300878204308,-0.020554896181768863
2014-12-31,beta,0.006805586272798977,0.033669182608188214,-0.42413331361928963,0.00021611373144776844,-0.0027512108501045246,-0.5296171219365111,0.03446274149914933
2014-12-31,lowvol,-0.27878580026949773,4.915111937158439,3.738610118635706,-0.002323557917679508,0.0005384022164680402,-0.2488935465896414,-0.10269118587146711
2014-12-31,strev,0.018944956449433198,0.9654364312028524,-1.2074587126712895,0.00022220536397096245,0.0073418979911097845,-2.2663472378456984,-0.029374310897506726
2014-12-31,liq,-0.02228662843998398,0.3187024680782122,1.132269151253762,-0.0008385460742419166,-0.007809010825390912,0.0345206838788745,-0.034831041005384436
2015-03-31,size,0.0946663437770481,0.36412195686939286,1.1112282018052249,0.0030881841036732066,0.009942976353796457,-0.7901885471532608,0.020537528141633652
2015-03-31,mom,0.08385057518015235,-0.11009758645048531,0.6935759703446159,0.0014957838602103536,0.004717846858619079,1.0595585602768713,0.01585899262937325
2015-03-31,beta,0.02580153425973354,-0.07817969097424964,0.22574067698320543,0.0008328911841502811,0.0026658892420069686,0.6302069383774668,-0.04851880846552638
2015-03-31,lowvol,-0.2807699269686202,2.9145498577978524,1.143777875496407,-0.0020393581798305483,-0.0022610025154197098,-2.5820638086077192,0.03435691706681262
2015-03-31,strev,0.31761391137196215,-0.6013462484818619,0.6976946399900923,0.0034973026672347218,0.00037046591993441087,1.8965689871964566,0.014555671251413582
2015-03-31,liq,-0.07952792355147825,0.16329081583467178,1.1966418569265083,-0.0029006804614978314,-0.003974766866086895,0.07343886814336119,-0.02322150004945842
2015-06-30,size,0.21335510274251346,-0.4638179120193878,1.173099672989479,0.005253346793800339,-0.0025676758451572013,0.05220918354853141,0.026044132785180484
2015-06-30,mom,0.09627394134224443,-0.5919884882689784,0.8554689977346932,0.0012156893575157755,-0.0032367143232176236,0.1637977322025715,-0.0175486884575019
