period,spread_r,ic_r,spread_u,ic_u
2016-09-30,0.050240974216527956,0.09789980609978867,0.04526135700455629,0.06881564847038649
2016-12-31,0.032763562972967494,0.02834414623873131,0.014315331315540698,0.04849522169572734
2017-03-31,0.014075199377299657,-0.010712210084258005,-0.014659640095578517,-0.03845554401082793
2017-06-30,0.0753722570034769,0.13995224066649156,0.06000633442372983,0.06589601950806671
2017-09-30,0.009384712740650072,0.03633432728452401,0.02680813103853069,0.020561860667376596
2017-12-31,0.08095311791231583,0.14065536587490685,0.08403322125909164,0.1626276586343844
2018-03-31,0.06425138945710429,0.07018607967220288,0.0646068825471712,0.11445421231621362
2018-06-30,-0.05864946544993465,-0.08893054778320626,-0.02968508818556711,-0.061259955207410746
2018-09-30,0.035678727892479535,0.041130120611216354,0.020988512243193848,0.012910152943431839
2018-12-31,0.01000806509144709,0.004650543685253823,0.012253538922708668,-0.020775260929945607
2019-03-31,-0.03412483613981098,-0.04946005094817894,-0.026615634952795793,-0.08748869406706855
2019-06-30,-0.010700149844914464,-0.04741297573847805,-0.004668430638638366,-0.046267004236584336
2019-09-30,-0.04372684059762326,-0.0606614586263585,-0.037462440553709814,-0.06397500326121425
2019-12-31,0.19939375248631366,0.17083181103291462,0.16563431976459847,0.1550359855951838
2020-03-31,0.22946475376698053,0.24311398415915222,0.29566151823619635,0.280208442524619
2020-06-30,-0.0032346148718602336,0.0008051301188070162,0.046668867218152096,0.07382257086561765
2020-09-30,0.5398752582702884,0.49711040123319816,0.4875355223915167,0.4596669695615908
2020-12-31,-0.212787019895631,-0.24850649880987774,-0.16633455316395918,-0.19279179775948108
2021-03-31,0.01846738286526494,-0.03862121866639231,0.03983492140580569,0.01913733876002697
2021-06-30,0.04542783376242492,0.04917649310883849,0.049203245118845905,0.07244080793380718
2021-09-30,-0.3108743653658009,-0.4540756574759573,-0.22102519111270055,-0.34320532091596556
2021-12-31,-0.09223439619681739,-0.212653623206277,-0.040531976372431194,-0.11049171360555418
2022-03-31,0.1397299433227249,0.18049462264292856,0.13974628279563656,0.16705910851028868
2022-06-30,-0.12423911531429713,-0.1965692120863442,-0.05060830849755506,-0.10508902740547203
2022-09-30,0.12362200817458074,0.05238544111456963,0.12263232777566908,0.1098846764885468
2022-12-31,0.04780950299494917,-0.0002769891285791118,0.04618419433356884,0.00951527018717754
2023-03-31,0.04923399673904375,0.05471688866416607,0.09076165553280774,0.09674664872924399
2023-06-30,0.07451303190434966,-0.07375639613211377,0.09610519627842333,-0.05807943730727366
2023-09-30,0.19905363073031018,0.18442722518982987,0.20040788259661108,0.1832210992667841
2023-12-31,0.1306603193136413,0.030438699915717172,0.13094103800460677,0.0419001289652005
2024-03-31,0.018980828543265,-0.06000111662919909,0.03932141456557095,-0.039439156958372135
2024-06-30,0.11337275737841908,0.06529536771954352,0.10794758880198738,0.060604106827356334
2024-09-30,0.12560443206468472,0.11421272256871774,0.11599312963039231,0.11104075652666127
2024-12-31,-0.07022032098174061,-0.1999336422418475,-0.06984590092401408,-0.1836350120966949
2025-03-31,0.2393881791473241,0.21265019778017133,0.2278393942002531,0.1992685631454501
2025-06-30,0.13508703947804912,0.11832984582626513,0.11485902672654938,0.09691170336879913
2025-09-30,-0.056123863179185614,-0.05679488832229139,-0.05028124408673972,-0.04943514847764785
2025-12-31,0.14905914256347624,0.14235646408956096,0.12620059247448293,0.1156834642182711
