period,kind,n,spread_q1,spread_q2
2013-09-30,tese,480,-0.0578620903787212,0.005416538596217366
2013-09-30,placebo,480,-0.034901374471238394,-0.028131634265419824
2013-12-31,tese,489,0.0033098239946871503,-0.001841205139535465
2013-12-31,placebo,489,0.0034061587733844427,-0.029682850626107413
2014-03-31,tese,501,0.03763174274772755,-0.03737122247049536
2014-03-31,placebo,501,-0.003334964667504922,0.020284988609531308
2014-06-30,tese,507,0.004592196183553228,0.035451816730479056
2014-06-30,placebo,507,-0.023149184846479258,-0.009571764821048816
2014-09-30,tese,521,0.05596239564289878,0.019694182775814008
2014-09-30,placebo,521,-0.01983609635405719,0.0028755591690914975
2014-12-31,tese,529,0.022138017753564183,-0.010729267363446232
2014-12-31,placebo,529,-0.017036599194934554,-0.0007501934731729554
2015-03-31,tese,541,0.033405298429504834,0.06627326972999469
2015-03-31,placebo,541,0.06251547744505304,0.04104423287122988
2015-06-30,tese,554,0.07412172092865606,0.05743573633053199
2015-06-30,placebo,554,-0.07723486315098257,-0.04084779348361828
2015-09-30,tese,563,0.004006294203803329,-0.01503906108473052
2015-09-30,placebo,563,0.011340315987623042,-0.014561758339032727
2015-12-31,tese,574,0.0003056296353222271,0.0019562771549706953
2015-12-31,placebo,574,0.007171490612918538,-0.010320004558302773
2016-03-31,tese,588,0.012500766187894904,0.03886699511252136
2016-03-31,placebo,588,-0.02013120693366581,-0.03888530666103868
2016-06-30,tese,603,0.020845161872791347,0.04553542903450865
2016-06-30,placebo,603,-0.013326435129980135,-0.05295521836005494
2016-09-30,tese,611,0.01739966397625141,0.02368289729899515
2016-09-30,placebo,611,-0.012450154000272565,-0.02085616212920518
2016-12-31,tese,618,0.044964536643938596,-0.030481532059569057
2016-12-31,placebo,618,-0.026586935807938306,0.01507786910787834
2017-03-31,tese,630,0.0017295267067215046,-0.040135340151485135
2017-03-31,placebo,630,-0.0013847532566322873,-0.015314944280740928
2017-06-30,tese,635,-0.03443459047539524,-0.030379923973315508
2017-06-30,placebo,635,-0.055089497007482474,-0.027598231294767503
2017-09-30,tese,648,-0.02525847105844848,-0.037939320183637146
2017-09-30,placebo,648,-0.022987945323657513,-0.09394056783482053
2017-12-31,tese,659,-0.02961817050777965,0.019676278907436506
2017-12-31,placebo,659,-0.06806501715161889,0.006375517256866137
2018-03-31,tese,674,-0.0539420882934071,-0.055933607921537974
2018-03-31,placebo,674,0.0024913099793139395,-0.04021913087497078
2018-06-30,tese,694,-0.04442185923402681,0.023491408915904635
2018-06-30,placebo,694,-0.04270410637861563,-0.005974696125018664
2018-09-30,tese,715,0.004349698981982994,-0.031985913774404885
2018-09-30,placebo,715,-0.026961212910618704,-0.024703533035963746
2018-12-31,tese,735,0.01748662110963012,0.003920831723705875
2018-12-31,placebo,735,-0.04350053031842528,0.00038166719807138354
2019-03-31,tese,747,0.007818298667004654,0.048435810997377024
2019-03-31,placebo,747,0.023016880524402667,0.0619179301877144
2019-06-30,tese,754,0.04034259297701406,-0.10299666274499551
2019-06-30,placebo,754,0.05198878250387492,-0.07273975236474488
2019-09-30,tese,775,0.013155329292739507,0.04896190611307045
2019-09-30,placebo,775,0.005390409226291457,0.00190841417062005
2019-12-31,tese,790,-0.041414856441424466,0.018044666233760553
2019-12-31,placebo,790,-0.11034772142946736,-0.058643752066092264
2020-03-31,tese,795,0.06686127506440467,-0.010748192862308908
2020-03-31,placebo,795,-0.2066054381248615,0.03740751695867925
2020-06-30,tese,825,0.10980092406739403,-0.13271710335512354
2020-06-30,placebo,825,0.07509977024267468,-0.32005203683072103
2020-09-30,tese,839,0.18903097614028885,-0.0064285397932930255
2020-09-30,placebo,839,-0.027863909887771376,0.03746418488370998
2020-12-31,tese,884,0.07983476439526727,-0.02162954774019588
2020-12-31,placebo,884,0.062195127905523756,0.07050752263721317
2021-03-31,tese,928,-0.031165672269155623,0.030325995005086176
2021-03-31,placebo,928,0.04290829611303362,0.011717991162388128
2021-06-30,tese,958,0.027392491763307797,0.02361730971354259
2021-06-30,placebo,958,-0.03993652979270375,-0.030519396875565097
2021-09-30,tese,1015,-0.06922620935390425,-0.041385625617534075
2021-09-30,placebo,1015,-0.006775972827025301,-0.029498190987481326
