period,n_long,short,v0_long,v1_long,v2_long,v3_long,n_cc_removed,n_d2_removed
2013-12-31,118,0.00040999726890940884,0.015035623494322164,0.015035623494322164,0.02073761395805894,0.02073761395805894,0,40
2014-03-31,118,0.07057114795615471,0.06391116277279218,0.07077738980436195,0.05469578179031638,0.05883743739910333,39,38
2014-06-30,126,0.008387514639472965,0.030426443628229716,0.019502887093090688,0.04005034861933006,0.03224755627582185,45,48
2014-09-30,118,0.05620707419835905,0.0506505718419957,0.040637315195607926,0.04365042942184524,0.023136240252304333,44,46
2014-12-31,124,0.04637567419580366,0.04633213716409868,0.06402632345690641,0.03968637275181156,0.06524184554579122,48,54
2015-03-31,124,-0.052970884076755306,-0.011900304525358962,-0.01431518507719642,-0.011419049381959888,-0.02791164581960303,43,52
2015-06-30,127,-0.006231562415123449,-0.0005607212152471506,0.027035720066739995,0.012750257384536645,0.06332694963001163,49,45
2015-09-30,136,-0.10885178293256534,-0.07818174641654077,-0.08323058002393385,-0.07069981505562839,-0.07027018432351334,38,50
2015-12-31,137,0.12248918347720902,0.10487550231874038,0.10626128415214817,0.1032086419532584,0.10731617420378432,45,57
2016-03-31,138,0.12070106287212454,0.0943666102033544,0.09676760715423942,0.10160082681141286,0.10610215289981603,49,62
2016-06-30,132,0.025321562934801978,0.026221204748276408,0.04454937499388608,0.009787789988543944,0.03583101452432033,52,52
2016-09-30,128,0.09454200563426379,0.09132670120193773,0.10037627351830997,0.08215860443178151,0.09534839320249994,51,55
2016-12-31,140,0.024059252504190515,0.019489633316137598,0.03042829087113225,0.014065932130443864,0.02720120968172832,57,54
2017-03-31,139,0.012142634173353239,0.01951740080482011,0.010120554994519596,0.00917478648151574,-0.0057058750431194715,61,56
2017-06-30,140,0.10416067761763613,0.12607308191361208,0.144937689587127,0.11412016460009677,0.12330945524600566,53,59
2017-09-30,139,0.04335749077177707,0.07403918159163171,0.07368416310417393,0.07541086360166205,0.0742084920583656,56,54
2017-12-31,153,0.024840726846131308,0.02495432206331936,0.029447718487182688,0.03332291121990242,0.03706206074056934,42,64
2018-03-31,151,0.038437083867048506,0.051922960202787576,0.05595847433930423,0.05873147873145659,0.06874627020282296,59,68
2018-06-30,144,-0.09358988438644632,-0.09031115165322912,-0.10652720596594943,-0.08251124852160095,-0.09755378617974536,56,49
2018-09-30,151,0.08681256184053564,0.10248060825051084,0.10100617107501182,0.08017933463210954,0.07006808374206215,57,62
2018-12-31,165,-0.012397949271103185,0.023877673772877857,0.03691267212507083,0.007770683123683317,0.01742488841777261,57,67
2019-03-31,153,0.0009834877317847566,-0.005750702506113509,-0.015942884947374655,-0.018540636059902672,-0.04997613784346627,70,60
