period,spread_A,spread_B,spread_C,ic_A,ic_B,ic_C,n_passive,n_act_only,aum_share_passive,votes_A,votes_B,votes_C
2013-09-30,0.026221056955481055,0.03222304290305958,0.026221056955481055,0.03826554602336102,0.03669039809927396,0.03826554602336102,40,1,0.3694120298386746,4531,4295,4531
2013-12-31,0.004656085050091039,0.0071765606878222196,0.004656085050091039,0.0392597560013045,0.044077809383896875,0.0392597560013045,33,2,0.27037232296906655,5257,4966,5257
2014-03-31,-0.002599052599311716,-0.0033764711467780817,-0.002599052599311716,0.019503512226968688,0.019950142146735496,0.019503512226968688,38,2,0.27024650829087643,5176,4913,5176
2014-06-30,0.029192629641963442,0.029024068584598148,0.029192629641963442,0.019679445948301472,0.01977154986735315,0.019679445948301472,42,3,0.34588092480556054,4859,4697,4859
2014-09-30,0.0023686469899472443,-0.0033780981651901354,0.0023686469899472443,-0.018939727219272708,-0.03289625925366185,-0.018939727219272708,49,3,0.3854973545571996,4378,4026,4378
2014-12-31,-0.0037439994302087,0.0034335999663488923,-0.0037439994302087,-0.011752526425253809,-0.0023084963336977124,-0.011752526425253809,37,2,0.45416898455846305,3833,3536,3833
2015-03-31,0.026510047341493426,0.03196811583508345,0.026510047341493426,0.07312771249651323,0.07503970263512426,0.07312771249651323,43,5,0.38585871647599096,5607,5173,5607
2015-06-30,0.016232811138583804,0.0019738392347820252,0.016232811138583804,-0.02949732147909387,-0.04032173666033758,-0.02949732147909387,39,4,0.3215613430689119,5216,4871,5216
2015-09-30,0.008710325269161767,0.006678318125411184,0.008710325269161767,0.02465011814945161,0.01864446741214484,0.02465011814945161,33,4,0.34242090578966833,4068,3856,4068
2015-12-31,-0.020161929073987117,-0.026088218377606553,-0.020161929073987117,-0.07306514012069501,-0.09006934035138453,-0.07306514012069501,31,1,0.4089762669860728,4442,4115,4442
2016-03-31,-0.03375674197366833,-0.023541963362764956,-0.03375674197366833,-0.13601752611040538,-0.13598317429833276,-0.13601752611040538,38,0,0.5108841846993889,4317,3810,4317
2016-06-30,0.0023408137467060136,0.009951923736993766,0.0023408137467060136,-0.04367788374261869,-0.018258171392094055,-0.04367788374261869,31,0,0.3691181570291558,4600,4315,4600
2016-09-30,0.0057172758529655116,0.007233303243820113,0.0057172758529655116,0.0034464087601031763,-0.00359057402033071,0.0034464087601031763,37,1,0.30222875527982035,5048,4794,5048
2016-12-31,-0.009201201494649307,-0.0037842078714103583,-0.009201201494649307,-0.015764731852907672,-0.01649527882568577,-0.015764731852907672,40,0,0.33607307451603785,6585,6231,6585
2017-03-31,0.005552718661217496,0.0003318781389404779,0.005552718661217496,-0.0037124637694202376,-0.0031827599906778734,-0.0037124637694202376,45,0,0.3414251498923346,6453,5752,6453
2017-06-30,0.028998486956031716,0.017862443679553044,0.028998486956031716,0.08039630306190923,0.0720425903427835,0.08039630306190923,44,0,0.31454253410992733,5769,5229,5769
2017-09-30,0.03157232107675657,0.03331595096675753,0.03157232107675657,0.08237730322336585,0.09966994768019906,0.08237730322336585,49,0,0.3561377018930853,4958,4564,4958
2017-12-31,0.008384294080412125,0.016171542576590488,0.008384294080412125,-0.01808918644458025,-0.007959795265909501,-0.01808918644458025,63,4,0.3701143886887772,7869,7040,7869
2018-03-31,0.011454881924810346,-5.387271982919967e-05,0.011454881924810346,0.018272720133082967,0.01641792621891577,0.018272720133082967,64,2,0.41060231231052613,6852,6173,6852
2018-06-30,0.009002182293695496,-0.0035299327049156948,0.009002182293695496,0.03674498515294107,0.024526593496407262,0.03674498515294107,41,3,0.2406598978137518,6702,6263,6702
2018-09-30,0.011781317946180897,0.015397101493196425,0.011781317946180897,-0.008096253159533431,-0.01198969005192911,-0.008096253159533431,71,4,0.384450411306309,6660,5908,6660
2018-12-31,0.024008579288255547,0.01750434378108444,0.024008579288255547,0.04773215468878189,0.04755459325015948,0.04773215468878189,36,1,0.2992984008142624,8678,8124,8678
2019-03-31,0.0018819941538265952,0.009554683079730363,0.0018819941538265952,0.023241364920137727,0.032956160009209735,0.023241364920137727,63,1,0.3430344269440897,7773,7167,7773
2019-06-30,-0.007938088270001184,-0.016713487585893257,-0.007938088270001184,-0.020952796532185156,-0.016535786720930392,-0.020952796532185156,57,1,0.36749155299664577,7179,6497,7179
2019-09-30,0.021768778665198996,0.02804424989881335,0.021768778665198996,0.04220044458143032,0.05242194140117869,0.04220044458143032,58,4,0.388482494123837,6914,6280,6914
2019-12-31,0.0060750523233104314,0.01801836868850648,0.0060750523233104314,0.05310766984815064,0.05803542759712149,0.05310766984815064,54,2,0.32917415357991986,8928,8377,8928
2020-03-31,-0.052187051176590754,-0.06047197783337668,-0.052187051176590754,-0.0999744826999652,-0.1075308054609593,-0.0999744826999652,40,7,0.31961541263359305,8436,7907,8436
2020-06-30,-0.03511523445905659,-0.028497699628792547,-0.03511523445905659,-0.0702175113216535,-0.07219410480139113,-0.0702175113216535,37,5,0.2577556538326399,9006,8586,9006
2020-09-30,-0.055668288089948864,-0.013098402446021257,-0.055668288089948864,-0.14474721615849356,-0.1079365075008796,-0.14474721615849356,64,5,0.1955204163362716,5915,5171,5915
2020-12-31,0.07503330139153547,0.08450958168938534,0.07503330139153547,0.09506560133338005,0.09297759603253249,0.09506560133338005,58,5,0.1538583052572588,6707,6201,6707
2021-03-31,-0.0028571197505644144,0.011586039412768354,-0.0028571197505644144,0.01887754794032478,0.02225272428066874,0.01887754794032478,71,2,0.23557560075336398,6670,5690,6670
2021-06-30,0.018384003453359735,0.026670858411523383,0.018384003453359735,0.01146005029929652,0.010599381580537026,0.01146005029929652,75,2,0.17884059488232315,6400,5753,6400
2021-09-30,0.10892087975567498,0.08707803564611903,0.10892087975567498,0.14991701575768196,0.11746832792424809,0.14991701575768196,69,1,0.16858720163408625,5694,5058,5694
2021-12-31,0.06681256304130151,0.0732226730240992,0.06681256304130151,0.14172123715590235,0.13409297528767947,0.14172123715590235,63,3,0.23569139619636867,12694,12102,12694
2022-03-31,-0.03559468506724134,-0.037365331336573604,-0.03559468506724134,-0.06907107794828186,-0.06620261890052163,-0.06907107794828186,52,2,0.12971311376678163,7422,6888,7422
2022-06-30,0.020557679872891477,0.010382225934170528,0.020557679872891477,0.07122956941922153,0.053948231211808084,0.07122956941922153,48,3,0.09557165306250395,6445,6109,6445
2022-09-30,0.005258514288034269,-0.0006546247238079367,0.005258514288034269,-0.016093511927478175,-0.01799344049675468,-0.016093511927478175,68,5,0.10210992605760599,9210,8736,9210
2022-12-31,0.0571023471014175,0.04323097032199944,0.0571023471014175,0.07393079129237869,0.07622825612569363,0.07393079129237869,62,4,0.08951306691863256,10687,10282,10687
2023-03-31,-0.006420696406515852,-0.014899593907911027,-0.006420696406515852,-0.02012423118722591,-0.02374915297032294,-0.02012423118722591,85,7,0.31550651451173367,10068,9497,10068
2023-06-30,-0.006652255581013143,-0.012144857844529969,-0.006652255581013143,0.016353888250674506,0.011098026608207296,0.016353888250674506,68,4,0.31222441646750637,9678,9142,9678
2023-09-30,0.013165355600611287,0.008587567397106408,0.013165355600611287,0.019869766716489233,0.013934782912771145,0.019869766716489233,90,7,0.3766970147880969,9811,9216,9811
2023-12-31,0.030528201927577894,0.0186062161089929,0.030528201927577894,0.06618731526745911,0.06498631953149732,0.06618731526745911,75,2,0.3644121105754438,10428,9965,10428
2024-03-31,0.032278316833947926,0.028439752637295732,0.032278316833947926,0.04385754871925259,0.04234164719790277,0.04385754871925259,110,1,0.41659864105052924,10301,9368,10301
2024-06-30,0.022014556455236395,0.017961158224997845,0.022014556455236395,0.014318562352799194,0.021373702015775875,0.014318562352799194,94,2,0.33194289569207774,11560,10297,11560
2024-09-30,0.026798267008362277,0.03230652652812272,0.026798267008362277,0.07166354375308018,0.07465550847517716,0.07166354375308018,110,3,0.352277075830124,11111,10096,11111
2024-12-31,0.029316608588828317,0.02703342029359162,0.029316608588828317,0.07845417382618454,0.06811960627110983,0.07845417382618454,86,0,0.32223685211052194,14086,13210,14086
2025-03-31,0.05846773623779947,0.07645081575886153,0.06736621973592397,0.01654168583003142,0.03770780274638394,0.022522017626579884,127,48,0.45727620758880233,11677,10154,11248
2025-06-30,0.02631991162199503,0.019451696161131377,0.024079512639373805,0.01232624246133709,0.011318726220816542,0.013307042238668385,181,108,0.5131192379983162,12421,10557,11215
2025-09-30,-0.056663057751857204,-0.0538426786171351,-0.045895447855116546,-0.05990798792880459,-0.06585276220976782,-0.05578428281086409,208,117,0.512551032041827,11542,9439,10374
2025-12-31,0.006560659722894664,0.04645920391866521,0.02118446997043866,0.01876848095494787,0.047368259200525564,0.02558102350501469,154,102,0.5964402105361257,8566,6995,7597
