period,n_cohort,n_done,p1_spread,p2_done_exc,p3_short_all,p3_short_hi
2016-03-31,71,48,-0.01505039934570021,-0.029368766542066993,-0.02275443523297903,-0.010945899887349064
2017-12-31,130,103,-0.02311525974380802,0.020612736357281294,0.012153321840611658,0.003236299950226125
2018-03-31,131,92,0.02614635496808957,-0.01350941634736886,-0.002348330892955282,0.021987217967505406
2018-06-30,1060,1039,0.04224319821931348,-0.027682178591672615,-0.027976950369496795,-0.010876437665022526
2018-09-30,155,133,-0.0172841809957361,-0.025198086611901233,-0.023783627762919257,-0.027847130207385967
2018-12-31,352,215,0.05564999741326522,-0.020938668488912078,0.002951563060365564,0.04525051647497952
2019-03-31,263,169,0.023190477216767175,0.023840387078792342,0.024010616688255767,0.02300993765493077
2019-06-30,192,151,-0.010418767963984998,0.00689551762579696,0.007035443925461404,0.004494830658961391
2019-09-30,302,171,0.03918478197666639,-0.022565946959930014,-0.0013159500192158058,0.019457162776160525
2019-12-31,288,206,0.04576450251385601,-0.033477816936837906,-0.018992021754841326,0.011383513196010858
2020-03-31,517,22,0.011042415386285004,-0.01643518814354558,-0.07683181807879585,-0.05923716697869352
2020-06-30,374,136,-0.06757193335057037,-1.0033217901769733,-1.0334385893427822,-1.0640139054545343
2020-09-30,321,143,-0.04764227428469153,-0.17960382931629218,-0.20149902384731166,-0.20909351515677058
2020-12-31,339,259,-0.00725015840504311,0.028751308544490303,0.016674804774828855,0.0025908267522934797
2021-03-31,455,355,0.05033253521588738,0.013805408298774226,0.01852615089276157,0.03959532974340662
2021-06-30,327,247,-0.03839547873743291,0.0001143559641857278,-0.008046564807526774,-0.017331361667991214
2021-09-30,329,217,-0.030811390814430017,-0.01441850413006332,-0.027451905896421658,-0.0533298386114657
2021-12-31,404,205,-0.11521224446813966,-0.049513281367969245,-0.09624739826611982,-0.1737953078246941
2022-03-31,561,184,0.07114367081475903,-0.008743880133165446,0.01657912025312719,0.061784841023869344
2022-06-30,736,276,-0.013774906291972075,-0.03454019517302642,-0.029298402085379677,-0.05696156903638397
2022-09-30,511,190,-0.020566066853642123,-0.006442346721582573,-0.019491096161990143,-0.022114756003531133
2022-12-31,473,216,-0.031049883179694607,0.042935217205255824,0.03094809010695026,0.008762352125201649
2023-03-31,634,282,-0.027276013641469764,0.004780699217292746,-0.007827356557791671,-0.027893220663799356
2023-06-30,708,215,-0.013833126539769654,-0.012074847508935331,0.0022069517614016765,-0.016389331029161798
2023-09-30,701,144,0.013959867332981823,0.06159462455800174,0.039162383913292936,0.06286520482809266
2023-12-31,579,288,-0.021696057354354578,-0.003078764483348026,-0.009091626050835508,-0.012059145873716148
2024-03-31,795,336,-0.006111535287028033,0.00576116676172137,0.002714746778128,-0.009809547242883234
2024-06-30,670,170,-0.04995083848752882,-0.004608589359624014,-0.015213767795682571,-0.044199442515689094
2024-09-30,810,256,-0.01726077089212491,-0.0907056986269016,-0.08956007635224482,-0.10609859222323988
2024-12-31,715,91,-0.014166830403779848,-0.022051970753870095,-0.010392865726025324,-0.03294129662265996
2025-03-31,825,436,0.05403231237813366,-0.03408381260504796,-0.013950045215905552,0.030114534997118705
2025-06-30,682,426,0.04204875352465094,-0.005676618556172196,0.01180756813319608,0.04451676011311993
2025-09-30,693,449,-0.030681165768638705,0.03220924502546467,0.023358264386179495,0.004596292429009385
2025-12-31,785,223,0.07129607949361993,-0.06121061904785502,-0.024456966128029035,0.011780025141152804
