strategy,total_return,ann_return,ann_vol,sharpe,max_drawdown,hit_ratio,ann_turnover,fee_bps,sample
sticky_quality,-0.06101616252514486,-0.0049134302807463115,0.034376855771024846,-0.1429284374776266,-0.11441362424168677,0.5059006211180124,23.498962361972083,0,full
double_down_specific,-0.2509337360456111,-0.022351150562795685,0.07374909827353927,-0.3030701538870902,-0.4351754013152317,0.46956521739130436,11.123769230716086,0,full
abnormal_adoption,-0.4739002873298598,-0.0490069973941919,0.1086977820078309,-0.45085554175025666,-0.5377838980864305,0.4973075704783022,34.50048377291112,0,full
ccp,1.344045330004425,0.06891918591707369,0.08341519494132979,0.8262186040031209,-0.12280251752447635,0.5347826086956522,4.384509338409308,0,full
fragility_stress,-0.038812496909274796,-0.003092264548918311,0.03435996469832083,-0.08999615034730898,-0.10824322022509969,0.35319148936170214,22.083160036983664,0,full
fragility_reversal,0.3824882611613498,0.025663427353043167,0.07879807281834526,0.3256859772726367,-0.11594295337674765,0.5319875776397516,23.543261625549746,0,full
sticky_raw,-0.06072661540200386,-0.004889427027641502,0.036211144787680394,-0.13502547506603443,-0.1446189097962498,0.5127329192546584,24.343654308431443,0,full
sticky_specificity,-0.06808959931988612,-0.0055019425602550465,0.035096975767908774,-0.1567640071508895,-0.13616482376091332,0.503416149068323,23.576053497520963,0,full
double_down_all,0.4488503281870764,0.029432626618665525,0.0770776492749309,0.38185682744009597,-0.15558090392772128,0.503416149068323,10.448777558213976,0,full
abnormal_level,0.9025292728749141,0.05160811122647391,0.07509250870586903,0.6872604486902747,-0.1279995697407703,0.5298136645962733,9.174059527707898,0,full
new_holder_breadth,1.1901929302670236,0.06325681209019018,0.07910388807101774,0.7996675464725527,-0.12533149469701788,0.5434782608695652,24.26469197233256,0,full
consensus,1.3184737661944488,0.06800224920021858,0.08029559604920003,0.8468988655187406,-0.13000812189965494,0.5357142857142857,5.315593321473509,0,full
fragility_unconditional,0.2985899335736757,0.020651934047106746,0.08530814926401376,0.24208629802989434,-0.17662516101597747,0.5316770186335403,10.056972228084573,0,full
sticky_quality,-0.05524450368396505,-0.006917763573690117,0.03262770937347006,-0.21202112273670748,-0.11441362424168677,0.49951503394762364,36.6893639204615,0,pre_2022
double_down_specific,-0.3334463715953355,-0.04834163680263781,0.06911562299544918,-0.699431397816103,-0.34974090130739266,0.4597478176527643,17.367746336469466,0,pre_2022
