period,version,spread_ew,spread_vw,ic,n
2013-06-30,raw,-0.0332333786761744,-0.011606357499512436,-0.08392045384405901,936
2013-06-30,resid,-0.025638816544861304,0.06222033536164984,-0.0743004340394386,904
2013-09-30,raw,-0.04765662220203162,-0.05630772356313246,-0.1763936466235511,963
2013-09-30,resid,-0.04362956889192368,0.017969583027289647,-0.1488481999176646,932
2013-12-31,raw,0.07370948917356601,0.12872586319925122,0.190464411496123,986
2013-12-31,resid,0.06699715537327891,-0.030172612147556885,0.17119814129694721,953
2014-03-31,raw,-0.008448401432220885,0.044532588241314966,-0.03548445050505204,1014
2014-03-31,resid,0.005850211073051462,0.053550136984647737,-0.009486604858875853,981
2014-06-30,raw,0.006041564298504491,0.02631632775500015,0.04272804375718736,1041
2014-06-30,resid,0.01767670938590883,0.11281276317082987,0.06761674397653555,1009
2014-09-30,raw,0.0016806040675735948,0.038416904956374204,-0.030254080118486147,1055
2014-09-30,resid,-0.01528692591899462,0.07333584027965166,-0.028932463297593462,1020
2014-12-31,raw,-0.015485100575264234,-0.02590492045889943,-0.04361157759123424,1012
2014-12-31,resid,-0.01860187425025833,-0.024619992795731863,-0.049403067394113286,975
2015-03-31,raw,0.005252628958269598,0.04518607602044227,0.010660354531537563,1086
2015-03-31,resid,0.01394165071177379,0.059740201547233675,0.010649315874143188,1048
2015-06-30,raw,0.007010397496498691,-0.008614730717678775,0.008471196002697917,1108
2015-06-30,resid,0.008729838505559119,0.031262826164304466,0.011978255880605047,1068
2015-09-30,raw,0.11132871898672327,0.05055923666493902,0.21538987488605302,1057
2015-09-30,resid,0.08626908685503344,0.03344651171720344,0.20551517189234975,1017
2015-12-31,raw,-0.02224234049403115,-0.006800275478637471,-0.0572007630669292,1043
2015-12-31,resid,-0.023653891531102672,-0.008677264733579132,-0.04312279337429038,1001
2016-03-31,raw,-0.03676837178234568,-0.05808587743635382,-0.06353826820180078,1056
2016-03-31,resid,-0.019973872347188393,-0.04781785239404976,-0.03679404221025353,1013
2016-06-30,raw,0.023198419176952822,-0.014010998680080248,0.05518040990592396,1073
2016-06-30,resid,0.03899757437544351,0.0058814028742808205,0.09549738622941308,1030
2016-09-30,raw,-0.030606285270780645,0.20453127458167875,-0.0941908941591948,1179
2016-09-30,resid,-0.01906370254951051,0.04507821047787986,-0.08179135179817691,1135
2016-12-31,raw,-0.018072639476677452,-0.06994864010779064,-0.0542717794806995,1194
2016-12-31,resid,-0.011036381203729611,-0.05057724288140505,-0.04906972264662188,1150
2017-03-31,raw,0.003739010833506331,0.18200276743719684,-0.025703758608928925,1223
2017-03-31,resid,-0.006052171456979569,-0.0887977460386164,-0.040032130264182945,1178
2017-06-30,raw,-0.019885846579980798,-0.6141024081251937,-0.023937922320774487,1239
2017-06-30,resid,-0.022198548305329927,0.011655010163256027,-0.009993038213419278,1192
2017-09-30,raw,-0.08424735616666192,-0.068551550206532,-0.15049302163842274,1265
2017-09-30,resid,-0.08656076877300123,-0.2564499329099797,-0.14101912717547674,1220
2017-12-31,raw,-0.047608242412780916,-0.02889577614887826,-0.07845198543368118,1289
2017-12-31,resid,-0.032172818632924045,-0.018359557696222044,-0.05071345577658208,1242
2018-03-31,raw,-0.015653891711704754,0.0102169311380142,-0.02290862185068963,1341
2018-03-31,resid,-0.008699775967237353,0.09638298453755015,-0.009502117738955974,1294
2018-06-30,raw,0.05332984622633842,0.07939085082885679,0.14217322907517077,1364
2018-06-30,resid,0.0520694019739681,0.07172251363846094,0.12261148291938426,1317
2018-09-30,raw,-0.07571476649175046,0.5395919183651331,-0.1491118680357312,1390
2018-09-30,resid,-0.0783360863743649,-0.043596212806424534,-0.13697626421769823,1343
2018-12-31,raw,-0.009704605562023301,0.6228520582393021,-0.04690897844086156,1394
2018-12-31,resid,-0.005774574139286826,0.013445962950892853,-0.03423440615390301,1347
2019-03-31,raw,0.07013451215342498,0.0358546761485137,0.11146871001194923,1432
2019-03-31,resid,0.05525725432346819,0.0894482324331744,0.08959949041220726,1384
