period,corr_days_adv
2013-06-30,0.26964690067084834
2013-09-30,0.29219973766900764
2013-12-31,0.19309199945023023
2014-03-31,0.19653004434638488
2014-06-30,0.26737827081644655
2014-09-30,0.09854214286610027
2014-12-31,0.16899954581690022
2015-03-31,0.2630885840943197
2015-06-30,0.2260346703973235
2015-09-30,0.3236105924630698
2015-12-31,0.22874818292299054
2016-03-31,0.29815855882722364
2016-06-30,0.23581891211016853
2016-09-30,0.22156923532092804
2016-12-31,0.09612084614189514
2017-03-31,0.13487008749814014
2017-06-30,0.20634181698778037
2017-09-30,0.24411804961112946
2017-12-31,0.23326123873524338
2018-03-31,0.21935824936890588
2018-06-30,0.23909823221587612
2018-09-30,0.211710663001419
2018-12-31,0.20998370816619508
2019-03-31,0.15063497084659755
2019-06-30,0.20117956887788555
2019-09-30,0.16203676595676533
2019-12-31,0.22211635860275622
2020-03-31,0.1993554181948305
2020-06-30,0.10631465462444688
2020-09-30,0.28226706901331516
2020-12-31,0.22835193140321994
2021-03-31,0.29116345821215456
2021-06-30,0.18842176648491915
2021-09-30,0.28147554750830817
2021-12-31,0.1855139605310695
2022-03-31,0.17575055204128326
2022-06-30,0.22447325621043465
2022-09-30,0.12057846315488094
2022-12-31,0.10993167481232585
2023-03-31,0.1011044482396313
2023-06-30,0.10855354164213918
2023-09-30,0.07021700715284523
2023-12-31,0.15667784513540403
2024-03-31,0.1788621717953202
2024-06-30,0.1331402704957274
2024-09-30,0.06662232675901875
2024-12-31,0.1055801647809646
2025-03-31,0.1377554953210635
2025-06-30,0.1800625916840493
2025-09-30,0.207061476392726
2025-12-31,0.18177549125119138
