period,etf_share
2013-03-31,0.017605562294132876
2013-06-30,0.14182636594522224
2013-09-30,0.04434515931113048
2013-12-31,0.04823860863662354
2014-03-31,0.049202373439983904
2014-06-30,0.045501686243990286
2014-09-30,0.04794151666733293
2014-12-31,0.05401603857719161
2015-03-31,0.05475869416419484
2015-06-30,0.1220965865157523
2015-09-30,0.05862726489597779
2015-12-31,0.06202678286790627
2016-03-31,0.07053039908007987
2016-06-30,0.06086002812545602
2016-09-30,0.06842730257465915
2016-12-31,0.07547256611846637
2017-03-31,0.0793473151259209
2017-06-30,0.08190098380614395
2017-09-30,0.08623849787073139
2017-12-31,0.09875910525709602
2018-03-31,0.10355340072074333
2018-06-30,0.10387311938040265
2018-09-30,0.10906418616874172
2018-12-31,0.11767175759349884
2019-03-31,0.11686340023002087
2019-06-30,0.11751711745096623
2019-09-30,0.11812164228347749
2019-12-31,0.11616869260974924
2020-03-31,0.12398505338725511
2020-06-30,0.11249990457316711
2020-09-30,0.12190407671482943
2020-12-31,0.12797821727666892
2021-03-31,0.13315098836958308
2021-06-30,0.1344490931110203
2021-09-30,0.13449638486281282
2021-12-31,0.1250515872696403
2022-03-31,0.14358771334984252
2022-06-30,0.16248181526807665
2022-09-30,0.14752570732912518
2022-12-31,0.15635094565724325
2023-03-31,0.1376106550224441
2023-06-30,0.13427361004325258
2023-09-30,0.15882038335050983
2023-12-31,0.13547242308582944
2024-03-31,0.14022640314720738
2024-06-30,0.24517967464552345
2024-09-30,0.24919036570659306
2024-12-31,0.24824863547878026
2025-03-31,0.15016342310729708
2025-06-30,0.13896907602006953
2025-09-30,0.14620126925017218
2025-12-31,0.1252292561899556
2026-03-31,0.1466226985379324
