,0
n_filings,254630.0
median_days,41.0
p90,46.0
p99,128.0
max,400.0
pct_by_d45,0.8942386992891647
pct_by_d40,0.49900247417821936
pct_by_d60,0.9813376271452696
pct_after_deadline,0.10576130071083532
