period,n_cohort,frac_absorbed,tese_spread,tese_n_hi,short_all_exc,short_unabs_exc,placebo_spread,placebo_n_hi
2016-03-31,71,0.8732394366197183,,,,,,
2017-12-31,130,0.8076923076923077,-0.14906186704344251,99.0,0.012234085436513276,0.13562415268101954,,
2018-03-31,131,0.9007633587786259,-0.11063457468760064,115.0,-0.0024198823766321542,0.10099786371050924,,
2018-06-30,1060,0.5641509433962264,0.03231750978436321,598.0,-0.028060458617991904,-0.05356488247578649,,
2018-09-30,155,0.8774193548387097,-0.015856055110788594,133.0,-0.023822481865787892,-0.012195465045640952,,
2018-12-31,352,0.6931818181818182,0.0008202964513813471,232.0,0.0029387144095833206,0.0016437486003406422,,
2019-03-31,263,0.7946768060836502,0.026668980380500487,202.0,0.02401893845215855,0.004081024232069904,,
2019-06-30,192,0.84375,-0.0021156830971641727,157.0,0.0070034203732853295,0.008246203287101947,,
2019-09-30,302,0.6754966887417219,-0.059266888305317844,188.0,-0.0011084548641794312,0.03588203175955654,,
2019-12-31,288,0.6909722222222222,-0.13495056944243333,190.0,-0.013744671223158623,0.08170766013108191,,
2020-03-31,517,0.4990328820116054,-0.03645913805726253,234.0,-0.0758336483523491,-0.06332971419460856,,
2020-06-30,374,0.7486631016042781,0.014105570511705467,260.0,-1.0338589697711928,-1.0531189462543258,,
2020-09-30,321,0.7383177570093458,-0.11695335279121921,222.0,-0.2014343397021211,-0.11380237035421198,,
2020-12-31,339,0.7817109144542773,0.019769656967274344,252.0,0.01653558213444183,0.0015273925880027726,,
2021-03-31,455,0.5208791208791209,0.06394494561526781,182.0,0.018519748058868194,-0.025436461321036403,,
2021-06-30,327,0.8195718654434251,-0.12197486034625044,260.0,-0.008724884952841308,0.09322138559333261,,
2021-09-30,329,0.756838905775076,0.07169787049204696,240.0,-0.02743654350835628,-0.07726957611200622,,
2021-12-31,404,0.7054455445544554,0.08131612470935976,263.0,-0.0962885814527603,-0.1602735695207988,,
2022-03-31,561,0.5383244206773619,-0.05856832588238706,248.0,0.01741447321660497,0.05964426509409444,,
2022-06-30,736,0.6032608695652174,0.11667270124191978,411.0,-0.029133457377016246,-0.09905184157581215,-0.012553942105609311,694.0
2022-09-30,511,0.6536203522504892,-0.06616088029227112,311.0,-0.019561443153877256,0.024650542195013656,,
2022-12-31,473,0.6723044397463002,0.09195870668601597,303.0,0.030865857955648515,-0.03059856579653454,,
2023-03-31,634,0.5678233438485805,0.02149644617877817,309.0,-0.007907646180867967,-0.022867117683675525,0.033573102655402205,462.0
2023-06-30,708,0.422316384180791,0.09512060114787257,260.0,0.0018679737630231327,-0.043663897003500034,0.008032891180380586,589.0
2023-09-30,701,0.44079885877318115,-0.11011724739717435,290.0,0.03924915989719058,0.08899664322460737,0.0025084105984165828,638.0
2023-12-31,579,0.5544041450777202,0.0028910607703486538,294.0,-0.010479445790628261,-0.01222469215589575,,
2024-03-31,795,0.49559748427672956,0.04246013922026208,302.0,0.0024626143032237605,-0.028657824088408734,0.15261311798168234,574.0
2024-06-30,671,0.5722801788375559,0.044168251879319186,357.0,-0.01512382666839912,-0.041336717562414256,0.06338590810317246,635.0
2024-09-30,810,0.4876543209876543,0.0031160411362068114,311.0,-0.08842687524217929,-0.09528736473348083,-0.032813618812721365,549.0
2024-12-31,715,0.6293706293706294,0.08012902238994603,416.0,-0.010430326700973373,-0.06076067004477948,0.14373435840643073,671.0
2025-03-31,825,0.5684848484848485,-0.06892239894119168,329.0,-0.01404594977155918,0.044808292014206455,-0.18611911059389086,524.0
2025-06-30,682,0.5278592375366569,-0.04407743091370035,324.0,0.012493182051313327,0.03740616031014978,-0.48614455013327146,651.0
2025-09-30,693,0.6248196248196248,-0.0666509077339375,324.0,0.023539309399645172,0.06330944763913754,-0.005213762105810302,463.0
2025-12-31,784,0.46938775510204084,0.008607937391514296,320.0,-0.024776383557149798,-0.026388114195243652,0.17925326106057207,733.0
