period,unmapped_names_pct,unmapped_value_pct,vr_m,vr_u
2013-09-30,0.8322695561822769,0.4165565987380493,0.029108386391909696,0.022501039951722805
2014-09-30,0.8279722261584243,0.4137595943706505,0.02450149876189235,0.020821690709520436
2015-09-30,0.8149082247442904,0.3804427512511057,0.023998880221919656,0.019565420998407794
2016-09-30,0.8055017970693945,0.3526860102895603,0.024339634386736662,0.020634694358698812
2017-09-30,0.7938792621576299,0.35189654931611275,0.02123387798153254,0.01961835801393728
2018-09-30,0.7917143220231287,0.33914481386203327,0.023101374026467423,0.020118712475287216
2019-09-30,0.7764014014014013,0.29481011973666515,0.02283403074842936,0.018687420141712163
2020-09-30,0.7541978816843193,0.2687480595284288,0.019436886703038135,0.01947477673943793
2021-09-30,0.7578073815243503,0.3050827149157893,0.016253290454624442,0.018031374493435216
2022-09-30,0.767170586039567,0.2806936982382451,0.020668787133564705,0.02024288639412554
2023-09-30,0.8075496399738162,0.27849163314074327,0.022107054276024208,0.020632756174885535
2024-09-30,0.8096765197992192,0.34253999373027744,0.021502543962947727,0.020875931064699867
2025-09-30,0.8249599620380805,0.2567537325320251,0.02085899990201522,0.020335737204768965
