period,n_uni,spread_full,ic_full,spread_half1,spread_half2
2013-09-30,1114,0.021741101336434615,0.06167360507351136,-0.007886337875228383,0.06455234859456108
2013-12-31,1137,0.04487231349951523,0.12707961939389165,0.015603894822550838,0.08147078132489051
2014-03-31,1151,-0.00857560343021447,-0.029255722390349116,0.005003833617600761,-0.02907131701362063
2014-06-30,1182,0.035464991412363464,0.04225206545761438,0.039665597606500194,0.032722797535470825
2014-09-30,1199,0.008618443462996492,-0.001089295800664902,0.004076615793563269,0.01788591247680798
2014-12-31,1212,0.0011747224515260071,0.005847456602127444,-0.0284290340971691,0.022441602027798237
2015-03-31,1250,0.02248266931938968,0.039956479402262164,0.03033792353556686,0.004384079149983758
2015-06-30,1280,0.030070344527575742,0.02100199728428529,0.026062049270803585,0.036265150023571696
2015-09-30,1302,0.06174738321472835,0.12934708079750284,0.034120275415317064,0.08385406340628163
2015-12-31,1314,-0.029684024932578046,-0.08439224666366929,-0.042691956435211814,-0.029291778765435456
2016-03-31,1331,-0.03935730708065047,-0.12547697195884816,-0.042102189468808685,-0.03721217556374959
2016-06-30,1365,-0.030130798925392138,-0.10750828837787414,-0.021437990994669982,-0.04342632028249674
2016-09-30,1389,0.03263827471640923,0.07446730037731054,0.03670915487955153,0.03378311625874371
2016-12-31,1412,-0.010434621337667493,-0.00767316528559655,-0.006142617874369129,-0.014684745702355818
2017-03-31,1424,0.01483380493628371,0.03310600637811544,0.009198781578761818,0.021593706562723913
2017-06-30,1450,0.00641708672558447,0.008723304771681536,0.02268905306008759,-0.01928518392860161
2017-09-30,1460,-0.01851734149378842,0.022819364122635213,0.00025290045730763655,-0.014186949963052559
2017-12-31,1494,-0.04268298504203925,-0.09610761870885913,-0.010653137863699272,-0.06875554382834556
2018-03-31,1533,0.025706705333986668,-0.013710133143878147,-0.025800032698002413,0.07111215619095362
2018-06-30,1572,0.030523560269909586,0.11131078938041193,0.024180449792571515,0.030016950085486473
2018-09-30,1622,0.01548217297339776,-0.008584272213788637,0.03483923412406058,-0.006282936137887468
2018-12-31,1654,0.029800468281351692,0.054674728822840545,0.00818269308482416,0.04380113870128314
2019-03-31,1678,0.04034650664763249,0.06495483853746564,0.05525170670963755,0.02035183468892223
2019-06-30,1726,-0.026889059971190274,-0.04121468279366168,-0.03582626431312179,-0.018923388284319498
2019-09-30,1762,0.030738253026886708,0.05620576267558545,0.029842867595905792,0.03325769735000862
2019-12-31,1790,0.025489673309728664,0.03176762628020758,-0.0148629403571615,0.059802077589131405
2020-03-31,1797,0.034907303461910344,-0.056430777920222844,0.06973331697446039,-0.0034134217008787715
2020-06-30,1862,0.015921523187499412,0.012291028556609282,0.026687841577089116,0.01912954175742458
2020-09-30,1881,-0.04795618320635725,-0.1639203071138265,5.583844398582283e-05,-0.09061731530284078
2020-12-31,1955,0.11872999816242918,0.13582988357515602,0.13838468382030644,0.10513975352308927
2021-03-31,2029,0.030479527094499782,0.09935169936489356,0.008253531234965542,0.05716567711348192
2021-06-30,2127,-0.01330701313299465,-0.028475595742517155,-0.0026306864248855644,-0.017048781319726133
2021-09-30,2204,0.12418447954126302,0.20760875100856996,0.1383397176323405,0.11876314431141277
2021-12-31,2389,0.06883725194954597,0.13447856184121346,0.05415945660722769,0.09130909382114392
2022-03-31,2326,-0.042215704931003475,-0.10958445705088833,-0.03999503432338322,-0.05091251430181851
2022-06-30,2405,0.023191180930956803,0.048627005486721525,0.029262519348527777,0.015107236102783347
2022-09-30,2455,0.044166762233156465,0.025299872361131223,0.0576666845421198,0.04788670610456056
2022-12-31,2544,0.0858714690499501,0.10755555824817746,0.07913608957446393,0.08174528028045774
2023-03-31,2544,0.00959970680272497,-0.010249296265326748,0.022093823429260598,-0.007224187823555703
2023-06-30,2535,0.0397991070893125,0.06882312289227244,0.034473461639350694,0.2585896694858104
2023-09-30,2551,0.031133909789892666,0.05303436088715529,0.08377705399076132,-0.01075663941554525
2023-12-31,2584,0.059331104760309644,0.054233873649338245,0.04525505885173584,0.06978452909048968
2024-03-31,2595,0.025701766500896842,0.06368940921107975,0.06009671047943397,-0.009999920493949847
2024-06-30,2586,0.025984487018152924,0.005549577320677812,0.03092986952517325,0.019942558702206806
2024-09-30,2627,0.05370923710661706,0.07785194022013353,0.0670446219841123,0.10281155916920791
2024-12-31,2723,0.058121529008484454,0.1113746107534251,0.05605284236939963,0.048473949219763356
2025-03-31,2700,0.025036894040953384,-0.011365445818627539,0.019023397100819434,0.042913488628563784
2025-06-30,2772,0.016823765109505534,0.005182508759755544,0.04667862801235155,0.008647181540051112
2025-09-30,2830,-0.08112165199276844,-0.0547910498255727,0.01984334509422759,-0.16277381850786607
2025-12-31,2737,-0.008235334473912163,-0.016318603009955274,-0.043374590729026316,0.019434336295247573
