period,d_spread,d_ic
2013-09-30,0.0018424845116895433,0.01534941872493538
2013-12-31,0.0008171138720714649,0.002818343727574557
2014-03-31,0.0018659093496481496,-0.002014950378916025
2014-06-30,0.0138858338570782,0.01506627400546691
2014-09-30,0.0008786744908053645,0.0052727015223475865
2014-12-31,0.05992490958341077,0.14687771166288666
2015-03-31,-0.005185267732420604,0.009384728738732029
2015-06-30,-0.00797427601071058,-0.0021190170935717597
2015-09-30,-0.0845904633475097,-0.14872067795185231
2015-12-31,0.04839682750122845,0.05417832664186625
2016-03-31,0.06370770126764248,0.10971116106120829
2016-06-30,0.00731010256572244,0.03780228852976383
2016-09-30,-0.0004311614725697327,0.010739702771777208
2016-12-31,0.011971602414943081,0.00953262469044596
2017-03-31,-0.000272711090612391,0.00695764083238852
2017-06-30,-0.007636821576811212,-0.0021449329263856093
2017-09-30,-0.006255460895026911,0.006668288798235705
2017-12-31,0.010512466319435632,0.017273510935987182
2018-03-31,-8.365956076565595e-05,0.00031044690585716405
2018-06-30,0.013612026321230049,0.028065881221381407
2018-09-30,-6.263049663784298e-05,0.003110480340826269
2018-12-31,-0.0013825918795645452,0.0035219124949270597
2019-03-31,-0.019318260020558725,-0.010661208675068909
2019-06-30,-0.004113317547775414,-0.005608083212673282
2019-09-30,0.006002199709303956,0.0028606507826065275
2019-12-31,0.0005455850574351273,-0.0038547031241568386
2020-03-31,0.039249055369352276,0.02506593270925147
2020-06-30,0.004318252884806931,0.0022173592218710306
2020-09-30,0.2531443517617071,0.28731565767931333
2020-12-31,-0.24077683958219498,-0.2796733682413429
2021-03-31,-0.024997388927729854,-0.08885932139538244
2021-06-30,0.04476980022463411,0.08268674156841213
2021-09-30,-0.2696799461836127,-0.3362686589280514
2021-12-31,0.022613413224362236,0.04081485665716016
2022-03-31,0.08878192223940823,0.1400932999347056
2022-06-30,-0.077358112485173,-0.10082880276719935
2022-09-30,-0.02620996943627011,-0.025130897436902624
2022-12-31,-0.006581764975042953,-0.0003355208820598858
2023-03-31,-0.008980791583019565,0.0016590811416319004
2023-06-30,0.023133408157652163,0.035374797738608396
2023-09-30,-0.036068048334290836,-0.027873981701256188
2023-12-31,0.014752440700187205,0.0037890739275903374
2024-03-31,0.005172088610445626,0.002027600537013584
2024-06-30,0.0003059435410831951,0.013928530012907805
2024-09-30,-0.0004468783553852815,-0.021758982692700754
2024-12-31,-0.0027374215351126767,-0.008546473086244871
2025-03-31,-0.015830071599054626,-0.010902760595566701
2025-06-30,-0.015339305217677103,-0.011814295928660169
2025-09-30,0.008837782764141565,0.008870349230350419
2025-12-31,0.07528726697387181,0.09510081115276474
