period,b_hat,n_shocked,spread_raw,spread_resid,spread_placebo
2023-09-30,-1.517194353675487,622,-0.08729836114771941,-0.09139330134359094,-0.006752429614000327
2023-12-31,-1.4651757900081777,378,0.008385007267929429,0.012187485791190993,0.015629058907410995
2024-03-31,-1.3632344274180306,408,-0.04470367616694576,-0.0324251683879946,-0.07264641825584317
2024-06-30,-1.2531376646530539,583,0.02164273850797882,0.000984366322911226,0.02030917431095486
2024-09-30,-1.168624515392688,441,0.07961382858091014,0.10308309528679946,0.08858455801265033
2024-12-31,-1.1359567345639798,473,0.04740682330004514,0.06658534432820026,-0.0037736541820934943
2025-03-31,-1.1075582400227395,758,0.01700911843211364,-0.011986514629253792,0.07690908364630807
2025-06-30,-1.03669302030088,356,-0.05330826446998488,-0.07766407527273947,-0.056709921702793264
2025-09-30,-0.9985024003473936,398,-0.050573627075276066,-0.04285522691433319,-0.08024869817229721
2025-12-31,-0.9564052444197024,700,0.03008441370709586,-0.011193999871418517,0.04479847995623814
