period,b_hat,n_hit_mgrs,spread_raw,spread_resid,spread_placebo
2021-09-30,-1.3029571677562453,121,0.11479023877313832,0.10467203453154197,-0.21135568265727886
2021-12-31,-1.1538533115697862,187,0.13272720237523877,0.13008936438732033,-0.07016100522716076
2022-03-31,-1.2017176929973816,523,-0.0388093065352106,-0.04262721505004588,0.06638408383346626
2022-06-30,-1.1422614683856847,994,-0.03327971050229369,-0.01727051839899961,-0.1445344362468965
2022-09-30,-1.05075099247876,357,-2.417019383786634e-05,-0.008311549473382362,0.011487751269259328
2022-12-31,-0.8157169381470994,606,-0.11764554825865566,-0.10584843034932999,-0.05895767839301237
2023-03-31,-0.7149528345419093,116,0.04155546599234687,0.027264758996736693,0.047497568567674744
2023-06-30,-0.6160356351106664,68,0.11184960229799103,0.04211760552520974,-0.11559922936283142
2023-09-30,-3.3165603740880356,188,-0.1405778062818645,-0.08383919768520132,0.09326774616649187
2023-12-31,-3.158509365887796,72,0.010083349452432923,-6.671159376669955e-05,0.00815786907461212
2024-03-31,-2.9110587980868554,204,-0.003842223620728266,0.004734694471115193,-0.055938692436441104
2024-06-30,-2.762385661812554,203,0.011128082937438416,-0.016624475620957632,0.023705440670354308
2024-09-30,-2.636696800668726,129,0.08313603943411249,0.03877050637561287,0.039694967685328056
2024-12-31,-2.6026587908447207,275,0.02877436094167586,0.015084893444618788,-0.14665235695877776
2025-03-31,-2.517065537746035,404,-0.06498135699241293,-0.06554860226279097,0.04094516613941
2025-06-30,-2.397285692585307,207,-0.08368295138212974,-0.08384337083909565,0.07082216277142292
2025-09-30,-2.2913450468750596,156,0.0015113055560072725,0.014745546822604087,-0.031198658462784995
2025-12-31,-2.263800614450449,166,0.020973644136361158,-0.0065295636968655535,0.1306239035771427
