strategy,total_return,ann_return,ann_vol,sharpe,max_drawdown,hit_ratio,ann_turnover,fee_bps,sample
sticky_quality,-0.06073118211988482,-0.029296189495554792,0.033271177146861,-0.880527591982683,-0.08099432170197007,0.4849056603773585,29.311535353435758,0,full
double_down_specific,0.3078877504401891,0.13585156315774083,0.11264365811334388,1.2060293977761694,-0.06888442836880304,0.5094339622641509,13.93142626796264,0,full
abnormal_adoption,-0.035888720980684075,-0.017195517696926843,0.08274039203673109,-0.20782494829482082,-0.1292729758605765,0.5096359743040685,30.541887278438367,0,full
ccp,-0.018511512679235675,-0.0088282553323068,0.058047037196043066,-0.1520879576073971,-0.14153515661863136,0.4830188679245283,4.829140717633706,0,full
fragility_stress,-0.09071976664677572,-0.04412977814637875,0.030713104005596747,-1.4368387558071998,-0.09722251151310968,0.2727272727272727,27.141629180259276,0,full
fragility_reversal,0.05124195428711875,0.023999110267112433,0.08336690839294818,0.2878733388311958,-0.12310465780145396,0.5339622641509434,26.722394380157894,0,full
sticky_raw,-0.04202095057820654,-0.020167127861992595,0.03366978792807311,-0.5989680690913322,-0.07174223750598896,0.5075471698113208,31.703981872241545,0,full
sticky_specificity,-0.02498770900825764,-0.01193742514666396,0.03446130375577248,-0.34640085677734606,-0.05839855391873072,0.5,29.485595212085528,0,full
double_down_all,0.3046178608089958,0.13450298617916845,0.10560760865259221,1.27361075489959,-0.06998756015418495,0.5094339622641509,13.042454757575456,0,full
abnormal_level,0.06674372641737158,0.03113767810090806,0.07320790794444805,0.42533216663609746,-0.11307771500619224,0.5339622641509434,10.821564233238972,0,full
new_holder_breadth,-0.014257747758355532,-0.006791918902840033,0.04682255120200673,-0.1450565748444084,-0.09335702798650869,0.5245283018867924,31.680740333191437,0,full
consensus,-0.0025168083087532267,-0.0011952082580907186,0.06237300610956097,-0.019162267984827955,-0.11543962584207956,0.49433962264150944,5.555635625904787,0,full
fragility_unconditional,0.10225237794278463,0.04728668107311873,0.08970060242665302,0.5271612430003958,-0.13328330562176338,0.5471698113207547,14.208706790478095,0,full
sticky_quality,-0.11700288296012573,-0.05734329864520282,0.03334629299804547,-1.7196303843597813,-0.12171920697595762,0.46037735849056605,29.311535353435758,5,full
double_down_specific,0.27004627361563505,0.12013480613309335,0.11271968514904568,1.0657837268995465,-0.07729015729527688,0.5,13.93142626796264,5,full
