date,strategy,return,fee_bps
2024-07-16,double_down_all,0.006202415491117074,0
2024-07-16,abnormal_level,0.012967985343924385,0
2024-07-16,new_holder_breadth,0.00132270608271434,0
2024-07-16,consensus,0.0026953350781528905,0
2024-07-16,fragility_unconditional,0.008684314569930587,0
2024-07-17,sticky_quality,-0.003746052625745015,0
2024-07-17,double_down_specific,0.007059384256652729,0
2024-07-17,abnormal_adoption,0.0,0
2024-07-17,ccp,-0.0006559922563584517,0
2024-07-17,fragility_stress,0.0,0
2024-07-17,fragility_reversal,-0.012043070572612025,0
2024-07-17,sticky_raw,-0.0013037733909585835,0
2024-07-17,sticky_specificity,-0.0024167846029205333,0
2024-07-17,double_down_all,0.003375494521629463,0
2024-07-17,abnormal_level,-0.0074055932329885775,0
2024-07-17,new_holder_breadth,-0.004457844513825905,0
2024-07-17,consensus,-0.002659746086346419,0
2024-07-17,fragility_unconditional,-0.0114619266499492,0
2024-07-18,sticky_quality,0.0010297684392027314,0
2024-07-18,double_down_specific,-0.003230864638418595,0
2024-07-18,abnormal_adoption,0.0,0
2024-07-18,ccp,-0.0010338021842045966,0
2024-07-18,fragility_stress,0.0,0
2024-07-18,fragility_reversal,-0.002073384518533065,0
2024-07-18,sticky_raw,0.0008150865661595087,0
2024-07-18,sticky_specificity,0.002121549592720554,0
2024-07-18,double_down_all,-0.0022283006409281308,0
2024-07-18,abnormal_level,-0.005323197888565519,0
2024-07-18,new_holder_breadth,0.00015469845335230723,0
2024-07-18,consensus,-0.0015499376642012434,0
2024-07-18,fragility_unconditional,-0.006683953858926709,0
2024-07-19,sticky_quality,-0.0019428659976204994,0
2024-07-19,double_down_specific,0.0016959683977022617,0
2024-07-19,abnormal_adoption,0.0,0
2024-07-19,ccp,-0.002241217451586024,0
2024-07-19,fragility_stress,0.0,0
2024-07-19,fragility_reversal,-0.0018951590229179405,0
2024-07-19,sticky_raw,-0.0018259025513763696,0
2024-07-19,sticky_specificity,-0.0018308398538750832,0
2024-07-19,double_down_all,-0.0012684650063593229,0
2024-07-19,abnormal_level,-0.005064556995328583,0
2024-07-19,new_holder_breadth,-0.003849263069615595,0
2024-07-19,consensus,-0.005088593855277027,0
2024-07-19,fragility_unconditional,-0.0005262296090171347,0
2024-07-22,sticky_quality,0.0014635118040976468,0
2024-07-22,double_down_specific,-0.003876187130524066,0
2024-07-22,abnormal_adoption,0.0,0
2024-07-22,ccp,0.0017352673759731246,0
2024-07-22,fragility_stress,0.0,0
2024-07-22,fragility_reversal,0.007002858966185713,0
2024-07-22,sticky_raw,0.0011379497047460888,0
2024-07-22,sticky_specificity,0.001051317656558937,0
2024-07-22,double_down_all,0.00047258462865803683,0
2024-07-22,abnormal_level,0.008347221107466739,0
2024-07-22,new_holder_breadth,0.00329823065361854,0
2024-07-22,consensus,0.004096594964436648,0
2024-07-22,fragility_unconditional,0.005535308679019106,0
2024-07-23,sticky_quality,-0.00010582582898405086,0
2024-07-23,double_down_specific,0.0014624475915806189,0
2024-07-23,abnormal_adoption,0.0,0
2024-07-23,ccp,0.00046870700727488464,0
2024-07-23,fragility_stress,0.0,0
2024-07-23,fragility_reversal,-0.004096004613604404,0
2024-07-23,sticky_raw,-0.0008810853103861081,0
2024-07-23,sticky_specificity,-0.0009209628797745594,0
2024-07-23,double_down_all,-0.0003598108964366211,0
2024-07-23,abnormal_level,0.0009570492525916606,0
2024-07-23,new_holder_breadth,0.0010161211637060156,0
2024-07-23,consensus,0.0002763589265702925,0
2024-07-23,fragility_unconditional,-0.0016414758702932813,0
2024-07-24,sticky_quality,-0.003069645575804079,0
2024-07-24,double_down_specific,0.005019211984203707,0
2024-07-24,abnormal_adoption,0.0,0
2024-07-24,ccp,-0.003564018940941194,0
2024-07-24,fragility_stress,0.0,0
2024-07-24,fragility_reversal,-0.010848409105571034,0
2024-07-24,sticky_raw,-0.0022929855130447404,0
2024-07-24,sticky_specificity,-0.003803254260768536,0
2024-07-24,double_down_all,-0.0008410978666798199,0
2024-07-24,abnormal_level,-0.011240073082917605,0
2024-07-24,new_holder_breadth,-0.010013251047320329,0
2024-07-24,consensus,-0.008054501818401309,0
2024-07-24,fragility_unconditional,-0.005062655503486266,0
2024-07-25,sticky_quality,-0.0020844534884108816,0
2024-07-25,double_down_specific,0.004863237197573281,0
2024-07-25,abnormal_adoption,0.0,0
2024-07-25,ccp,0.00409572259691657,0
2024-07-25,fragility_stress,-1.9792027252663054e-05,0
2024-07-25,fragility_reversal,-0.005992472805627591,0
2024-07-25,sticky_raw,-0.0027619929624877826,0
2024-07-25,sticky_specificity,-0.0022061252131107285,0
2024-07-25,double_down_all,0.0036841523036198567,0
2024-07-25,abnormal_level,0.0028574889306554867,0
2024-07-25,new_holder_breadth,0.0014215816201573553,0
2024-07-25,consensus,0.001946951059747424,0
2024-07-25,fragility_unconditional,-0.0035485040061838044,0
2024-07-26,sticky_quality,0.0010376277679271595,0
2024-07-26,double_down_specific,0.002392229563803851,0
2024-07-26,abnormal_adoption,0.0,0
2024-07-26,ccp,0.003421078063023752,0
2024-07-26,fragility_stress,-0.001558577521955587,0
2024-07-26,fragility_reversal,0.0022332358984896526,0
2024-07-26,sticky_raw,0.0004076383117250514,0
2024-07-26,sticky_specificity,0.0006117083830034652,0
2024-07-26,double_down_all,0.004204789473832506,0
2024-07-26,abnormal_level,0.005651243717822131,0
2024-07-26,new_holder_breadth,0.004787693786954884,0
2024-07-26,consensus,0.005424824387930983,0
2024-07-26,fragility_unconditional,0.001562618960239008,0
2024-07-29,sticky_quality,-1.5308839441840952e-05,0
2024-07-29,double_down_specific,0.001941318703589119,0
2024-07-29,abnormal_adoption,0.0,0
2024-07-29,ccp,0.00114608480968687,0
2024-07-29,fragility_stress,0.003095140944531688,0
2024-07-29,fragility_reversal,-0.002756616276846894,0
2024-07-29,sticky_raw,3.926380175018059e-05,0
2024-07-29,sticky_specificity,0.0005466555089312187,0
2024-07-29,double_down_all,0.00042723720474959365,0
2024-07-29,abnormal_level,-0.001510641097026833,0
2024-07-29,new_holder_breadth,0.001637172559433802,0
2024-07-29,consensus,0.0009821388291618852,0
2024-07-29,fragility_unconditional,-0.003089181597453318,0
2024-07-30,sticky_quality,-0.002925012139375456,0
2024-07-30,double_down_specific,0.006181774512656964,0
2024-07-30,abnormal_adoption,0.0,0
2024-07-30,ccp,0.0002956193670844153,0
2024-07-30,fragility_stress,0.0,0
2024-07-30,fragility_reversal,-0.0051760452067782774,0
2024-07-30,sticky_raw,-0.0024796877279460675,0
2024-07-30,sticky_specificity,-0.0031838322966930856,0
2024-07-30,double_down_all,0.003325272030326425,0
2024-07-30,abnormal_level,-0.0028095233872586617,0
2024-07-30,new_holder_breadth,-0.004489400933083443,0
2024-07-30,consensus,-0.0015196030948517172,0
2024-07-30,fragility_unconditional,-0.001611905143792044,0
2024-07-31,sticky_quality,0.0071246675897565755,0
2024-07-31,double_down_specific,-0.010335373138755342,0
2024-07-31,abnormal_adoption,0.0,0
2024-07-31,ccp,-0.0002409241399747834,0
2024-07-31,fragility_stress,0.0,0
2024-07-31,fragility_reversal,0.012789801284255777,0
2024-07-31,sticky_raw,0.00659878909256238,0
2024-07-31,sticky_specificity,0.006987318496645035,0
2024-07-31,double_down_all,-0.0032573642352651468,0
2024-07-31,abnormal_level,0.006868004227887398,0
2024-07-31,new_holder_breadth,0.0054013510540244815,0
2024-07-31,consensus,0.004884083212015669,0
2024-07-31,fragility_unconditional,0.003753312529872248,0
2024-08-01,sticky_quality,-0.0031205516928621757,0
2024-08-01,double_down_specific,0.0054812936191350695,0
2024-08-01,abnormal_adoption,0.0,0
2024-08-01,ccp,0.0011647999495581025,0
2024-08-01,fragility_stress,0.0,0
2024-08-01,fragility_reversal,-0.012075926307841928,0
2024-08-01,sticky_raw,-0.003378509116417943,0
2024-08-01,sticky_specificity,-0.0016047379970584273,0
2024-08-01,double_down_all,-0.003903289530928169,0
2024-08-01,abnormal_level,-0.012174576827870742,0
2024-08-01,new_holder_breadth,-0.0015893059271584586,0
2024-08-01,consensus,-0.00528334652256593,0
2024-08-01,fragility_unconditional,-0.008544598585162183,0
2024-08-02,sticky_quality,-0.0030617136753079972,0
2024-08-02,double_down_specific,0.003135624288884302,0
2024-08-02,abnormal_adoption,0.0,0
2024-08-02,ccp,-0.0028373880614449786,0
2024-08-02,fragility_stress,0.0,0
2024-08-02,fragility_reversal,-0.00952224528587392,0
2024-08-02,sticky_raw,-0.001613104453708982,0
2024-08-02,sticky_specificity,-0.001895974284615973,0
2024-08-02,double_down_all,-0.0050591330038500595,0
2024-08-02,abnormal_level,-0.012743001882303547,0
2024-08-02,new_holder_breadth,-0.0047032286749731774,0
2024-08-02,consensus,-0.007315897814705047,0
2024-08-02,fragility_unconditional,-0.00522447996405662,0
2024-08-05,sticky_quality,-0.0014161567458128525,0
2024-08-05,double_down_specific,0.004558779708630523,0
2024-08-05,abnormal_adoption,0.0,0
2024-08-05,ccp,-0.0045378577872729935,0
2024-08-05,fragility_stress,0.0,0
2024-08-05,fragility_reversal,-0.005734044342589029,0
2024-08-05,sticky_raw,-0.00040880253320701223,0
2024-08-05,sticky_specificity,-0.0009909961446100963,0
2024-08-05,double_down_all,-0.000709795474786747,0
2024-08-05,abnormal_level,-0.010590252924738409,0
2024-08-05,new_holder_breadth,-0.007056750150212856,0
2024-08-05,consensus,-0.00862246241882394,0
2024-08-05,fragility_unconditional,-0.006284972936689878,0
2024-08-06,sticky_quality,-0.0007159923046816929,0
2024-08-06,double_down_specific,-0.0007630804103131539,0
2024-08-06,abnormal_adoption,0.0,0
2024-08-06,ccp,0.001919290519752897,0
2024-08-06,fragility_stress,-1.979202725266304e-05,0
2024-08-06,fragility_reversal,0.0014600691274833956,0
2024-08-06,sticky_raw,-0.0011194962815028757,0
2024-08-06,sticky_specificity,-0.0006876627475919035,0
2024-08-06,double_down_all,0.0017569172818651681,0
2024-08-06,abnormal_level,0.00456645966009793,0
2024-08-06,new_holder_breadth,0.003288123702734586,0
2024-08-06,consensus,0.0036095289422937806,0
2024-08-06,fragility_unconditional,0.001814711385460165,0
2024-08-07,sticky_quality,-0.0004332842700125926,0
2024-08-07,double_down_specific,-0.0004891641368243954,0
2024-08-07,abnormal_adoption,0.0,0
2024-08-07,ccp,2.2371003900152885e-05,0
2024-08-07,fragility_stress,0.00305312518046571,0
2024-08-07,fragility_reversal,-0.005338639668582832,0
2024-08-07,sticky_raw,0.00041780645581753774,0
2024-08-07,sticky_specificity,-0.0006386504360047877,0
2024-08-07,double_down_all,-0.0008108038427402788,0
2024-08-07,abnormal_level,-0.007250172723326697,0
2024-08-07,new_holder_breadth,-0.0024936721464917594,0
2024-08-07,consensus,-0.0019989409810023248,0
2024-08-07,fragility_unconditional,-0.0032372778821671724,0
2024-08-08,sticky_quality,0.0034902100533302297,0
2024-08-08,double_down_specific,-0.003715692300592508,0
2024-08-08,abnormal_adoption,0.0,0
2024-08-08,ccp,0.0025952067101392326,0
2024-08-08,fragility_stress,-0.007884395500722499,0
2024-08-08,fragility_reversal,0.013592249143834022,0
2024-08-08,sticky_raw,0.0019744408621300375,0
2024-08-08,sticky_specificity,0.0025842374404573334,0
2024-08-08,double_down_all,0.003147637958694203,0
2024-08-08,abnormal_level,0.012064330587680708,0
2024-08-08,new_holder_breadth,0.004530964533065898,0
2024-08-08,consensus,0.007777136902573847,0
2024-08-08,fragility_unconditional,0.008202615544582164,0
2024-08-09,sticky_quality,0.0014718086115013667,0
2024-08-09,double_down_specific,-0.0009074902134575595,0
2024-08-09,abnormal_adoption,0.0,0
2024-08-09,ccp,0.0009277501264177497,0
2024-08-09,fragility_stress,0.001092574456972522,0
2024-08-09,fragility_reversal,-0.0013866375324124746,0
2024-08-09,sticky_raw,0.0012214406365503386,0
2024-08-09,sticky_specificity,0.0010034085360011756,0
2024-08-09,double_down_all,-0.0004117274116274743,0
2024-08-09,abnormal_level,-0.0017217942682760223,0
2024-08-09,new_holder_breadth,0.001318776802088296,0
2024-08-09,consensus,0.0012762443477215269,0
2024-08-09,fragility_unconditional,-0.0011088468181417498,0
2024-08-12,sticky_quality,0.002228856813084072,0
2024-08-12,double_down_specific,-0.005412123249285972,0
2024-08-12,abnormal_adoption,0.0,0
2024-08-12,ccp,-0.002673573466853606,0
2024-08-12,fragility_stress,0.0,0
2024-08-12,fragility_reversal,0.005856461151900101,0
2024-08-12,sticky_raw,0.0021517463493186868,0
2024-08-12,sticky_specificity,0.0023025126999255408,0
2024-08-12,double_down_all,-0.005093433805847018,0
2024-08-12,abnormal_level,-0.0021066167656494756,0
2024-08-12,new_holder_breadth,-0.00033907109845885265,0
2024-08-12,consensus,-0.0018738858352457123,0
2024-08-12,fragility_unconditional,0.002781279797244677,0
2024-08-13,sticky_quality,0.00303526476950468,0
2024-08-13,double_down_specific,-0.0019181646590171997,0
2024-08-13,abnormal_adoption,0.0,0
2024-08-13,ccp,0.0036371282510980238,0
2024-08-13,fragility_stress,0.0,0
2024-08-13,fragility_reversal,0.00545045547736195,0
2024-08-13,sticky_raw,0.002304132768203526,0
2024-08-13,sticky_specificity,0.0032281224922330247,0
2024-08-13,double_down_all,0.003959173399737035,0
2024-08-13,abnormal_level,0.008649267514006206,0
2024-08-13,new_holder_breadth,0.006135192157117273,0
2024-08-13,consensus,0.007037749942640752,0
