period,signal,horizon,spread_full,spread_patient,n_mgr_patient,n_mgr_full,votes_patient,votes_full
2019-06-30,new_conv,q1,0.0002826280293563854,0.023731136254781626,1045,3859,1557,7901
2019-06-30,new_conv,q2,0.019104428876938126,0.007086024920906181,1045,3859,1557,7901
2019-06-30,dbreadth,q1,-0.06980790327858843,-0.07734595088259753,1045,3859,1557,7901
2019-06-30,dbreadth,q2,0.05967701963876677,0.053376913770610455,1045,3859,1557,7901
2019-09-30,new_conv,q1,0.030607905885784048,-0.00921251867817545,1043,3854,1516,7772
2019-09-30,new_conv,q2,0.04710489785611488,-0.031278007006259656,1043,3854,1516,7772
2019-09-30,dbreadth,q1,0.038464707331143766,0.02579752429103764,1043,3854,1516,7772
2019-09-30,dbreadth,q2,0.06167444429497802,0.05759144103829439,1043,3854,1516,7772
2019-12-31,new_conv,q1,0.04969503184262211,0.040225096527837415,1147,4241,1588,10798
2019-12-31,new_conv,q2,0.022732042436222233,-0.01472399092860846,1147,4241,1588,10798
2019-12-31,dbreadth,q1,0.059494370451352,0.053034698087729745,1147,4241,1588,10798
2019-12-31,dbreadth,q2,-0.07021606087424323,-0.07044053738735168,1147,4241,1588,10798
2020-03-31,new_conv,q1,0.02796061278537998,-0.04589908628111056,1149,4226,2129,9824
2020-03-31,new_conv,q2,-0.0029944146923550075,-0.008750442551179502,1149,4226,2129,9824
2020-03-31,dbreadth,q1,0.006075184026812397,0.00043835212751242025,1149,4226,2129,9824
2020-03-31,dbreadth,q2,-0.023677761365289637,0.014343970442768264,1149,4226,2129,9824
2020-06-30,new_conv,q1,0.02380751130370448,0.00786576264886936,1162,4245,1964,10588
2020-06-30,new_conv,q2,-0.017091849299061157,-0.03199982023017814,1162,4245,1964,10588
2020-06-30,dbreadth,q1,-0.004835796551081517,-0.012027740012961266,1162,4245,1964,10588
2020-06-30,dbreadth,q2,-0.13461933172765234,-0.10899239150472778,1162,4245,1964,10588
2020-09-30,new_conv,q1,-0.04450187174416553,0.000705511845499579,994,3424,1491,6935
2020-09-30,new_conv,q2,0.07209992911294066,0.0325236878629344,994,3424,1491,6935
2020-09-30,dbreadth,q1,-0.030664380236359978,-0.014053278462153929,994,3424,1491,6935
2020-09-30,dbreadth,q2,-0.11031924553703575,-0.13438960669062028,994,3424,1491,6935
2020-12-31,new_conv,q1,0.06448365447420713,0.0820988555751486,1003,3454,1547,8296
2020-12-31,new_conv,q2,0.03688389087745969,-0.001981376652293726,1003,3454,1547,8296
2020-12-31,dbreadth,q1,-0.03724737578379189,-0.03978084343106856,1003,3454,1547,8296
2020-12-31,dbreadth,q2,0.06251374761043828,0.058725859912481165,1003,3454,1547,8296
2021-03-31,new_conv,q1,0.013936086893618641,0.004049771597617567,1076,3723,1859,8011
2021-03-31,new_conv,q2,-0.017987767894981146,-0.0032660495972868936,1076,3723,1859,8011
2021-03-31,dbreadth,q1,0.039332356046757756,0.019146657473847632,1076,3723,1859,8011
2021-03-31,dbreadth,q2,0.003979484255242194,-0.003415205810044189,1076,3723,1859,8011
2021-06-30,new_conv,q1,-0.009594429598413765,0.004052155610413541,1095,3781,1384,7520
2021-06-30,new_conv,q2,0.09771172386594534,0.05804282332426877,1095,3781,1384,7520
2021-06-30,dbreadth,q1,0.002112246965658718,0.02348069842340416,1095,3781,1384,7520
2021-06-30,dbreadth,q2,-0.019263695948756987,-0.11069476266512857,1095,3781,1384,7520
2021-09-30,new_conv,q1,0.09009328993667234,0.06973847509804457,1043,3554,1374,6758
2021-09-30,new_conv,q2,0.06643931973621121,0.05166666140887041,1043,3554,1374,6758
2021-09-30,dbreadth,q1,-0.08405707379061238,-0.043798267056003565,1043,3554,1374,6758
2021-09-30,dbreadth,q2,-0.03452924443640547,-0.021798964826792222,1043,3554,1374,6758
2021-12-31,new_conv,q1,0.042349762079329986,0.043895276731930305,1428,5261,2162,14578
2021-12-31,new_conv,q2,-0.03984377197017901,-0.030685899127578825,1428,5261,2162,14578
2021-12-31,dbreadth,q1,0.06768793060021502,0.05417266638741111,1428,5261,2162,14578
2021-12-31,dbreadth,q2,-0.02480471560543232,-0.02633045611652325,1428,5261,2162,14578
2022-03-31,new_conv,q1,-0.06219661006084626,-0.028708578460482817,1217,4228,1742,9203
2022-03-31,new_conv,q2,0.057474828942665666,0.031292941561268245,1217,4228,1742,9203
2022-03-31,dbreadth,q1,-0.05745886563466547,-0.01379771998652396,1217,4228,1742,9203
2022-03-31,dbreadth,q2,0.0744800387202709,0.04052401882652868,1217,4228,1742,9203
2022-06-30,new_conv,q1,0.04743220370395735,0.019234454526762083,1203,4238,1566,7989
2022-06-30,new_conv,q2,-0.00646013703977559,-0.0011281651035295603,1203,4238,1566,7989
2022-06-30,dbreadth,q1,0.001391101213929713,0.0007874030783153602,1203,4238,1566,7989
2022-06-30,dbreadth,q2,-0.05343948599789153,-0.05335165837146273,1203,4238,1566,7989
