,ann,vol,sharpe,maxdd,exc,te,ir,dd_vs_bench
tilt k=1 vs bench,0.1507952678025587,0.18417913155639676,0.8187424195579089,-0.44459230873738237,0.009563749475178516,0.018217096121909634,0.5249875946845464,-0.057206741297226915
tilt k=1 vs SPX,0.1507952678025587,0.18417913155639676,0.8187424195579089,-0.44459230873738237,0.003284072010181846,0.03596653651058859,0.09130909808941462,-0.13602741802425977
tilt k=2 vs bench,0.1636792663583743,0.19246406155161241,0.8504406746839903,-0.441122693148002,0.022447748030994103,0.039663286734173374,0.5659578385785516,-0.13680122588459454
tilt k=2 vs SPX,0.1636792663583743,0.19246406155161241,0.8504406746839903,-0.441122693148002,0.016168070565997422,0.05320891856240318,0.30386016109377567,-0.19073206805543985
tilt k=3 vs bench,0.17699805145407835,0.2035003237016191,0.8697679110997409,-0.4390325670960024,0.035766533126698155,0.0617027420424247,0.5796587305975204,-0.21240373097365395
tilt k=3 vs SPX,0.17699805145407835,0.2035003237016191,0.8697679110997409,-0.4390325670960024,0.02948685566170149,0.07314220622879528,0.4031441924169474,-0.2554400696849408
benchmark vs SPX,0.1412315183273802,0.1803534370422442,0.7830819342483588,-0.4457799447313891,-0.006279677464996671,0.027041520152827965,-0.23222353734207327,-0.1698848646811274
