period,h,model,coverage,r2,r2_wins,ic,hit
2014-03-31,15,revealed,0.028639485336431063,0.005839739041401115,0.004029408465103801,0.017005628306447924,0.5053254437869823
2014-03-31,15,revealed_scaled,0.028639485336431063,-0.012132426316467937,-0.009680045803553083,0.017005628306447924,0.5053254437869823
2014-03-31,30,revealed,0.11364925491746368,0.01507122741936251,0.016376037245158348,0.06335339753550975,0.5269461077844312
2014-03-31,30,revealed_scaled,0.11364925491746368,-0.35690345084500574,-0.44924354334120875,0.06335339753550975,0.5269461077844312
2014-03-31,45,revealed,0.8592705431541836,0.291903999439878,-0.08140489905920578,0.5497570399676946,0.7170686456400742
2014-03-31,45,revealed_scaled,0.8592705431541836,0.14909410333202666,-0.29583013606439423,0.5497570399676946,0.7170686456400742
2014-03-31,60,revealed,0.8798103359720506,0.30158061676281345,-0.07825196970502746,0.5584443110660559,0.725925925925926
2014-03-31,60,revealed_scaled,0.8798103359720506,0.18108905365013317,-0.2560591633883613,0.5584443110660559,0.725925925925926
2014-06-30,15,revealed,0.02197267343192235,0.006638223998354786,0.00925897457263758,0.11538233124442823,0.5640096618357487
2014-06-30,15,revealed_scaled,0.02197267343192235,-0.17549531522647888,-0.09458817964789024,0.11538233124442823,0.5640096618357487
2014-06-30,30,revealed,0.09356564350726303,0.05309328499009136,0.06568090624515477,0.2310664462832902,0.5892857142857143
2014-06-30,30,revealed_scaled,0.09356564350726303,-1.1421205354408173,-0.6930404022683472,0.2310664462832902,0.5892857142857143
2014-06-30,45,revealed,0.9362976356886953,0.8695255770233288,0.8001329036856308,0.8564443108098354,0.8114754098360656
2014-06-30,45,revealed_scaled,0.9362976356886953,0.8623328748489708,0.7908667909920902,0.8564443108098354,0.8114754098360656
2014-06-30,60,revealed,0.9589884583631634,0.8834626942413416,0.8227034016142185,0.8710215395194406,0.8198362147406734
2014-06-30,60,revealed_scaled,0.9589884583631634,0.8788712129628025,0.8151868519500685,0.8710215395194406,0.8198362147406734
2014-09-30,15,revealed,0.022358310465795173,0.011457641097700755,0.010046725517145694,0.06563650693362222,0.5372972972972972
2014-09-30,15,revealed_scaled,0.022358310465795173,-0.370500439956309,-0.08510981560774367,0.06563650693362222,0.5372972972972972
2014-09-30,30,revealed,0.10025822732545774,0.060849458241955645,0.05988768802587818,0.2008594377298278,0.5759615384615384
2014-09-30,30,revealed_scaled,0.10025822732545774,-1.0155803109445158,-0.7728647171636349,0.2008594377298278,0.5759615384615384
2014-09-30,45,revealed,0.9467188524531713,0.9135052297127675,0.8828006467557235,0.880219647720013,0.8639575971731449
2014-09-30,45,revealed_scaled,0.9467188524531713,0.9084208443383863,0.8758962018145762,0.880219647720013,0.8639575971731449
2014-09-30,60,revealed,0.9704505102624856,0.9453091672240527,0.9257523217178026,0.9106954557565013,0.881729920564872
2014-09-30,60,revealed_scaled,0.9704505102624856,0.9425970081234174,0.92194699445861,0.9106954557565013,0.881729920564872
2014-12-31,15,revealed,0.015933161447132305,-0.003429331977445216,-0.0003567338278447352,0.0019466462645445018,0.5
2014-12-31,15,revealed_scaled,0.015933161447132305,-0.08503000809611594,-0.015745163127582007,0.0019466462645445018,0.5
2014-12-31,30,revealed,0.08397876634681409,0.044534278816495965,0.03723301445893279,0.17473370334626528,0.5738798856053384
