period,r2_level_persist,sd_level,sd_dio
2013-12-31,0.9635217230045987,0.15943468224615945,0.058149283312474515
2014-03-31,0.9795607618417855,0.15645653558016306,0.043232938669938145
2014-06-30,0.9830521561078619,0.1583568433196136,0.03918994996715327
2014-09-30,0.9791264910080825,0.1537438521020501,0.043414755627864135
2014-12-31,0.9777016562432552,0.15203410117857533,0.04476331182888636
2015-03-31,0.9732469782865447,0.15382325363561405,0.04871202400372652
2015-06-30,0.9718968040010368,0.1503273599427168,0.05091357915796473
2015-09-30,0.9521746468417988,0.15486633668045052,0.06691140806651588
2015-12-31,0.9600078121106376,0.1496828710845019,0.06012970444676267
2016-03-31,0.9753409159103318,0.14714728509220815,0.04721422563010559
2016-06-30,0.9662210899747816,0.14349559471814843,0.05356287957163098
2016-09-30,0.9524601928600424,0.13653633997838435,0.05858684301414627
2016-12-31,0.9743403514749418,0.14305943265594862,0.04462781347433125
2017-03-31,0.9767098433006511,0.14433597214972035,0.042630434217206546
2017-06-30,0.9682102068617524,0.14454507224562171,0.04922610650909795
2017-09-30,0.9720066986055725,0.15026859613514107,0.04515744575019351
2017-12-31,0.9729739484383474,0.14738664833166792,0.04700469472926629
2018-03-31,0.9315107322282693,0.17606937636395742,0.06908167240927135
2018-06-30,0.9213430155175606,0.14998532027005468,0.06151233298143339
2018-09-30,0.9701400196210782,0.14819597086955782,0.04959463142487801
2018-12-31,0.9818491281927437,0.14351929525676616,0.03782446149320151
2019-03-31,0.9759270610283547,0.14512215606728415,0.04373438915195345
2019-06-30,0.9716635361938625,0.1468848463787613,0.04740247716245745
2019-09-30,0.9551686780345032,0.15602915123391956,0.061308412964142356
2019-12-31,0.9741614709522585,0.15292904581170727,0.04578803159837234
2020-03-31,0.9634139247071958,0.1593202704134998,0.055387622861079365
2020-06-30,0.9724012768574142,0.16148884158858734,0.05099400738169314
2020-09-30,0.9278264564930607,0.1541497985708222,0.06579903524718869
2020-12-31,0.9642052814111483,0.1525366498361557,0.050895317883190495
2021-03-31,0.9748951927089443,0.15097583266455894,0.04269690927695947
2021-06-30,0.9604124007212587,0.15396906467663363,0.054486225320975204
2021-09-30,0.9506317462060555,0.1629575119357671,0.06288889839645309
2021-12-31,0.96772285275863,0.16150016401837541,0.05038004140918431
2022-03-31,0.9770369001026006,0.16332319950037202,0.0424984238223469
2022-06-30,0.956216666735933,0.1732430746757576,0.05823743879618035
2022-09-30,0.9470101913898162,0.16387320231554142,0.06762652330721644
2022-12-31,0.9785421756354702,0.16512726811160577,0.04194553780107608
2023-03-31,0.966596215293127,0.1646912465658919,0.0516162191570911
2023-06-30,0.9731648228746551,0.16367699594392107,0.04622267540990285
2023-09-30,0.9596580547106435,0.16267777528813765,0.05633633204409832
2023-12-31,0.97151152659778,0.16034000160656445,0.04671354416943222
2024-03-31,0.9618212945968634,0.1681177675345192,0.055701015247529434
2024-06-30,0.9728468223848321,0.16407213100989573,0.04618368955285787
2024-09-30,0.9393128294562724,0.16989541438421563,0.07071814395246416
2024-12-31,0.9623126768033481,0.1666177519279155,0.054991480473061106
2025-03-31,0.972681231545134,0.1728271099105736,0.047801155807466335
2025-06-30,0.9615026487580354,0.17240491708130745,0.056581111882752506
2025-09-30,0.9479319979846565,0.1711936546077225,0.06490142034542762
2025-12-31,0.9488451275957085,0.17215550298835824,0.06402680514721892
