period,panel,model,ndcg
2014-06-30,mega,persist,0.9868361142640977
2014-06-30,mega,ema,0.9868110473361431
2014-06-30,mega,persist,0.9704539429178539
2014-06-30,mega,ema,0.9702968159737944
2014-06-30,mega,persist,0.9993479801602109
2014-06-30,mega,ema,0.9992436071764775
2014-06-30,mega,persist,0.6485849418381282
2014-06-30,mega,ema,0.6560665868287173
2014-06-30,mega,persist,0.9967813117730788
2014-06-30,mega,ema,0.9990304243141401
2014-06-30,mega,persist,0.642082939502768
2014-06-30,mega,ema,0.6431856775149941
2014-06-30,mega,persist,0.7730100365329765
2014-06-30,mega,ema,0.7193212404132783
2014-06-30,mega,persist,0.9878067690508802
2014-06-30,mega,ema,0.9840279746039559
2014-06-30,mega,persist,0.7653375717924822
2014-06-30,mega,ema,0.7664037251447026
2014-06-30,mega,persist,0.9885005434533374
2014-06-30,mega,ema,0.9885005434533374
2014-06-30,mega,persist,0.8416721546677546
2014-06-30,mega,ema,0.8486678005800533
2014-06-30,mega,persist,0.9897316412676487
2014-06-30,mega,ema,0.9648983571622286
2014-06-30,mega,persist,0.9824141832984842
2014-06-30,mega,ema,0.9802199471200048
2014-06-30,mega,persist,0.9625737437582156
2014-06-30,mega,ema,0.9496520591925438
2014-06-30,mega,persist,0.9814302008278286
2014-06-30,mega,ema,0.9810506916787202
2014-06-30,mega,persist,0.9689833097263212
2014-06-30,mega,ema,0.9809443051614786
2014-06-30,mega,persist,0.3151781443861982
2014-09-30,mega,persist,0.9899569503795607
2014-09-30,mega,ema,0.9900009887790627
2014-09-30,mega,persist,0.5469509240527204
2014-09-30,mega,ema,0.5826608843915407
2014-09-30,mega,persist,0.9988228632210193
2014-09-30,mega,ema,0.9988228632210193
2014-09-30,mega,persist,0.9957393727883905
2014-09-30,mega,ema,0.9904556801540704
2014-09-30,mega,persist,0.9741515245065651
2014-09-30,mega,ema,0.9890599948630667
2014-09-30,mega,persist,0.9997795354802463
2014-09-30,mega,ema,0.9997795354802463
2014-09-30,mega,persist,0.9513674159119165
2014-09-30,mega,persist,0.9946308813102227
2014-09-30,mega,ema,0.9899132466853444
2014-09-30,mega,persist,1.0
2014-09-30,mega,ema,1.0
2014-09-30,mega,persist,0.9988028287884652
2014-09-30,mega,ema,0.9988028287884652
2014-09-30,mega,persist,0.9997848920599393
2014-09-30,mega,ema,0.9997848920599393
2014-09-30,mega,persist,0.8737109204730219
2014-09-30,mega,ema,0.8471908509729464
2014-09-30,mega,persist,0.9981721590747402
2014-09-30,mega,ema,0.9983547486310502
2014-09-30,mega,persist,0.999972314117442
2014-09-30,mega,ema,0.9959952212334121
2014-09-30,mega,persist,0.9991218508757144
2014-09-30,mega,ema,0.9924366059557689
2014-09-30,mega,persist,0.9992279386369076
2014-09-30,mega,ema,0.9975803910851696
2014-09-30,mega,persist,0.9707906163072203
2014-09-30,mega,ema,0.9526879954484636
2014-09-30,mega,persist,0.9584598297379487
2014-09-30,mega,ema,0.9645629608942244
2014-09-30,mega,persist,0.9933445171241029
2014-09-30,mega,ema,0.9752922277084823
2014-09-30,mega,persist,0.9992426467811824
2014-09-30,mega,ema,0.9966747803699093
2014-09-30,mega,persist,0.9884305086322663
2014-09-30,mega,ema,0.9948099879600333
2014-09-30,mega,persist,0.9826609664266837
2014-09-30,mega,ema,0.9826609664266837
2014-09-30,mega,persist,0.9998651214151466
2014-09-30,mega,ema,0.9999412190410335
2014-09-30,mega,persist,0.9995676416334829
2014-09-30,mega,ema,0.992297322349109
2014-09-30,mega,persist,0.996834883218328
2014-09-30,mega,ema,0.996834883218328
2014-09-30,mega,persist,0.999615452535863
2014-09-30,mega,ema,0.999615452535863
2014-09-30,mega,persist,0.9957088114893788
2014-09-30,mega,ema,0.9957088114893788
2014-09-30,mega,persist,0.9459929705124637
2014-09-30,mega,ema,0.8956011595650868
2014-09-30,mega,persist,0.842579328953817
2014-09-30,mega,ema,0.842579328953817
2014-09-30,mega,persist,0.9524263168093923
2014-09-30,mega,ema,0.9535177137349249
2014-09-30,mega,persist,0.997284038115808
2014-09-30,mega,ema,0.9976646726735134
2014-09-30,mega,persist,0.9280873070912171
2014-09-30,mega,ema,0.8755376078699086
2014-09-30,mega,persist,0.9687475901348923
2014-09-30,mega,ema,0.9678500619383907
2014-09-30,mega,persist,0.9450008176441044
2014-09-30,mega,ema,0.9424760481823985
2014-09-30,mega,persist,0.9984621598674176
2014-09-30,mega,ema,0.9998640961183882
2014-09-30,mega,persist,0.9956983643857137
2014-09-30,mega,ema,0.9897280514561595
2014-09-30,mega,persist,0.9996411266768118
2014-09-30,mega,ema,0.9996411266768118
2014-09-30,mega,persist,0.9989865355607842
2014-09-30,mega,ema,0.9967541928045243
2014-09-30,mega,persist,0.8626701160633805
2014-09-30,mega,ema,0.8530863346094562
