period,h,rank_corr,migr_2dec,n
2014-03-31,15,0.9999066743422538,0.0,1093
2014-03-31,45,0.976677730257545,0.014732965009208104,1086
2014-06-30,15,0.9997120019533765,0.0,1114
2014-06-30,45,0.9804449414523252,0.010810810810810811,1110
2014-09-30,15,0.9998230937502406,0.0,1150
2014-09-30,45,0.9811951815532676,0.01138353765323993,1142
2014-12-31,15,0.9998452650932104,0.0,1164
2014-12-31,45,0.9889961899145556,0.006932409012131715,1154
2015-03-31,15,0.9998816203282789,0.0,1182
2015-03-31,45,0.9757774249471319,0.013617021276595745,1175
2015-06-30,15,0.999775348311412,0.0,1199
2015-06-30,45,0.9712878179959108,0.017736486486486486,1184
2015-09-30,15,0.9999101606190748,0.0,1221
2015-09-30,45,0.9895318008571196,0.007407407407407408,1215
2015-12-31,15,0.9997742656025203,0.0,1246
2015-12-31,45,0.9853145234245336,0.007240547063555913,1243
2016-03-31,15,0.9963060338817488,0.0007867820613690008,1271
2016-03-31,45,0.9873209281481661,0.0071090047393364926,1266
2016-06-30,15,0.9998567525902986,0.0,1281
2016-06-30,45,0.9819105665029548,0.014106583072100314,1276
2016-09-30,15,0.9999161316923323,0.0,1309
2016-09-30,45,0.9854379512906418,0.008416220351951033,1307
2016-12-31,15,0.9996731728634638,0.0007524454477050414,1329
2016-12-31,45,0.9732054560711743,0.012898330804248861,1318
2017-03-31,15,0.9999469123938852,0.0,1355
2017-03-31,45,0.9753694013369002,0.011878247958426132,1347
2017-06-30,15,0.9997232302481621,0.0,1374
2017-06-30,45,0.9806085246406754,0.012408759124087591,1370
2017-09-30,15,0.9998127368363128,0.0,1415
2017-09-30,45,0.9809901190683171,0.012829650748396294,1403
2017-12-31,15,0.9998990979263845,0.0,1436
2017-12-31,45,0.9726915788780105,0.01607267645003494,1431
2018-03-31,15,0.9993940917725682,0.0006816632583503749,1467
2018-03-31,45,0.9830103330887602,0.015058179329226557,1461
2018-06-30,15,0.9997865314673164,0.0,1499
2018-06-30,45,0.9636499344244681,0.024096385542168676,1494
2018-09-30,15,0.9995508792767231,0.0006527415143603133,1532
2018-09-30,45,0.9865476399468446,0.013725490196078431,1530
2018-12-31,15,0.9976282035163266,0.0012642225031605564,1582
2018-12-31,45,0.961676053447984,0.023462270133164237,1577
2019-03-31,15,0.9998840911630433,0.0,1604
2019-03-31,45,0.9802110234413087,0.012492192379762648,1601
2019-06-30,15,0.9998985113271144,0.0,1646
2019-06-30,45,0.9754675914943842,0.009151921903599756,1639
2019-09-30,15,0.9999042416071053,0.0,1710
2019-09-30,45,0.9713331773860437,0.01527614571092832,1702
2019-12-31,15,0.9998178909317101,0.0,1748
2019-12-31,45,0.9669244201118097,0.021839080459770115,1740
2020-03-31,15,0.999890011730558,0.0,1783
2020-03-31,45,0.9718574851593145,0.018130311614730877,1765
2020-06-30,15,0.9997778739653659,0.0,1791
2020-06-30,45,0.9440012099213929,0.03587443946188341,1784
2020-09-30,15,0.999664985830448,0.0005443658138268917,1837
2020-09-30,45,0.9779961965065378,0.009836065573770493,1830
2020-12-31,15,0.9998281110282725,0.0,1894
2020-12-31,45,0.9844612674213145,0.009554140127388535,1884
2021-03-31,15,0.999851585610229,0.0,1969
2021-03-31,45,0.9868106911789376,0.006625891946992864,1962
2021-06-30,15,0.9999023847991579,0.0,2031
2021-06-30,45,0.98534090471209,0.008866995073891626,2030
2021-09-30,15,0.9992051066941912,0.0004677268475210477,2138
2021-09-30,45,0.9873214174345086,0.005641748942172073,2127
2021-12-31,15,0.999316498417708,0.0008880994671403197,2252
2021-12-31,45,0.9698706955241208,0.018287243532560213,2242
2022-03-31,15,0.9999046232147124,0.0,2358
2022-03-31,45,0.9940807748534701,0.0033941450997030122,2357
2022-06-30,15,0.9997755709410501,0.000419639110365086,2383
2022-06-30,45,0.9872691668177389,0.007575757575757576,2376
2022-09-30,15,0.9999259855467005,0.0,2412
2022-09-30,45,0.9601599343838118,0.024126455906821963,2404
2022-12-31,15,0.9998291487441686,0.0,2456
2022-12-31,45,0.9584553138057786,0.029942575881870385,2438
2023-03-31,15,0.9997307906373242,0.000388651379712398,2573
2023-03-31,45,0.9678793942994546,0.01957713390759593,2554
2023-06-30,15,0.9999082623886104,0.0,2600
2023-06-30,45,0.9513006817129463,0.021688613477924088,2582
2023-09-30,15,0.9999600120107102,0.0,2613
2023-09-30,45,0.9645965532607181,0.017354415734670267,2593
2023-12-31,15,0.9999190926092487,0.0,2644
2023-12-31,45,0.9498720034212753,0.024733637747336376,2628
2024-03-31,15,0.9998666102719421,0.0,2675
2024-03-31,45,0.9618615297402693,0.0200302343159486,2646
2024-06-30,15,0.9995367117549891,0.00037064492216456633,2698
2024-06-30,45,0.9579174590039341,0.020537714712471993,2678
2024-09-30,15,0.9997505678768595,0.0,2750
2024-09-30,45,0.955584224012789,0.02278574053656744,2721
2024-12-31,15,0.9997055885917999,0.0003599712023038157,2778
2024-12-31,45,0.9540624105168752,0.033442384587422755,2751
2025-03-31,15,0.9998959573505634,0.0,2850
2025-03-31,45,0.9599393184589193,0.024122029088329194,2819
2025-06-30,15,0.9988740486976747,0.0006918021445866483,2891
2025-06-30,45,0.9463213142616993,0.021640488656195462,2865
2025-09-30,15,0.9991196363508559,0.00033886818027787193,2951
2025-09-30,45,0.9617762360971501,0.023947998631542934,2923
2025-12-31,15,0.9986613207783458,0.0003295978905735003,3034
2025-12-31,45,0.9844562612541959,0.008976063829787235,3008
2026-03-31,15,0.9998551834688387,0.0,3071
2026-03-31,45,0.960866096762705,0.021395655036208033,3038
