period,model,r2,ic,hit
2013-12-31,ema_disc,-1.8201645115762517,-0.18238016791631076,0.44771863117870725
2013-12-31,last_dio,-1.8201645115762517,-0.18238016791631076,0.44771863117870725
2014-03-31,ema_disc,-2.3067048830154713,-0.004284030742902678,0.4967441860465116
2014-03-31,last_dio,-2.3067048830154713,-0.004284030742902678,0.4967441860465116
2014-06-30,ema_disc,-1.103205885398323,0.03798049895509532,0.5182413470533208
2014-06-30,last_dio,-1.4029839542098408,0.09701400379010532,0.555352241537054
2014-09-30,ema_disc,-0.35848317621043857,0.06622546481746801,0.5327188940092166
2014-09-30,last_dio,-1.3848893164699025,-0.12164444925542735,0.4808548530721282
2014-12-31,ema_disc,-0.2781984111089162,0.09411997077963342,0.5339285714285714
2014-12-31,last_dio,-0.9651616466069599,0.13667072598608693,0.543459174714662
2015-03-31,ema_disc,-0.22575625461707616,-0.03693332861562016,0.48939929328621906
2015-03-31,last_dio,-0.8781504327915128,0.042904737567466565,0.49956709956709955
2015-06-30,ema_disc,-0.20359202117854447,0.10206619740953772,0.5515151515151515
2015-06-30,last_dio,-2.099653777465298,-0.3109295576788139,0.39709649871904357
2015-09-30,ema_disc,-0.2834880206972903,-0.07934783190590664,0.4812286689419795
2015-09-30,last_dio,-0.6235686748869405,0.034250154826673346,0.5420482930890924
2015-12-31,ema_disc,-0.23579139056036968,0.05945377775638472,0.5232945091514143
2015-12-31,last_dio,-2.491664263107464,0.008883017287067535,0.49551020408163265
2016-03-31,ema_disc,-0.8640528468776705,-0.050955009605381234,0.49836601307189543
2016-03-31,last_dio,-2.275596808700002,-0.23092257664701984,0.42936507936507934
2016-06-30,ema_disc,-0.24855445964561262,-0.08633274320293094,0.46899841017488075
2016-06-30,last_dio,-1.3353768349410182,0.002741092791085004,0.5090622537431048
2016-09-30,ema_disc,-0.1816488026962546,-0.020635987801539732,0.5067300079176563
2016-09-30,last_dio,-1.1635730745618553,0.037869307592715264,0.5563325563325563
2016-12-31,ema_disc,-0.35821717926367014,0.029682999272290914,0.5337995337995338
2016-12-31,last_dio,-2.3233282976376297,0.09191620674150015,0.5756880733944955
2017-03-31,ema_disc,-0.6041846089775436,0.010772805827151824,0.48895658796648894
2017-03-31,last_dio,-1.4016467608992076,-0.07989799849356684,0.4816204051012753
2017-06-30,ema_disc,-0.32129141849123033,-0.050164022250861,0.4906507105459985
2017-06-30,last_dio,-1.197193330535817,0.004545354555991273,0.4911894273127753
2017-09-30,ema_disc,-0.29971593104048155,-0.133702862562525,0.4118081180811808
