period,exp,spread_uncond,spread_t0,spread_t1,spread_t2,delta,n
2013-09-30,new_conv|mktcap,0.009454443206868543,0.011976498777645894,0.01682697803234611,0.001478820200633564,0.002522055570777351,1082
2013-09-30,dbreadth|io,0.034854027484508866,0.05240797348084381,0.07500655258310568,-0.007234099342270046,0.017553945996334946,1084
2013-09-30,distress|adv,-0.0994662463475349,-0.09376884538227079,-0.05931572384303764,-0.07482758420039681,0.00569740096526411,1114
2013-09-30,pressure|vol,-0.08904446887747718,-0.03828144775912902,0.0018611657205350532,-0.12769534243036368,-0.0386508735528865,1114
2013-09-30,exit_rate|mom,0.06284825190852808,0.06559063587935873,-0.0019750691180510926,0.09681866036904122,0.002742383970830653,1091
2013-09-30,pressure|adv,-0.08904446887747718,-0.15701224074588319,-0.014513276798181658,-0.05703283532153268,-0.06796777186840601,1114
2013-09-30,pressure|mktcap,-0.09063742406419727,-0.17427616263219248,-0.037097110400184236,-0.00958822534445792,-0.08363873856799521,1083
2013-09-30,pressure|vol_resid,-0.09063742406419727,-0.03547412049470714,-0.013208005623072332,-0.12508400200311587,-0.0344465779389186,1082
2013-09-30,pressure_o|vol,-0.07099785848970233,-0.03407863771611433,0.0008701388662718246,-0.09963468996475305,-0.028636831475050722,1093
2013-09-30,pressure_o|vol_resid,-0.07240811105152199,-0.026394718951327265,-0.030796119413923566,-0.06318473016366788,0.009223380887854113,1062
2013-12-31,new_conv|mktcap,0.01906785394783016,0.0013451076318749915,-0.010050497277047814,0.056319547362324356,-0.01772274631595517,1105
2013-12-31,dbreadth|io,-0.003315172332997541,-0.030365770078121822,0.008148560133791744,0.008659244780610852,-0.02705059774512428,1107
2013-12-31,distress|adv,0.07540622173238029,0.057511776009204374,0.016361379952119223,0.0857265092641073,-0.017894445723175917,1138
2013-12-31,pressure|vol,0.045047047465036065,-0.012912096283122884,0.0002668703930292563,0.06450106169700698,0.019454014231970913,1138
2013-12-31,exit_rate|mom,-0.07732735301181773,-0.07763588117583363,-0.06203960641150419,-0.10966965059793869,-0.00030852816401590044,1106
2013-12-31,pressure|adv,0.045047047465036065,0.04240485804423549,0.049630608670675744,0.018147582957327227,-0.002642189420800578,1138
2013-12-31,pressure|mktcap,0.04041065463642887,0.03566168168760418,0.03717961656141793,0.014930560017659529,-0.0047489729488246896,1106
2013-12-31,pressure|vol_resid,0.04008167332880758,-0.009694317807642659,-0.001986209280807694,0.008232142891079292,-0.031849530437728285,1105
2013-12-31,pressure_o|vol,0.03146561803129277,-0.02023214661178766,-0.029304068757990433,0.0491810686010472,0.017715450569754432,1107
2013-12-31,pressure_o|vol_resid,0.029159575902057294,-0.021091858004538167,-0.010314889056373809,0.006473262520738002,-0.02268631338131929,1076
