period,g_t,n_beta,n_uni,spread_state,ic_state,spread_signed,ic_signed,spread_placebo,ic_placebo
2021-06-30,0.02418149098929577,242,1003,-0.05347785053627805,-0.09690373258400718,-0.05347785053627805,-0.09690373258400718,-0.0651277623055398,-0.11374417435243474
2021-09-30,-0.013508087421137507,277,1064,0.08016112989636032,0.11751557022483465,-0.08016112989636032,-0.11751557022483465,-0.10695103323962997,-0.14812627809237958
2021-12-31,0.021293667046749225,310,1357,0.07949973218679784,0.16227040508126991,0.07949973218679784,0.16227040508126991,0.0843864331432836,0.17338437201851248
2022-03-31,-0.1430802154515533,372,1405,-0.1162839872828575,-0.17020522330505472,0.1162839872828575,0.17020522330505472,0.1305961204500051,0.17847762324256053
2022-06-30,-0.04860326593615081,425,1414,0.04634714294633124,0.051221499454079916,-0.04634714294633124,-0.051221499454079916,-0.06038345646464615,-0.053129800901972286
2022-09-30,-0.030661088798720558,477,1497,-0.0026327899566331164,-0.0266170303523735,0.0026327899566331164,0.0266170303523735,0.04118259452621985,0.07285557027536864
2022-12-31,0.008811819164372865,516,1560,0.042117102171290034,0.11704343111707266,0.042117102171290034,0.11704343111707266,0.03817858076661099,0.08341290473018009
2023-03-31,-0.05247434641189497,557,1652,-0.10597722357857794,-0.10457215576670081,0.10597722357857794,0.10457215576670081,0.05552992162871544,0.06650771582445258
2023-06-30,0.007897101561165553,589,1752,0.09404184617650355,0.13308770271269518,0.09404184617650355,0.13308770271269518,0.052504150661411675,0.05944607453049859
2023-09-30,0.01641350376442565,632,1762,-0.021057302178873305,0.03175522126880696,-0.021057302178873305,0.03175522126880696,-0.028655751077615504,0.03053138548084075
2023-12-31,0.02260101851168984,665,1733,-0.033315729310785094,0.0013505290527029577,-0.033315729310785094,0.0013505290527029577,-0.04819221391028459,-0.031189329478157952
2024-03-31,-0.029152610566068958,717,1782,0.025988059968457964,0.06344059885822928,-0.025988059968457964,-0.06344059885822928,-0.046990959004107324,-0.08387372603755229
2024-06-30,-0.008395955306805765,772,1823,-0.02560283295552626,-0.04779512548001766,0.02560283295552626,0.04779512548001766,0.02544025401445335,0.0367467605135489
2024-09-30,-0.050090417318030836,813,1883,-0.055053786632223684,-0.07332997995091613,0.055053786632223684,0.07332997995091613,0.03806352262983306,0.018274281818513798
2024-12-31,-0.0036956147868915453,870,1922,-0.0029398788431054396,0.052588358655329535,0.0029398788431054396,-0.052588358655329535,-0.03405635891527736,-0.08007016873077966
2025-03-31,-0.05107963524563535,933,1926,0.021075690598660435,-0.030128901825646082,-0.020811830167727155,0.030128901825646082,0.11876299720554674,0.12488940556975228
2025-06-30,0.02319831803081203,991,1995,0.04857199377060838,0.013112226821649572,0.04857199377060838,0.013112226821649572,0.041475622533434744,0.046872159262605566
2025-09-30,-0.039910981214773725,1041,2065,0.02465408972607517,0.030578077832125475,-0.02465408972607517,-0.030578077832125475,-0.047027084806114686,-0.0705690369722138
2025-12-31,0.014042217674736818,1090,2044,-0.09506436256663293,-0.11063411636353603,-0.09506436256663293,-0.11063411636353603,-0.13609473918016501,-0.1331513757866192
