period,method,signal,spread_ew,spread_vw,ic,n
2018-09-30,ica,rev,0.006895481456200531,-0.05612435912997279,9.553396766944571e-05,983
2018-09-30,ica,cont,0.03688859511735575,0.006134940430543179,0.08032296898852698,983
2018-09-30,ica,comb,0.03350386566346244,-0.012869055039082178,0.060300714805335644,983
2018-09-30,pca,rev,-0.031750070847169604,-0.04815473789171627,-0.04634481379921838,983
2018-09-30,pca,cont,0.004803801542006471,0.07193287613653157,-0.004002193567029143,983
2018-09-30,pca,comb,-0.012984264892664459,0.011687472321179277,-0.024876925758769933,983
2018-12-31,ica,rev,0.004652172154374436,0.005038641354168717,0.01204620191468654,981
2018-12-31,ica,cont,-0.0163370003680262,0.08643409896077002,-0.030643678835909634,981
2018-12-31,ica,comb,0.0006725405414658459,0.03403608716317694,-0.019354445082926428,981
2018-12-31,pca,rev,0.007787323379545663,-0.04578875966646144,0.010646660801879376,981
2018-12-31,pca,cont,-0.0034708923870992725,0.012319311337948925,0.017125865275387606,981
2018-12-31,pca,comb,-0.017735814884745696,-0.010042492274870765,0.02074747507957281,981
2019-03-31,ica,rev,0.006502375962820842,0.03842475307181099,0.03401277842582041,979
2019-03-31,ica,cont,-0.002033809449207606,0.06294274170834015,0.014355733582904701,979
2019-03-31,ica,comb,0.030944767446573037,0.09888475846550947,0.0370519433597205,979
2019-03-31,pca,rev,0.011492235974264912,0.15270753659118483,0.03320509464243031,979
2019-03-31,pca,cont,-0.07941727080939982,0.019750812611232384,-0.0929721599437697,979
2019-03-31,pca,comb,-0.025385141802261573,0.06005652150740058,-0.029443210325479453,979
2019-06-30,ica,rev,0.03441444342665953,0.024792919242250494,0.07913387342982196,969
2019-06-30,ica,cont,-0.003758256796562595,-0.013035103229352918,-0.028958222930791488,969
2019-06-30,ica,comb,0.027058693673285256,0.03476877189654308,0.03205233962037135,969
2019-06-30,pca,rev,0.0360381004133003,0.01716553604997531,0.06243978252996333,969
2019-06-30,pca,cont,0.010050314857221423,-0.04910168518817035,0.021848980665256153,969
2019-06-30,pca,comb,0.02050487178348656,0.022958443191347544,0.061527022239550574,969
2019-09-30,ica,rev,0.010325530698839763,0.04680058296528067,0.014390129481972245,990
2019-09-30,ica,cont,-0.005338310249299691,0.06919101911130106,0.007275597731051722,990
