filer_id,cik,name,n_q,ann_excess,te,ir,ir_1st,ir_2nd,med_aum,act_share,turnover,n_pos
CIK0000002230,2230,,51,-0.003758104919094928,0.020811666191953373,-0.18057684012762076,-0.5064646322896702,0.05567902752315123,1884067000.0,0.9508647674321687,0.14526014930840186,121.17647058823529
CIK0000005272,5272,,39,-0.025874412868577636,0.03764791116235511,-0.6872735317404656,-0.8813832862059664,-0.519808914192514,23118856294.0,0.9938611479235155,0.11688856149026508,3642.641025641026
CIK0000007195,7195,,51,-0.008674009334681862,0.02762491455839845,-0.31399225925992336,-0.3946624605549445,-0.25848349312997965,209050000.0,0.956697590876633,0.061010178128640444,74.3921568627451
CIK0000007789,7789,,51,-0.03460354266111886,0.040505526080369496,-0.8542918956478005,-1.1894796668078955,-0.7572384198694855,1843813000.0,0.9522214536150038,0.062062232586468674,344.01960784313724
CIK0000008565,8565,,18,-0.053216807746331,0.057450306795616836,-0.9263102446745951,-1.0044112046100528,,10094584500.0,0.9999680044197685,0.13720221971872876,1003.3888888888889
CIK0000009634,9634,,50,-0.06033291952818574,0.06267495527979865,-0.9626320315174911,-1.3384021191385027,-0.8031748167544157,4157328000.0,0.9347953965527086,0.08583689468367552,956.78
CIK0000010742,10742,,45,-0.04878166114607395,0.06083447036726213,-0.8018753323563393,-1.2815111444394787,-0.5702048911620333,3728396000.0,0.974944994414905,0.06642649845476738,230.8
CIK0000018748,18748,,51,-0.008575832323148036,0.05424358796337102,-0.158098544820133,-0.3246210332395905,-0.022608371549343385,645471000.0,0.9795644200632213,0.07275748043252107,32.450980392156865
CIK0000019475,19475,,51,-0.007278222873800153,0.049369681295458566,-0.14742292602514367,-0.577482344822539,0.12205875872886429,226379000.0,0.9675998022356191,0.2506383163413486,101.50980392156863
CIK0000022657,22657,,51,-0.03694751154892143,0.046400258982345656,-0.7962781320118633,-1.2024392460301767,-0.70329858744774,733923000.0,0.9504067108886994,0.06588209351073746,222.4313725490196
CIK0000035442,35442,,49,-0.056820739021969074,0.06608254379219035,-0.8598449115235857,-1.176480694033192,-0.7323940502879543,3984319000.0,0.9413572534967724,0.06027554152970836,531.3673469387755
CIK0000035527,35527,,51,-0.05242137536360122,0.05642037405151812,-0.929121372252449,-1.2300847099525185,-0.7378382450958931,16368429000.0,0.9339951118054541,0.05971244560312359,2431.529411764706
CIK0000036066,36066,,51,-0.0465570118993182,0.04678040859293841,-0.9952245672423566,-0.9091255312931691,-1.0544357935926691,479706000.0,0.9534518091216968,0.11102807968510252,141.23529411764707
CIK0000036270,36270,,46,-0.0704274425243138,0.07054280660793188,-0.9983646229691995,-1.2442440305392215,-0.8887389295904492,20205619000.0,0.9245983200369822,0.0773089588066054,1485.608695652174
CIK0000036644,36644,,47,-0.03860139940430853,0.043017470797539245,-0.8973423747804808,-1.1488574610107498,-0.7171630638969987,1546749000.0,0.9828201838204841,0.07450653289533923,352.97872340425533
CIK0000040417,40417,,51,-0.005825045380515058,0.04452333341139579,-0.13083129527679233,-0.7908542471685953,0.44560118254934583,1098924000.0,0.9738650467716686,0.08169374489167135,63.745098039215684
CIK0000040729,40729,,47,-0.040217229431711,0.06037431547115346,-0.6661314354710046,-0.7955446815674575,-0.6372234113786412,728087000.0,0.971808462780833,0.24376159415501428,113.68085106382979
CIK0000044365,44365,,47,-0.04620618296993412,0.057577273836006665,-0.8025073069616835,-1.1452182976587553,-0.670223199102413,1674368000.0,0.9763482399337421,0.06781458395495679,1215.723404255319
CIK0000045319,45319,,51,-0.029228724042882487,0.0520079209000828,-0.5620052395078909,-1.109224153572408,-0.3325808685131098,2212149000.0,0.9590072389514581,0.04797924112205912,194.45098039215685
CIK0000047288,47288,,21,-0.05382840708118881,0.028974446208028765,-1.8577889872682873,-1.8577889872682873,,1119560000.0,0.9999936884602941,0.11749141730406613,517.8095238095239
CIK0000049205,49205,,51,-0.012263389454353677,0.024702524303557464,-0.49644276441799573,-0.8869321185021788,-0.16961679886882028,4734242000.0,0.9388827311996003,0.08566944380637855,2320.9803921568628
CIK0000051812,51812,,49,-0.03138381972287594,0.0381137210475855,-0.8234257600313012,-1.139647617059747,-0.627202855947028,241758000.0,0.9780274558811194,0.06684655876369212,124.48979591836735
CIK0000065957,65957,,25,-0.05300562486022446,0.048592861043422746,-1.0908109487662567,-1.1273779180140513,,191805000.0,0.9999954395527617,0.1774869730953379,133.0
CIK0000071210,71210,,51,-0.023921349993288998,0.03393193394197243,-0.704980447998848,-1.272076211502909,-0.3085719727270857,995937000.0,0.9529796784662432,0.059674004775266305,255.52941176470588
CIK0000071259,71259,,37,-0.04039731162622627,0.056418611372810686,-0.7160281091970039,-1.1022973494961854,-0.32340925332801124,7777495000.0,0.9999151170452645,0.13736375287573854,366.8918918918919
CIK0000084616,84616,,48,-0.04833166472556747,0.06722927798765882,-0.7189079843011527,-0.9025825490336072,-0.6164306012862487,962776000.0,0.9767338352790812,0.08182464336627952,219.35416666666666
