period,n_distressed,sold_frac_distressed,sold_frac_healthy,pecking_corr
2013-09-30,52,0.3460478004161235,0.18531328217593157,-0.03819077572666957
2013-12-31,26,0.15398722736431905,0.15102860271994928,0.07251100449488193
2014-03-31,44,0.2836476139239399,0.14711033177171184,-0.05453478199819788
2014-06-30,34,0.23436680446627584,0.13765283093273528,0.03945830754344128
2014-09-30,55,0.24150969486410198,0.1545246038353983,0.005863999055718436
2014-12-31,58,0.28997342749594446,0.16328436930210144,-0.05313999862027987
2015-03-31,75,0.2923183394923021,0.1430274644650354,-0.0009502624319547789
2015-06-30,49,0.3006595423189851,0.1530853711635088,-0.03783533999524826
2015-09-30,97,0.30308001434400766,0.15817039117670403,-0.06036065702393335
2015-12-31,77,0.3265713008115521,0.16365152014782292,-0.032782579496885594
2016-03-31,125,0.2927853515414947,0.145239475685856,0.013412710843854453
2016-06-30,83,0.2887160260306582,0.13636661703762076,0.012063912161372757
2016-09-30,93,0.3105446563510187,0.1608118934341451,-0.08096135985885723
2016-12-31,94,0.310887571127961,0.1609807951297904,-0.05279590791960687
2017-03-31,82,0.3563975569420151,0.1514036543235268,-0.033930677529525805
2017-06-30,89,0.3115363906875357,0.1335151437833183,-0.06658036825888121
2017-09-30,84,0.3476410828246012,0.1569930992582093,-0.02662046086911709
2017-12-31,111,0.33114323957698644,0.1693177880884978,-0.006825723164483652
2018-03-31,140,0.2997372965220947,0.16451640817426816,-0.04073302794487993
2018-06-30,97,0.3415765078688108,0.13179108787357896,-0.05935574782936582
2018-09-30,121,0.3706159316293494,0.18755267285218094,-0.014810897843976187
2018-12-31,292,0.2654588496200644,0.1402991858574315,-0.012686471563072338
2019-03-31,126,0.32946503660177107,0.14483653587781395,-0.04816634624558655
2019-06-30,125,0.32216667950402667,0.13707413545585787,-0.0694275595233833
2019-09-30,165,0.3293577434016682,0.13966707131887474,-0.028210550536847054
2019-12-31,146,0.4292362857269247,0.23652155658673937,-0.08924207377714903
2020-03-31,570,0.2717833761425889,0.17011007304602502,-0.02550407511586609
2020-06-30,183,0.2659502525287445,0.1589342413283168,-0.0047624985148732955
2020-09-30,157,0.3472759038101711,0.16683982852365495,-0.01655729990190672
2020-12-31,135,0.33681902529100943,0.19437844266036877,-0.043606489490886906
2021-03-31,201,0.3556326515271459,0.1455261490242765,-0.06510689938113912
2021-06-30,134,0.35089904730633936,0.14708635473594814,-0.016635897774897206
2021-09-30,187,0.34023040343117394,0.15227068214674136,-0.02361280713576379
2021-12-31,217,0.3801034357651398,0.1706889958125701,-0.01510563610543016
2022-03-31,310,0.3555991973640884,0.16617023537878944,-0.01335870952053394
2022-06-30,304,0.2860514875061607,0.13929782429975607,-0.036570223873515974
2022-09-30,242,0.39495755114731124,0.22401108058811814,-0.006900746598495247
2022-12-31,252,0.33645388983304714,0.18038356804501685,-0.004476326515934278
2023-03-31,175,0.3065660362743925,0.16884307035950225,-0.010951799384112912
2023-06-30,171,0.3516053673547511,0.1712030901420837,-0.013305812774633479
2023-09-30,201,0.3488715002124361,0.1459313510738292,-0.045561235857955025
2023-12-31,214,0.3742003269833664,0.14962236813475152,0.00021470176422785117
2024-03-31,204,0.32252359564401034,0.15001848470412338,0.00043908757314030004
2024-06-30,221,0.3316061542057415,0.15031007647845177,0.027154723977629882
2024-09-30,232,0.3823790718329323,0.17294779165762583,-0.011859177965121813
2024-12-31,223,0.3259725791162423,0.18189411154444773,0.03110511251093425
2025-03-31,305,0.343858953222549,0.17104180653849965,0.013813685220385447
2025-06-30,210,0.3497257505161561,0.1885622813974031,0.023842297002592265
2025-09-30,214,0.3691931424822401,0.19890211262977228,0.0011875593136098533
2025-12-31,252,0.40120863451351857,0.19779589952586185,-0.008596420699748536
