period,n,ic_f_raw,sp_f_raw,ic_f_mid,sp_f_mid,ic_f_perp,sp_f_perp,ic_f_perp2,sp_f_perp2,ic_f_gls,sp_f_gls,ic_f_drift,sp_f_drift,corr_drift_mom
2013-09-30,747,0.05018125576815152,0.01562007078683475,0.04173716269790204,0.006212244181429627,0.019775104777470336,0.004306705623135489,-0.048527812559178526,-0.026383163830535628,-0.01649179620519324,-0.016978206445742064,0.020754233713228393,0.007783199420023805,0.4367172763171302
2013-12-31,766,-0.04257126191219473,0.0007633688041079522,-0.02442330903787266,0.005246026970774808,-0.01792639087490825,0.001878548894588785,0.0009911885819411286,-0.005741027351364269,0.029580843063632296,0.020464811591914118,-0.030721219719317083,0.0029926460992872727,0.4131624972487578
2014-03-31,771,0.04304526746816217,0.0070032576236489785,0.012395853979693018,0.007999689809989954,0.013589221206003128,0.00778684411546586,-0.017927188837049527,-0.0065805889375069315,-0.019658563649612222,0.004619198959280632,0.010729183175582935,0.023239947404736484,0.36077968621745665
2014-06-30,801,-0.031225307517722546,-0.02429598532195658,0.02421908711367648,0.01738700316408827,0.031072225802534856,0.026508736001962525,0.047233974987624563,0.026699657488928677,-0.012684580683123652,-0.0130721092690631,-0.059027868542504316,-0.051295942330121504,0.3400551830621453
2014-09-30,809,0.04241234589054291,0.00897501364753664,0.02796058551054941,0.00016565473715417917,0.04069917498548372,0.008536534085883105,0.030810106144524632,-0.0027751578597438945,0.04159628364979061,0.0017719638810686014,0.030363019660929694,0.008773856111228905,0.3145628763055124
2014-12-31,825,-0.02787704972335547,-0.02186635576539752,0.037070025580803925,0.0034848708685013066,0.022363820152202583,0.006649671201214603,-0.007841360548288311,-0.00996454593538789,0.017568541381277933,-0.0021236260308441293,-0.09421401491454383,-0.031748049625723196,0.5011941346887923
2015-03-31,839,0.14695203201252283,0.06127178164473314,0.018717731359926725,0.014353081046617387,-0.037431195792240454,-0.010818262993762345,-0.028195817029267465,-0.014851012410941184,-0.0575358208573111,-0.027735532049789985,0.18258627418037482,0.06717683592175908,0.47380743733235436
2015-06-30,855,-0.05518152282805989,-0.03427734850134742,-0.04897647059275276,-0.030206473811511803,-0.06850700752186888,-0.022683607748272987,-0.028148796228352407,-0.02162642469091657,-0.10565660742940544,-0.04095691653062637,-0.011866644792343358,-0.016446854345558596,0.3830631248813583
2015-09-30,859,0.16985019474664004,0.08684273185237656,-0.00019282501617287875,0.0025433059446884065,-0.006072861540279035,-0.014235421541197585,-0.06627824621435364,-0.03688164751015238,0.03540602397845813,0.024276452345499605,0.21140805318001107,0.1009727185882753,0.5142646480833425
2015-12-31,847,-0.04065892624704346,-0.029526909728694192,-0.019772519124732546,-0.016900876889205413,0.003295867484218274,0.0013268915428653882,-0.026638243208806325,-0.011090944624464083,-0.02751315598018273,-0.013609242163060656,-0.003990259343169256,-0.004157997140954869,0.39824694758353946
2016-03-31,879,0.04346033668881904,0.03393335784252481,-0.006407939941918033,0.00482954912137093,0.0026530906490013053,0.0005143249267615668,-0.002369395086709492,-0.0013207142975703162,-0.011287570756033831,0.0010030996087738026,0.04932213142668129,0.028848039715965654,0.3229653876916016
2016-06-30,918,-0.06808701102981457,-0.021000334834203795,0.009736155715390675,0.004889605631440936,0.007385869176544794,0.006802524197412547,-0.015949565111521964,-0.005961505859278529,-0.0012496294788061722,-0.0051627824910296105,-0.08023696702203212,-0.040565688479508144,0.46470228920509776
2016-09-30,946,0.006287951166515052,-0.017890655508953066,0.017223719937307518,0.003125608434865451,-0.008913114558850172,-0.0145120808705676,0.030368544928599934,0.0024203472601741216,-0.023196125055116725,-0.019343693599148885,0.05143833281283328,0.007222259492016839,0.2347135689240103
2016-12-31,978,-0.1659070597267165,-0.04477619047629534,-0.043510854493009087,-0.009108095855911234,0.06901296094795242,0.016112745169469617,0.04064101043387294,-0.0007573924212138904,0.026443111381036034,0.005070673289058617,-0.18615549865279088,-0.06854584544604637,0.38533857721857534
2017-03-31,997,0.09358950647727524,0.04229527782862927,-0.011696678271528982,0.00201046166010105,-0.019943089766196,0.001972936114317491,0.012479418602040764,0.020305354876911888,0.01281665698740474,0.016369581649656774,0.12714197825210644,0.03930970895180925,0.3227676677314246
2017-06-30,1006,0.07974694334990516,0.03654395296884716,0.09937870295604721,0.03963838003974471,0.05877555665282048,0.02460910187724366,0.041186835323560864,0.025461944643182743,0.08368711385513121,0.03535142098096786,-0.017797084854110485,-0.012196294530317495,0.34294709047485716
2017-09-30,1045,0.059134911488879414,0.02519743594826261,0.010994479431494696,0.012412829492287697,-0.015645515546269608,-0.01546146042477154,-0.02524111936548216,0.009973563968748336,-0.029391151716629812,-0.010949624633090037,0.038858295015853146,0.007886260695054825,0.44439681355532656
2017-12-31,1057,0.04745591871666935,0.014284877345028783,0.050832251068702455,0.013029677760578822,0.04653476085501399,0.015922985671918747,-0.015922469504606233,-0.02274657725712434,0.11152055186391494,0.03310135454529006,0.028796759887305685,-0.0014488414849096777,0.4065174976860983
2018-03-31,1088,-0.006493634275047082,-0.0184012343592349,-0.012060671356973302,-0.00679105081886314,-0.00477550497720814,-0.035467483109694074,-0.0700348914418079,-0.04794991546212466,0.002571566234741633,-0.017409376665622887,0.03368854641580837,0.01427638736951127,0.4403409809302488
2018-06-30,1121,-0.0013158661404712726,-0.0224742846535073,-0.014758373546482904,-0.01387161901168904,0.009283598282391378,0.008332744820759658,-0.04679421237313351,-0.035839624504178935,-0.007263385850650374,0.013107940165164922,-0.007156565305936113,-0.00840637974232071,0.45077251696195914
2018-09-30,1135,0.004648473316649777,-0.0041090928130811805,-0.014231940837388503,-0.012028803482207917,-0.030433219319178247,-0.030766740801069045,-0.015305932511367767,-0.023670984760482086,0.011882036221243272,-0.026466631548316896,0.004518628286596644,-0.005008338035697793,0.43499774038510197
2018-12-31,1176,0.14126975600884073,0.05029731080637648,0.04033524297479074,0.03244937824132273,0.011873552689392247,0.0031058258896683962,-0.008884226587831393,-0.01027371971136912,-0.033386447657390475,-0.027749954840594712,0.12195978515797196,0.05370417911046125,0.3543698706128014
2019-03-31,1196,0.03945850689050328,0.02278534870326311,0.0310701678280166,0.0091726282086806,0.08080910915567138,0.04001415056224302,0.07929449854327537,0.030915197510696907,0.05451112563317306,0.03199978332856697,0.0415926367376752,0.04217132724745083,0.29785826452990444
2019-06-30,1207,-0.10285788557773524,-0.048443251952590985,-0.04811362403704331,-0.01523996666081872,-0.05239248978064078,-0.02971696237841886,-0.043437951062325,-0.02719383462156396,-0.03510719664160201,-0.018884728553315695,-0.10140012125278255,-0.04934678016039045,0.46449260730718533
2019-09-30,1245,0.0036766037792869927,-0.010580439737695638,-0.02994635015056743,-0.03205296842678368,-0.07811609477449831,-0.03926791664776519,-0.07438342035154806,-0.038872418866985545,-0.07499501756645943,-0.026205307720016086,0.01649960431170873,0.004305590241499263,0.3882960578766603
2019-12-31,1282,0.03378387504344419,0.010928947490320924,-0.03913722806275245,-0.03567102083756484,-0.08350983932300683,-0.06664395812882906,-0.13380699202551968,-0.11604467324738607,-0.07573000480077688,-0.04173780618201409,0.0730344643261432,0.053884122891520975,0.27354122857511876
2020-03-31,1219,-0.11975382111427606,-0.046703979595855566,0.0029943735215596655,0.025849895963200753,0.005283521025047107,0.0013817931558705865,-0.043733360662693704,-0.011672216351913539,0.0015721095309355615,0.0011045814861757597,-0.12615088562689486,-0.07702737817973837,0.598031827349675
2020-06-30,1302,0.027864561092449506,0.029931434635134105,0.016261638754676174,0.03229823487023742,0.09528167624180599,0.06856241267764679,0.06487758540974434,0.0298568479392044,0.076049261052435,0.06213031688193561,-0.0015528734985785144,-0.010144067875547058,0.4137602141694012
2020-09-30,1362,0.1088263200160133,0.06351985913555175,0.1969062431384951,0.15204692291730423,0.05738945063721653,0.024986672756699746,-0.053013490234327554,-0.044184648240638696,0.07198142035303069,0.042216489559474435,-0.02731170171282903,-0.019803890557529596,0.404735491726888
2020-12-31,1526,-0.02136673784800118,-0.027686374428894163,0.009039945342217422,-0.02558238063739842,0.16257252530319574,0.0997853636890273,0.13868696193101446,0.09372612061937577,0.10162766357510326,0.059051433229746056,-0.012463098978248821,-0.01563156720367277,0.22846206431567398
2021-03-31,1567,-0.09934427864630431,-0.03196844258903705,-0.13308191344079437,-0.0629953415722506,-0.088023573974184,-0.06449023177316038,0.015873502391149305,-0.013719357812694488,-0.04562378373585349,-0.014893506794305372,-0.03002828776479463,0.018057948038068015,0.3367606346729848
2021-06-30,1607,0.0628535700490238,0.0404831429470494,0.015046085245109229,0.0036648377753658035,0.01853357021387224,0.02010984460392983,0.018435016816853486,0.00902015199081381,0.031248430238670112,0.022574152493624974,0.10488343018349816,0.06712684365686437,0.3217396333613118
2021-09-30,1736,-0.026495110780648517,-0.0042368818665348695,-0.015109364073316546,-0.02165674356991304,-0.03814516226513523,-0.027519418435004217,0.08146685725286189,0.05755678590023405,-0.006808112211991887,-0.02090750588525417,0.061030901135583196,0.04361142506702537,0.3534534660887565
2021-12-31,1703,0.051610131097843966,0.019941869505930188,-0.02453537914428048,-0.04208010032612877,0.023072852985952557,0.014518702218109608,0.019291871617241024,0.020078714291464267,0.03730487410012286,0.017565412625470067,0.10000119148816458,0.07418058539323001,0.48567927261738586
2022-03-31,1677,-0.06871376263381418,-0.0361024185037416,0.0002317727907710035,0.015969335164499707,0.02898866655682742,0.027628502767467644,0.018014866606810266,0.012813004364323824,0.05535208618080358,0.03460759144778172,-0.06593709506314988,-0.02801381274953124,0.421756470665749
2022-06-30,1699,0.051468856501476846,0.04331300794539651,-0.07206649368495217,-0.04731065244570368,4.922748522765602e-05,-0.01500870331778946,-0.005598001147311886,0.0012872219942407226,0.044582075924936106,0.02290867618425592,0.11976814004601194,0.08007714208402815,0.41643952314498606
2022-09-30,1656,-0.024682995869673423,-0.03655281220130524,0.09069678619818458,0.02517146553020258,0.030957713149507654,0.013481352232390914,0.0026135825275102093,2.454316149054503e-05,0.03567602907318246,0.005394558799085708,-0.08863110557573067,-0.057609075370227275,0.3481864396043653
2022-12-31,1737,0.08889706333359976,0.05244567431830388,0.03215554469740909,0.029192539514320978,0.031133584170987612,0.021788772617247085,0.02950974159006622,0.019770639551912023,0.003959718664039133,0.020185253554305962,0.07756475464907929,0.04965532765898894,0.38745665410398483
2023-03-31,1687,-0.030633073487813918,0.0030948532055651116,-0.03149155816403391,-0.0031243540588547954,-0.009000404873166484,0.00684125730341165,-0.0211129104252136,0.010770779501496758,0.02271770160730658,0.02591093067027523,-0.0048424271998686605,0.022356658754203812,0.3687759700094516
2023-06-30,1692,0.06884510341248608,0.029066697567916206,-0.011997990416195056,0.0009491154874051444,0.0022309190495098364,-0.012610517872460078,0.06127837613769182,0.021960605492298578,-0.012928643868118301,-0.0162106191684837,0.07128212251965846,0.03634945518736493,0.40065759290713204
2023-09-30,1652,0.005229427577157811,-0.026510955802109465,-0.0352375099763043,-0.04593992090103119,-0.0579289771322117,-0.06807962048483544,-0.06254250907808989,-0.07113629087284634,-0.028398743782224505,-0.031661082366631815,0.022920529157205227,-0.010909684329201141,0.34553326054140165
2023-12-31,1697,-0.00411988033537337,0.007557832903001722,0.011566605422486819,-0.001842633291944385,0.005587116237920084,-0.008634233965529054,0.03833993568536076,0.023517375568557743,-0.003983412290342043,0.020876223346636864,-0.00010382385269103739,0.016497766878114765,0.35779513623523773
2024-03-31,1714,-0.027401351385029263,-0.01492978470958604,-0.026615052137577932,-0.020419828855965817,-0.011070383372388675,-0.026231061659468174,-0.025010564891496594,-0.0263709262720633,-0.04560515259399566,-0.043451359286173837,-0.00900212066733012,0.02321430178827286,0.47645217802635426
2024-06-30,1711,0.06698856650192916,0.05750969122052932,0.006167987604487001,-0.014069905083372207,-0.0778731224106739,-0.05082271479727703,-0.07009470370486429,-0.0631857727412885,-0.011136947074996437,-0.014019194684740697,0.07953591540225197,0.06950090281314628,0.4122877343193541
2024-09-30,1723,-3.3758749727179337e-06,0.03146178276680006,0.02069862022336037,0.0159677172391856,0.025774336219345936,0.021681551327691923,0.008872198246054891,-0.004019742989978033,0.017740957275494074,0.007295675254591148,-0.018943870415727558,0.028787972557355185,0.3989981248981008
2024-12-31,1734,-0.01422265467664766,0.021512450256047533,0.00938321008556748,0.02450852478849746,0.01911151280307198,0.02790879428770647,0.026061453242545753,0.028858870081338084,0.024262311691381364,0.05530788901864652,-0.01479983273873177,0.020115898097188917,0.4447434320920048
2025-03-31,1675,-0.05397414600209617,-0.007393457582247173,0.0038280994749096916,-0.009939232597453662,0.0028621386102055738,-0.0023267343573192822,-0.03448818218043154,-0.027438962180208228,0.01127864411869362,-0.009446771803552162,-0.06390135425738018,-0.03461292034803922,0.3920553257059079
2025-06-30,1687,0.04389549401469651,0.04372719595686317,-0.019398932857228535,-0.029594548692132155,-0.029982311630527322,-0.030249272113219514,-0.03255817556115104,-0.01818788000353594,-0.037171394717525404,-0.05545092010116712,0.10573736235029935,0.08504000712856656,0.4333214635861983
2025-09-30,1700,0.09625897489115758,0.0761228664059249,0.0031788042751816135,0.0895192806437009,-0.008426755612758912,0.08419500129827304,-0.007731417289519517,0.07663876534068079,0.015417675190321152,0.020933005908558955,0.10446370510792466,0.07616434235024258,0.46431297791262777
2025-12-31,1739,0.06098809808922297,0.04762811975203717,0.00920820222698932,0.006312936193585431,0.02593638215713852,0.021955420988972713,0.017858634871538697,0.03148415783653783,-0.011763596693453839,-0.011035344820220873,0.06697635729376984,0.03697562761547261,0.3858557552905128
