period,b_raw,b_mid,b_perp
2013-09-30,0.016931304567632113,0.03565069250728656,-0.03342755034286947
2013-12-31,-0.017183014212324186,0.04144135963130827,-0.0353652411008783
2014-03-31,0.03399212086492868,-0.017942398168329144,0.00621827026911485
2014-06-30,-0.05299481964719806,0.02435884285463966,0.02554862642035595
2014-09-30,0.010341839588629675,-0.07208329375082638,0.07372421766048776
2014-12-31,-0.026892496762604887,0.03694785057390395,-0.026364959674921744
2015-03-31,0.09575619034090013,0.03156963316522561,-0.09790931802154555
2015-06-30,-0.02527405781221151,-0.0015888755878557502,-0.012971504518559347
2015-09-30,0.13304739780982128,-0.03828061611871128,-0.02278065105196289
2015-12-31,-0.028728757474132036,-0.04099470686795617,0.04229750242179531
2016-03-31,0.046044878301133976,-0.031523361878486644,0.016234869335687782
2016-06-30,-0.05705883235882192,0.0448266210647552,-0.005043480288292511
2016-09-30,-0.018405846130672376,0.02988560759758918,-0.025462140311603414
2016-12-31,-0.08224623788949863,-0.005046572629745137,0.05028511874838238
2017-03-31,0.11898348923574448,-0.08019871679350919,-0.00282280653826536
2017-06-30,0.00982245045955673,0.06402260846591702,-0.02221338297943208
2017-09-30,0.045616808989137426,0.02969087097579599,-0.0515965897414014
2017-12-31,0.01663149409962391,0.013803284169752444,0.004534766105965702
2018-03-31,0.0003179783229101526,-0.005971113130183805,-0.005814995562453068
2018-06-30,-0.003836338422904994,-0.06860477594023352,0.07164649654250556
2018-09-30,0.0092153720634451,0.009732332420756457,-0.03872409153670819
2018-12-31,0.06526485358637454,0.016154970475295925,-0.03545047940688791
2019-03-31,0.003949464537162554,-0.0446805429852986,0.08742655859178407
2019-06-30,-0.06286604974357951,0.03391470037216163,-0.02572001954294854
2019-09-30,-0.016340402431713634,0.05189899632119757,-0.09403145336019136
2019-12-31,0.04522702164960388,0.0063938670032058975,-0.10382268272352146
2020-03-31,-0.10153556480617895,0.08922349292959617,-0.036978404090361204
2020-06-30,0.025705221728231347,-0.07369782833305227,0.09648763190444193
2020-09-30,-0.045409351760166194,0.29789697845530394,-0.13762947844090578
2020-12-31,-0.0021587287348451,-0.12789468449763902,0.1906297856232437
2021-03-31,0.03727598626002317,-0.11570776648964737,0.0032138162400479568
2021-06-30,0.07466154237602228,-0.06908920610844349,0.030722401927749988
2021-09-30,-0.003786548374837384,0.027984009898149573,-0.053057286849596215
2021-12-31,0.07623361477202634,-0.1362924202149292,0.07714491679840643
2022-03-31,-0.07255424988677095,-0.0016814768617982208,0.056979151361141345
2022-06-30,0.07875420856320604,-0.15776599452633933,0.081383992464665
2022-09-30,-0.06465472838288418,0.11481228671817961,-0.055240889684917034
2022-12-31,0.0852059013134272,-0.018081089095109824,0.0014408229164696237
2023-03-31,0.018065221924915817,-0.06393217573799964,0.06118988730550278
2023-06-30,0.06742365586816874,-0.0797856403031767,0.02206121143578377
2023-09-30,-0.012587901280555092,0.05304307294783224,-0.1178102076896162
2023-12-31,0.0026183674550731718,0.029342710261634857,-0.016156723947739128
2024-03-31,0.00043965030984894835,-0.03310823887408847,-0.002647545933899197
2024-06-30,0.09425337665634971,-0.016111768526915753,-0.05567065145737289
2024-09-30,0.020303932356229827,-0.019785810972875593,0.03198272328430917
2024-12-31,-0.0006105496132981329,-0.02412826494030841,0.05738520909805516
2025-03-31,-0.03704714332565274,0.055867781769332395,-0.034357475715382335
2025-06-30,0.08569793653436629,-0.027411176870208546,-0.047419852141867135
2025-09-30,0.1455059186116669,0.017382701479868742,-0.0014686113627556535
2025-12-31,0.07522594169722827,-0.12810601808330296,0.11985534379075585
