period,mkt_minus_med,thr-0.050_top10,thr-0.050_top20,thr-0.050_top30,thr-0.075_top10,thr-0.075_top20,thr-0.075_top30,thr-0.100_top10,thr-0.100_top20,thr-0.100_top30,thr-0.150_top10,thr-0.150_top20,thr-0.150_top30,thr-0.200_top10,thr-0.200_top20,thr-0.200_top30
2013-09-30,-0.017690196759588606,-0.02064365993508798,-0.02152762863021724,-0.018707217973519916,-0.016676547872151726,-0.02117760185651906,-0.023360366296640307,-0.021313420550442348,-0.018399966488206042,-0.021687414760918167,-0.021248578120498237,-0.02188587611027196,-0.02248587875957031,-0.014067851163364495,-0.023072921066038362,-0.021938560591890005
2013-12-31,0.02007962001597463,0.02527928233944678,0.02550179515453752,0.01962101423493327,0.02611408697319842,0.030534349204507885,0.024677949079310434,0.03309557590563918,0.02784994321030064,0.02753532513271048,0.034315914491879866,0.02477983460796767,0.02755094891921476,0.031151370666204686,0.02724918135660671,0.02769316095894249
2014-03-31,0.005202866333488265,-0.005440094044840811,-0.00883164608570787,-0.003057999453740981,-0.0052767203750777245,-0.008100169034775617,-0.0013704662032389126,-0.00724672944819077,-0.00911336700916681,-0.0029342050258430036,-0.008394386360647037,-0.009643290952429315,-0.005386476581846725,-0.005953421553410644,-0.014001078619091528,-0.005699309137444111
2014-06-30,0.01685877562277016,-0.0169622367416152,-0.0057367635192651055,-0.0029492664246824826,-0.037069885581097785,-0.013306763488171957,-0.01650147102457212,-0.038564270759040196,-0.024788368087590044,-0.014911821385058328,-0.013910345944195619,-0.017085680562317233,-0.010107711046480727,0.011101854916193414,-0.009701575492457818,-0.0048930465197372965
2014-09-30,-0.006804735174740506,-0.04587723216545686,-0.02840496357593817,-0.015531506855983451,-0.046397002016626394,-0.025634533150353956,-0.011213323382777422,-0.049043692637547875,-0.02465094308859839,-0.015389316563922454,-0.03841027260514003,-0.019833391732729803,-0.014921944458606503,-0.01757312015943535,-0.01671437092175582,-0.007844813367280587
2014-12-31,-0.012332536570689112,-0.007157632269535568,-0.00562989215775549,-0.0051201567787005145,-0.009400862890319977,-0.010761236380235746,-0.005838399582688839,-0.00793901720008345,-0.008956213195089872,-0.006483422864938072,-0.0009235793139666763,-0.005534491538567957,-0.007469447940854558,0.0022214887332998867,-0.0034369826137940797,-0.005365104433363008
2015-03-31,0.008103176023213865,-0.009305547634868676,0.0038227916332879055,0.0007975165356184886,-0.009471080607076927,-0.0019005746836650433,-0.004343744619695056,-0.006395721297227465,-0.010441970339929631,-0.011085813035201803,-0.0018219735675701204,-0.010156780954042332,-0.007417175152885081,0.0047593991507798895,-0.008721245370504404,-0.014647801663838392
2015-06-30,0.004323531373969736,0.010063459272632854,-0.0010236357489584146,-0.001980771642439573,-0.010909574523945816,-0.01019842767246925,-0.004932018981198917,-0.009285198261966485,-0.004630068945563094,-0.0061113126716099975,0.0016498523315328119,0.004769427625535536,-0.014571983724264527,-0.03090523064761032,-0.013185140910647208,-0.029986855218335273
2015-09-30,0.02798720727443288,0.005323735852957409,0.019271179790767673,0.024404203897100782,0.021997964017882565,0.03671708132412663,0.03157520315705857,0.015102601884950606,0.027464565753719625,0.025335983092039424,0.009967974501726332,0.029058468286779104,0.026366848271498683,0.007208878467322183,0.022609466739872672,0.01785611964848363
2015-12-31,-0.03434769070483179,0.008863887226509354,0.002185666872413894,-0.0012018391775898696,0.012460242033906638,0.0003058860349953729,-0.005959761573465783,0.024052901803246984,0.00461658202267512,-0.0028198768802314977,-0.0021676649641017287,-0.012387110427137638,-0.00979111821961895,-0.01183854235833122,-0.019452642803907738,-0.013094172741462351
2016-03-31,-0.023554460504588426,-0.0025441161041304117,-0.004574262725545605,-0.005091906434748716,-0.002681622751730048,-0.006149034599036332,-0.003491972466877588,0.0004583004790202627,-0.002679505900853446,-0.002887666364786101,0.011410360684885004,0.0007452344484203122,0.003196747846408554,0.014977511162013513,0.002720322192013888,0.0037136558849205636
2016-06-30,-0.031885392833011506,0.0019272257129270692,0.005986419252949397,0.004411887094650679,-0.00025763620956725797,0.014487499027208,0.009759896704897651,0.005517997250469461,0.015575133756398865,0.009815653354012126,0.015020275395454169,0.014395229588726868,0.015801582347117343,0.014377522199225279,0.0066142868142962385,0.007350032024004416
2016-09-30,-0.009101338320252839,-0.011835672299455577,-0.008717351571506937,-0.010578518432143524,-0.014906055387983327,-0.01114757990518464,-0.011343052959368632,-0.015428780807252171,-0.014438914425406638,-0.013527209537742849,-0.014076911986882379,-0.014716992878014562,-0.012369905460838312,-0.003135990275461631,0.006421889979941309,-0.0016877647616568708
2016-12-31,0.012076135927272968,0.012648224756037586,0.009171284816058865,0.0073801120310970705,0.007535100045762525,0.009587884101319291,0.009755729299275043,0.009372385609151664,0.008586539691244881,0.006724275478189691,0.00517579137358572,0.0019671186692376205,0.002568454204607617,0.005827229342175742,-0.0014311462359090886,-0.0005763645975883636
2017-03-31,0.009609527364264903,0.023210457486764008,0.01195192872385497,0.007347893711959919,0.014354535865602397,0.00846942692414927,0.006717961391663481,0.010503428725989285,0.010252562256117155,0.010771154573408881,0.009697548467404858,-0.0007714754467635955,0.00410201374349008,0.011139157559726547,0.0023700302814292397,0.007884720359075337
2017-06-30,-0.016658428777281298,0.004493229134668805,-0.0028798045244926296,-0.008982930971915534,-0.00320578609360872,-0.005573585038776703,-0.006905599792268201,-0.0010852356356057663,-0.0020411422072499075,-0.006269832447142264,0.004253836091493254,0.0009562407783060833,0.001059955552716152,0.019745479269014432,-0.00033861987920864867,-0.0030818144937098946
2017-09-30,0.011877141050293027,-0.011583749580890704,0.009674881686926033,0.009883587563151844,-0.003597568552078906,0.013072397127209652,0.012005206246655013,-0.007552428229447232,0.019847113697208776,0.01741463347395896,0.006836544701884842,0.02371634917375247,0.010691317327203347,0.03529385139303494,0.0309418324074123,0.018646906819775745
2017-12-31,-0.022754312519520425,0.006513143372344397,-0.0057253842267065355,-0.005003242088736409,0.004310978077976403,-0.0004037877124528147,-0.003968078383256558,0.008379243801666103,-0.004149147356394163,-0.004142943560408563,0.010310806356991498,0.0006436469724166519,0.00012365127995403458,0.024700842768197506,0.01656754555974168,0.00113234361340845
2018-03-31,0.006409021137205095,-0.00851435263888898,-0.00016025805954508754,-0.0007318697106643707,-0.0055546820168123415,-0.0008039281337222509,0.0023852397009632084,0.004412692210922574,0.007821455504716981,0.005277031729485952,0.010132817052268171,0.002869526752500226,0.007001397592533216,0.00588148897706714,0.013943970199560764,0.01004504697618578
2018-06-30,0.023036477892206253,-0.016372126025236383,-0.003966013090896933,0.00436843943226059,-0.023998544504134828,-0.0017542973646152843,0.0018731298755241266,-0.01054609722952092,-0.0018400939666495947,0.0028882944940264513,-0.0158770770951851,-0.0011906490424823807,0.010532691025511444,0.0008763544884051455,0.021911698494085557,0.016568247173836745
2018-09-30,-0.020513593131077146,-0.001997542339789826,0.0035860734941607145,0.005154100244398295,0.00957799772559232,0.007412692938292449,0.009691139617666156,0.00901730377672652,0.012133163264048695,0.008494056485119042,0.005597932739803302,0.011536013265371826,0.0147664388144578,-0.003022223232887318,0.0029959333036835636,0.00890039365366932
2018-12-31,0.014636809965255848,0.0015541137123549278,0.009238631505229404,0.0036888043587776295,0.00799673416784339,0.008683093476665397,0.003444680161676608,0.003565981959431419,0.007411209317026511,0.0014631928002834596,0.008860589429622416,0.0013619068824082294,-0.000912637649458186,0.02052843589603808,0.008651566984244255,0.0032161416095243603
2019-03-31,0.03230127629918378,0.0031759499756310074,0.002196540568612515,0.0057948095232185776,0.009633106177371457,0.002069878739270444,0.009043852379359452,0.00977320947056872,0.0040984868198889225,0.0058847928453894215,0.0012523729992553016,0.005799328337205426,0.009429005274096514,0.013575385973079585,0.010454424938496562,0.013855904101196323
2019-06-30,0.011966275320673903,0.008854506948138774,0.012032342304451785,0.0027114175416034364,0.02292711528163248,0.017947642390424304,0.012716636438907442,-0.006681124582122222,-0.0048339962837239125,0.003142214030876639,0.009373008078450915,0.007649391970009425,0.007227174770032249,-0.0018483887358934081,-0.0034402895663241395,0.0023517165553795516
2019-09-30,0.029343306886549847,0.015535843607468888,0.012597740759066514,0.02090635278558714,0.02126875822502726,0.020553558707648245,0.0194545645358689,0.018645602067867653,0.02119293449184856,0.02361867185159834,0.01367395470674658,0.026011546396036048,0.024563740847651713,-0.0007869153896653963,0.008151283096585277,0.01928426846372118
2019-12-31,0.043173536730485296,-0.02852867417941385,-0.013926499231831091,-0.0005119614320065746,-0.029845328711377406,-0.01605507257468211,-0.006384900321335041,-0.028503774085411576,-0.016532521160849967,-0.009162143477701057,-0.03499811793915436,-0.015192050586460698,-0.01753614395081199,-0.007382044473939503,0.00024096416590110858,-0.006977727229361713
