config,is_sharpe,boot_p05,oos_sharpe,oos_t
thr-0.050_top10,-0.13769071013416967,-0.5670521514518253,0.6010699446635183,1.8725390519082306
thr-0.050_top20,-0.2602066585210567,-0.718735711911882,0.6228852448424752,2.1540435679628245
thr-0.050_top30,-0.28077958284120275,-0.7242043969481649,0.7096943939154037,2.7160839262704983
thr-0.075_top10,-0.15308800778490927,-0.5886418383448369,0.6909585774324091,2.1818143302830815
thr-0.075_top20,-0.29447335872751434,-0.7413008591761581,0.7336864498735729,2.2398201078503788
thr-0.075_top30,-0.2995508495037795,-0.7464776052779145,0.7809843406136309,2.967146159979839
thr-0.100_top10,-0.15804331024572746,-0.6043116368466277,0.6763986217567177,2.0516971223280964
thr-0.100_top20,-0.2589162077063132,-0.752702333312111,0.8353659938930916,2.8389244529883926
thr-0.100_top30,-0.2849367344552566,-0.7417047840086284,0.7854609446624253,2.9058499410089547
thr-0.150_top10,-0.2894882673023596,-0.7301702423239458,0.6123263714780293,1.7464168913538576
thr-0.150_top20,-0.2722024880561677,-0.7109014690344432,0.7155900763418361,2.5267697327496967
thr-0.150_top30,-0.3015548609225546,-0.7574514058142265,0.7169429891127951,2.6403580516204026
thr-0.200_top10,-0.4869776737692789,-1.1181993211857069,0.7720544314998269,2.395069251692233
thr-0.200_top20,-0.393099587060139,-1.0473296776276673,0.9753059105499451,4.020927973505197
thr-0.200_top30,-0.3262279246819754,-0.8914211109436351,0.8899777157347405,3.676848224188284
