period,vs_median,vs_mean,vs_mkt,peck_vs_median,cohort_vs_mean,cohort_vs_mkt
2013-09-30,-0.018399966488206042,-0.07249194138330708,-0.0007097697286174362,-0.028801185498347828,-0.05616300364378315,0.015619168010906494
2013-12-31,0.02784994321030064,0.007275236955624251,0.007770323194326009,0.03215834142649542,-0.004472457681511437,-0.003977371442809678
2014-03-31,-0.00911336700916681,-0.022604489711980494,-0.014316233342655076,0.0064169500646386185,-0.0074746378525751556,0.0008136185167502627
2014-06-30,-0.024788368087590044,-0.042315450668713415,-0.041647143710360206,-0.006261992250596305,-0.010839010255247833,-0.010170703296894623
2014-09-30,-0.02465094308859839,-0.2369842100255135,-0.017846207913857885,-0.004290850286845865,-0.2115974129723058,0.007540589139349831
2014-12-31,-0.008956213195089872,-0.06261406447405546,0.0033763233755992397,-0.006110947816154962,-0.053106117311477796,0.012884270538176909
2015-03-31,-0.010441970339929631,-0.00821404904225806,-0.018545146363143496,0.0067954466146387445,-0.006051396245354161,-0.0163824935662396
2015-06-30,-0.004630068945563094,0.0033613852356566,-0.00895360031953283,-0.011976633827246765,-0.006682992215344005,-0.018997977770533435
2015-09-30,0.027464565753719625,0.045079525156268535,-0.0005226415207132545,0.019201299519098228,0.01250061007743758,-0.03310155659954421
2015-12-31,0.00461658202267512,-0.015832524522146396,0.03896427272750691,-0.009296548646912345,-0.01284582026970843,0.041950976979944876
2016-03-31,-0.002679505900853446,-0.03414184163497008,0.02087495460373498,-0.017794035361980085,-0.019521731300651476,0.035495064938053586
2016-06-30,0.015575133756398865,0.008840540395358476,0.04746052658941037,-0.0025586490101796276,-0.004755899973065268,0.033864086220986626
2016-09-30,-0.014438914425406638,-0.03662978212833251,-0.005337576105153799,-0.019021178779626238,-0.029751862528693954,0.0015403434944847583
2016-12-31,0.008586539691244881,0.010458978258367054,-0.003489596236028087,0.010107036822813751,0.012165916985343694,-0.0017826575090514468
2017-03-31,0.010252562256117155,0.009915226881547692,0.0006430348918522524,0.016091318203157727,-0.0031076591594530537,-0.012379851149148493
2017-06-30,-0.0020411422072499075,-0.021556365449766676,0.01461728657003139,-0.012764360515876982,-0.013595543545511096,0.02257810847428697
2017-09-30,0.019847113697208776,-0.01793014431929825,0.007969972646915749,0.01650975864471573,-0.026503132564386127,-0.0006030155981721283
2017-12-31,-0.004149147356394163,-0.017028379448889748,0.018605165163126262,-0.02953576641328879,0.0013773790865325083,0.03701092369854852
2018-03-31,0.007821455504716981,-0.011819910913745027,0.0014124343675118861,-0.007711131102412859,-0.006874134296259486,0.006358210984997427
2018-06-30,-0.0018400939666495947,-0.007580049517310512,-0.024876571858855848,0.01771410619580885,-0.01647978402739638,-0.033776306368941716
2018-09-30,0.012133163264048695,-0.007881467248526126,0.03264675639512584,0.0021463358900557783,-0.014421631092150305,0.02610659255150166
2018-12-31,0.007411209317026511,-0.005737694577134078,-0.007225600648229337,-0.0015458998219819928,-0.012486787127329192,-0.01397469319842445
2019-03-31,0.0040984868198889225,0.015509928804439698,-0.028202789479294856,0.023539503677436648,0.004916875481300091,-0.03879584280243446
2019-06-30,-0.0048339962837239125,0.0036168168328558348,-0.016800271604397815,-0.0003851125282380019,0.01772612061570354,-0.002690967821550108
2019-09-30,0.02119293449184856,-0.02375474255100546,-0.008150372394701288,0.02281755120590047,-0.035593186289029716,-0.019988816132725545
2019-12-31,-0.016532521160849967,-0.07633522210757493,-0.05970605789133526,0.02210736953078485,-0.03162452318187775,-0.014995358965638084
2020-03-31,-0.02925594395455211,-0.10265805650341042,0.04210306752189752,-0.08081472381492424,-0.07752565846207701,0.06723546556323093
2020-06-30,0.008513081239460416,-1.0058317486926969,0.02172872242318423,-0.0018463614210747215,-0.9907633395904417,0.036797131525439244
2020-09-30,-0.017284414501454404,-0.16092567882058395,0.136095124744044,-0.0786461825479447,-0.15460293450573834,0.14241786905888962
2020-12-31,0.01240103208058762,0.06762086472448223,-0.004438698815925075,0.012159432639378652,0.027883195946468337,-0.04417636759393896
2021-03-31,0.01564413446074744,-0.00401850992363403,-0.042763947048786805,0.024676807616016698,-0.004698976136269271,-0.04344441326142205
2021-06-30,0.01521571338471353,-0.0067298687558235565,0.015050194641113818,0.007254304126381769,-0.004970796454762408,0.016809266942174966
2021-09-30,0.02631670491456717,0.08849682053098709,-0.0427596241787489,0.05489485425995809,0.044798669017203946,-0.08645777569253205
2021-12-31,-0.062396889289112245,-0.0646476274087302,-0.08822219232538908,-0.05428063393948812,-0.013634749334979296,-0.037209314251638176
2022-03-31,0.01875368946067789,-0.036718429338164535,0.03933183280459927,0.0004621954874206302,-0.024420864712393534,0.051629397430370275
2022-06-30,-0.011335770101725817,-0.002129959525230943,-0.005942281171349539,0.01167099789564651,-0.003228763223216302,-0.007041084869334899
2022-09-30,0.020186281203329617,-0.006743326682342718,0.03970218524636622,-0.0007501126508286798,-0.016282854384485762,0.030162657544223176
2022-12-31,0.04395020126684309,0.04855519763774139,-0.031449562264456866,0.04407301319453319,0.0061957572608812295,-0.07380900264131703
2023-03-31,-0.004571996857907254,-0.005537069271235123,-0.018382590430489107,-0.007397043734362299,0.008531570734579247,-0.004313950424674737
2023-06-30,-0.0052417963399792045,0.028202663240757236,-0.06168264883248922,0.008425889848427182,0.021302943500143355,-0.0685823685731031
2023-09-30,0.012559902639853113,-0.025136897587528004,0.004647067691045545,0.007314185230428927,-0.014816415753592799,0.01496754952498075
2023-12-31,-0.0005826121265424047,-0.009593432462899322,-0.0108856327442318,0.00719575326501639,-0.013354947808045685,-0.014647148089378163
2024-03-31,-0.0030462461851242274,0.0158325081260381,-0.046064564022188004,0.006152509123206415,0.004324763365813434,-0.05757230878241267
2024-06-30,0.0033294024842155934,-0.015701611741637575,0.0038850819288833716,-0.0037621145168879044,-0.008716538763894152,0.010870154906626794
2024-09-30,-0.04051531090191514,-0.1203523464779229,-0.06067462003967812,-0.04147495190565045,-0.06607978538014711,-0.006402058941902336
2024-12-31,-0.01560158120079036,-0.0009303396669913949,-0.04270889032937786,0.019454714989155464,0.0019770261418673024,-0.03980152452051916
2025-03-31,0.032217503764287655,-0.016741347797978895,0.015114656654987721,0.024114890298503347,-0.02944845857435968,0.0024075458786069343
2025-06-30,0.04043772218100005,0.01265860604068706,0.0037313680864346985,0.04427490797514511,-0.004362574193885103,-0.013289812148137466
2025-09-30,0.006198629729067651,0.02839556866051933,0.0524075481838408,0.009149991935209545,0.015766926367789195,0.03977890589111067
2025-12-31,0.04372523061968821,0.015231532199244543,-0.038471050979982865,0.03954865667368071,0.00018147591275100017,-0.05352110726647641
