period,long_extra,short_extra,churn_cost,n_distressed,n_short
2013-12-31,-0.003481958961847688,-0.004655183270889564,0.0017699999999999999,160,540
2014-03-31,-0.005608341088969708,-0.012190082907343547,0.0017121212121212123,146,501
2014-06-30,0.020103554940440912,-0.005586644722375778,0.0017857142857142859,150,468
2014-09-30,0.014443496304688212,0.004704512675087744,0.0018854166666666665,144,479
2014-12-31,0.014708598589738959,0.0030922868620055833,0.0017680412371134022,178,512
2015-03-31,-0.002175395209504778,-0.006984565359395909,0.0016666666666666666,158,563
2015-06-30,0.0026426557879573247,0.0074867239168206045,0.00203921568627451,125,448
2015-09-30,-0.0015281806565930682,-0.01825650123877053,0.0016,151,476
2015-12-31,-0.018327735537608275,0.020970078388160503,0.0016634615384615386,153,476
2016-03-31,-0.006920563230952476,-0.0022792281454124858,0.0015636363636363638,167,506
2016-06-30,0.013171227665504513,-0.0009608365612607461,0.0019271844660194175,141,483
2016-09-30,0.012054344895207928,0.021191020333049194,0.0017916666666666669,168,539
2016-12-31,0.00045496535915038043,-0.00453254755100172,0.0017792792792792793,175,599
2017-03-31,0.023209697244254233,0.010314919675652371,0.001745762711864407,186,637
2017-06-30,-0.007276891193256583,-0.015024727894743448,0.002017543859649123,150,504
2017-09-30,-0.01102158334019571,-0.008354229991805781,0.0014636363636363636,153,562
2017-12-31,0.002597392080721097,-0.0010115268862271017,0.0016825396825396826,188,644
2018-03-31,-0.0035589865923591943,-0.005256695674792626,0.0017079999999999999,191,697
2018-06-30,-0.0009162264338836957,-0.025260773128581295,0.0019416666666666668,174,587
2018-09-30,0.001807803503643426,-0.012451904123878331,0.0017520325203252032,208,661
2018-12-31,-0.008662397366793728,0.00619154286687117,0.0018235294117647058,242,756
2019-03-31,-0.0070725492042820574,-0.014552509357349589,0.001751908396946565,235,803
2019-06-30,0.008374901314884728,-0.01565891174994603,0.0015387596899224807,188,644
2019-09-30,-0.00500705168739508,-0.003765565585190681,0.001553435114503817,194,683
2019-12-31,-0.021246821575353944,-0.021599707119737216,0.0018835616438356165,202,750
2020-03-31,0.015448314206658313,0.01675442812967099,0.0017753623188405798,281,880
2020-06-30,0.052017188763626834,0.04322722585145834,0.0018706293706293707,307,951
2020-09-30,0.03045350070661698,0.028596593471983643,0.001868,228,723
2020-12-31,-0.007589992692622894,0.06767623480159778,0.0016223021582733813,238,726
2021-03-31,0.010914290975999198,0.006693354091933224,0.0015202702702702704,285,791
2021-06-30,0.0033819552992495035,-0.014671139969621728,0.0017105263157894738,216,749
2021-09-30,-0.016187770489799205,-0.01516164419048644,0.0015451127819548873,215,552
2021-12-31,0.04123406155214588,0.012464109327382658,0.0015161290322580647,273,796
2022-03-31,-0.0008001965331316278,-0.007919005146614169,0.0015,332,910
2022-06-30,0.02071585720680957,0.02671415400097631,0.0015679012345679014,274,769
2022-09-30,0.014420884811918019,0.012041855864843232,0.0015136986301369864,229,637
2022-12-31,-0.024619569442535443,0.0006631217804831666,0.0016481481481481482,431,897
2023-03-31,-0.003064675912317719,0.005214790248454521,0.0017228260869565218,262,959
2023-06-30,-0.0031853637055182958,-0.028627121826364718,0.001632530120481928,272,957
2023-09-30,-0.020366802749648985,-0.0039827499255195575,0.0015174418604651163,202,718
2023-12-31,-0.0013498229135504407,-0.0161946111474065,0.0015335195530726258,325,1032
2024-03-31,0.009354191439535633,-0.001432956147840881,0.001846938775510204,327,1106
2024-06-30,0.058229944013756765,0.04089975853381722,0.0016620111731843574,245,834
2024-09-30,0.013996902099285457,-0.011844097592642726,0.0019095744680851063,312,935
2024-12-31,0.0023262172788874134,0.00453812068513135,0.0016576354679802958,306,1030
2025-03-31,0.0014023684482612102,0.013240094529250948,0.0019360189573459717,337,1116
2025-06-30,-0.028168886825286656,-0.01870226804240554,0.0019285714285714286,289,958
2025-09-30,-0.008999350816065833,-0.032205257985620996,0.0016990950226244343,308,961
2025-12-31,0.016892371647282096,0.016388657922082397,0.0018875598086124403,304,874
2026-03-31,-0.07487483073671469,-0.0788396591737785,0.0020502183406113537,345,1143
