period,MEGA_m1_wa_ic,MEGA_m1_wa_sp,MEGA_m2_sw_ic,MEGA_m2_sw_sp,MEGA_m3_qidio_ic,MEGA_m3_qidio_sp,MEGA_m3v_volneu_ic,MEGA_m3v_volneu_sp,MEGA_m3d_diag_ic,MEGA_m3d_diag_sp,MID_m1_wa_ic,MID_m1_wa_sp,MID_m2_sw_ic,MID_m2_sw_sp,MID_m3_qidio_ic,MID_m3_qidio_sp,MID_m3v_volneu_ic,MID_m3v_volneu_sp,MID_m3d_diag_ic,MID_m3d_diag_sp,FULL_m1_wa_ic,FULL_m1_wa_sp,FULL_m2_sw_ic,FULL_m2_sw_sp,FULL_m3_qidio_ic,FULL_m3_qidio_sp,FULL_m3v_volneu_ic,FULL_m3v_volneu_sp,FULL_m3d_diag_ic,FULL_m3d_diag_sp,MEGA_m4_skill_ic,MEGA_m4_skill_sp,MID_m4_skill_ic,MID_m4_skill_sp,FULL_m4_skill_ic,FULL_m4_skill_sp
2013-09-30,-0.04220266710144251,-0.03263671643172706,0.005292320991961921,-0.014111143972015863,0.09187216869089139,0.025631307750640722,0.10852257466083376,0.03463507504028243,0.08503696763076474,0.018037952687668467,-0.002273969851489015,-0.021882263336877372,-0.05828701497224087,-0.039653845679059364,0.16447276767283908,0.13319368722987973,0.17921706959788702,0.1434911526525744,0.14724759747577554,0.10893730015170881,-0.010053198584078956,-0.022957268555322777,0.008805567737902016,-0.014596125123737445,0.12374672929155098,0.04815461630070489,0.13751457993592237,0.0495792962296474,0.11359648665397264,0.027705655597434077,,,,,,
2013-12-31,0.11579214503662721,0.05887059952284093,0.02893163712348772,0.03656172785573501,-0.06700721463030462,-0.019828041871662157,-0.07987106272335474,-0.031201615925487088,-0.05036854769452393,-0.014989540351626102,0.003539996434739801,-0.006418128772269483,0.01170656728011966,0.013545819504933072,-0.2133642952177111,-0.10085621355673664,-0.21702352717566462,-0.09289547160488619,-0.196545239256112,-0.10206862843676918,0.13356654871931065,0.07042491834856085,0.0873546720077282,0.04227791017314567,-0.06578083584713573,-0.031308655827426604,-0.0781174956982157,-0.03747465496257999,-0.04129463734913826,-0.023979704502053695,,,,,,
2014-03-31,0.026690984543018277,-0.0017892510533184802,0.05942475730027774,0.0020825534882500107,0.1565380919923463,0.051792837092697726,0.1588978119137188,0.05330439882882513,0.1472123904706375,0.04076295904106339,0.10884805594248696,0.08552579738428341,0.15050482859199568,0.10151616085122865,0.22523582039320544,0.14504268969710712,0.2254667327306553,0.14504268969710712,0.22510260173698435,0.14571560662456265,-0.006365345905480704,-0.007150709379091971,0.033916921508042014,0.005561001560885737,0.1426489267588697,0.07593297022431902,0.14516757474647998,0.07579462602567254,0.13058555817163114,0.06763477997770243,0.1867165466823842,0.05476789190892923,0.20462105135228628,0.14821021635294118,0.17717903118662306,0.08391361055523522
2014-06-30,0.22868046156185365,0.08963967524658359,0.20014672349464704,0.08582747297714419,0.12287988158597744,0.02556501461470543,0.12157489853657251,0.02556501461470543,0.1283539420616393,0.031207417287766874,0.15699738613144504,0.04982364731830821,0.1320303669155269,0.05574560302867096,-0.004666989998042304,-0.0018395014953206373,-0.0059265395049619566,-0.0018395014953206373,0.01875781069898931,-0.0005376068328330527,0.1849642260266735,0.08061730615103377,0.176103747051219,0.08392526693795221,0.08004523748749355,0.0344905699759113,0.07875631510907063,0.035646079038107806,0.0930747411340939,0.0328994742314406,0.05609739891793911,0.020114581811034288,-0.0017812738665939991,-0.0009246858670918616,0.03790023105826602,0.013419207276993295
2014-09-30,-0.02366105479161954,-0.021872213055191332,-0.01353802953034297,-0.0032136870971387135,0.0006875797417059293,-0.00945384779207032,0.0028452313495550387,-0.010245957133876223,-0.007207816559796915,-0.006341255404041686,-0.03627958690019623,-0.023488497353125894,0.03763231999682334,0.03756165403311727,0.053135475160736335,0.04370188815958996,0.05406895365036085,0.044044703350905566,0.04780726862407058,0.033783353514501305,-0.05430528990509245,-0.024585697745258657,-0.01796776861446929,-0.01824236348721689,0.0072012634395389056,-0.005833685734670253,0.009502980152971926,-0.004259115334017009,-0.0011815467731215634,-0.003286755832664426,0.019832905924829745,-0.0029643974706594564,0.08921453460091396,0.05267285041253972,0.03790512042374549,0.011015747416974059
2014-12-31,-0.10638008002184574,-0.030982668211818925,-0.0433694064848564,-0.016536806744183973,-0.06880483692877581,-0.011442012961220778,-0.06573941056114233,-0.007295020936193157,-0.0533360244735457,-0.006104893810364602,0.01324435426440929,0.006405317956982001,-0.0030250681451839084,0.020160099905024556,0.11018634180593492,0.06676394006413906,0.11161715575826447,0.06210519577075385,0.10132640012619634,0.06446344605387518,-0.07591792019321268,-0.032175798447696,-0.03640382587416283,-0.025769628283414975,-0.006051015902042148,0.015108560210838846,-0.002629989025904722,0.016185117987957534,-0.005113372343525199,0.011590020320892978,0.025531599130920013,0.019132575463776492,0.11955966807394218,0.05587734851552631,0.05677290529407455,0.021996826369168845
2015-03-31,0.17168547624651917,0.06042469366820998,0.05004707608261305,-0.005094455477327925,-0.02189067166309165,-0.02884390687604734,-0.028141546519693365,-0.03031482047658518,-0.01835595774413289,-0.00861310687355795,0.022819040380235085,0.005550997290180094,-0.11774306986523471,-0.054493746156232974,-0.022509827921909666,0.015171290398302237,-0.024635817808959515,0.016841880567013887,-0.028399671292103364,0.03170689315460191,0.08731747429293335,0.0364767508092281,-0.011121117724673,-0.022641418440064565,-0.014199473012358695,-0.02423278660479347,-0.01769912839105754,-0.025019274236868255,-0.013631794230942837,-0.020731893793761086,0.13095811558038478,0.0556568654093271,0.01903914634657954,0.017973876765239614,0.09232952567472734,0.04461932250117865
2015-06-30,0.04918532611998621,0.03705091229806707,0.06489257878681899,0.04468535253878424,-0.06609563457962445,-0.012217942039613783,-0.07042875355812106,-0.026264601722306047,-0.03505695058391491,0.0010449167913309625,0.07405609797392629,0.04235044082251308,0.1666141430103279,0.08832494673087138,0.0010167616682657033,-0.0328995825427395,-0.002142784581522659,-0.02152837110633449,0.026759975167898867,-0.015984890190416597,0.020770878338832288,0.03382665973702681,0.061682103061328805,0.046792497728953136,-0.05722838696921596,-0.019548069034698554,-0.059852014617449045,-0.016880149730963287,-0.0346214258191422,0.001115873715283544,-0.09081890721395763,-0.025564104004273145,-0.043020712229809806,-0.028931770646006723,-0.07709842962403768,-0.029253809532642
2015-09-30,0.11346821699728102,0.05741918238780554,0.015265319081218755,0.009073731805963978,-0.06149567439616322,-0.03784033716189533,-0.07285258382787983,-0.04126955633553811,-0.060797059856222455,-0.05433956415229903,-0.051375791974274214,-0.014793294707392268,-0.10290955437433152,-0.06447729040978495,-0.21432031930315787,-0.1147036740315721,-0.21942009325845163,-0.1175201331293459,-0.21810560540354093,-0.10239154062648671,0.08593444338124227,0.032712673593422906,0.02138499563596865,0.0036803389374058526,-0.09161778537547041,-0.060727922469854395,-0.10238822690392102,-0.060319216240172904,-0.08195808080593137,-0.051267006949262076,-0.16005711689491792,-0.06839663640419849,-0.2529928459893938,-0.1476813509099656,-0.17957550025928617,-0.10102960186955354
2015-12-31,-0.1259777978684779,-0.05899961644260292,-0.04786515573320313,-0.022293602100771512,-0.009852721564048563,0.003067455475177297,0.0026982092317845495,0.0183719627830269,-0.014558723366239113,-0.010190991236921076,0.06489978742933976,0.05505603220552366,0.1290386739905783,0.07192788514866337,0.10271005920579286,0.05165920616377004,0.10451382768773784,0.0564830507131347,0.11080426258592642,0.053054055028510336,-0.03570790401181312,-0.01897942300266886,0.027026690298466115,0.007724486754277102,0.047529355620602134,0.03908199280688725,0.05463828646216035,0.033169834969663956,0.05081280594525679,0.03111753768191794,-0.05889062007349613,-0.04647969699607915,0.08782144449806069,0.028021358949388467,0.004151221346378379,0.0039270417238885386
