period,spread_raw,spread_resid,ic
2016-12-31,-0.013878662004791738,-0.007387799634462499,-0.03367653900277773
2017-03-31,0.02175887695870371,0.013050950712810844,0.040127621468105876
2017-06-30,-0.04435330760370865,-0.029929634898380107,-0.05318397117527322
2017-09-30,-0.0017734403470432694,0.0029511481584124826,0.006254910197749224
2017-12-31,-0.013388316545856278,0.013778912282275492,-0.04943740021474758
2018-03-31,0.019767787635970528,0.04465884364052462,0.025925150534599137
2018-06-30,0.021100456571514003,0.02204023539296597,0.042017429647186695
2018-09-30,0.010657196065052322,0.02140040451717264,0.028049534142233244
2018-12-31,0.011824159531883361,0.02176335077268349,0.009082959350753402
2019-03-31,0.0487001452837251,0.03527888948387315,0.09233210062694848
2019-06-30,0.0007706029583919266,0.004183756191885367,0.029109531537057375
2019-09-30,-0.04073074325690219,-0.025369530373979925,-0.02812339225781816
2019-12-31,-0.032059402307739036,0.002156908440431926,-0.000772629905470858
2020-03-31,-0.09401972934442478,-0.014250702428892693,-0.12612359217542654
2020-06-30,-0.0059816344838515365,0.007504653801592192,0.029980552199810967
2020-09-30,-0.14001855822857784,-0.012926458643702912,-0.10687061001345272
2020-12-31,-0.08332709228633972,-0.0595790614369359,-0.07410317877428943
2021-03-31,0.019558289206865698,0.031233506992107397,0.07055779722313305
2021-06-30,-0.004744511138926681,0.025437017496624477,-0.030519215267681882
2021-09-30,0.1309806447344763,0.126760778316228,0.1681498573365562
2021-12-31,0.020668513938721267,0.0177191709230956,0.06242613681310344
2022-03-31,-0.1069493880663431,-0.04535775272542153,-0.13066884681775118
2022-06-30,0.0948346738446495,0.10294991912716484,0.12550348184835292
2022-09-30,-0.05848105797844057,-0.013063709697035995,-0.03355500581222902
2022-12-31,0.013422065076805562,0.02568064680495307,0.025626554423756057
2023-03-31,-0.005037269581672632,0.031087894022601103,-0.00792312480135368
2023-06-30,0.054325278071262986,0.07919277191719966,0.0783558046166975
2023-09-30,-0.03002597147124918,0.04555103200997347,0.017499925365488278
2023-12-31,-0.01776097272637453,0.05049534206419378,0.022729348408592826
2024-03-31,0.042212848634655756,0.042344252189802215,0.051123472813939815
2024-06-30,-0.02274596712809516,0.022267875205637392,-0.006463762095924319
2024-09-30,-0.1277210303121912,-0.04064847173830763,-0.044666424438856246
2024-12-31,0.08193495205322296,0.042098144962620446,0.1453217765879279
2025-03-31,-0.11339328295052734,-0.0048553031799073824,-0.06887475571565557
2025-06-30,-0.03921930308904041,0.058518604826737514,-0.019491286574903417
2025-09-30,0.04342284731769107,0.006228410412738205,0.0619877109893838
2025-12-31,-0.01817046995161512,0.02019788731755536,-0.0506664031007231
