period,spread_raw,spread_resid,ic
2016-12-31,-0.03490666460977734,-0.029568522359028845,-0.033782311678150656
2017-03-31,0.013227374013726388,0.0033318422595779032,0.049301659306321265
2017-06-30,-0.02441958612736137,-0.006789033561543103,-0.01018524597775958
2017-09-30,-0.03462078350981418,-0.029872289437567028,-0.0419437041840507
2017-12-31,-0.03316772360878807,-0.008979482862149396,-0.06726390089950837
2018-03-31,-0.017529520210704405,0.009458949590476155,-0.017263970837641154
2018-06-30,0.02056759248067965,0.021713458352233532,0.0837895526781571
2018-09-30,-0.003164054550958109,0.012631631345980894,0.018469126855600856
2018-12-31,0.0046137262054844275,0.010322788565766596,0.01932874404868871
2019-03-31,0.046604963647556744,0.03021752436012501,0.12767788918207695
2019-06-30,-0.02068946196297264,-0.0173878669858327,-0.045785857324189355
2019-09-30,-0.04952654626712471,-0.032820747500704794,0.030589197228724947
2019-12-31,0.010150697960025865,0.055157611230696346,0.05037181900555928
2020-03-31,-0.07000291671068049,0.024779949839880435,-0.10046608845267761
2020-06-30,-0.015292989996741406,-0.002238693795989487,-0.006187489267083649
2020-09-30,-0.020262705854912105,0.17811535799037947,-0.07777201373991399
2020-12-31,-0.10454170671222422,-0.06273946251457901,-0.10715115247831028
2021-03-31,0.03782462968560425,0.05325668990390611,0.08552921396341956
2021-06-30,-0.011772858888408216,0.028295791188417366,-0.03343828572049691
2021-09-30,0.09398141026507786,0.08814009788480327,0.08913170340768929
2021-12-31,0.04772782376476288,0.04604989448115797,0.05211970978320925
2022-03-31,0.049978661090078404,0.08446602185947177,0.05826060748727803
2022-06-30,-0.01568982802845403,-0.012014751774362238,-0.04935201265292495
2022-09-30,-0.031852684778610946,0.0032013801562358214,-0.07354097025066675
2022-12-31,0.018322629563462606,0.03153096385992814,0.04940401209065949
2023-03-31,0.02669549117469837,0.05824621199584861,0.02816172697588342
2023-06-30,0.10001846673089133,0.12389014179642086,0.10060756860074493
2023-09-30,-0.06517727477929607,0.00911137619358992,-0.032333305914545585
2023-12-31,-0.016758537709483573,0.04652594751797942,0.002201118293965069
2024-03-31,0.0511521524826616,0.051295131531858176,0.08497735274558896
2024-06-30,0.013035114606178181,0.058541474858248524,0.01761931745563108
2024-09-30,-0.09997696813384513,-0.011183241531477848,-0.05297351597558899
2024-12-31,0.07313326788503687,0.034376259418761546,0.14379110929770367
2025-03-31,-0.14917947421454836,-0.024696929462395687,-0.11952713192937613
2025-06-30,-0.07169488489220717,0.028739674483108293,0.028153253417191316
2025-09-30,0.03099538010115458,-0.009535957252909465,0.087710961336727
2025-12-31,0.01672873629650088,0.0632657965717248,-0.0010852304622703634
