period,spread_raw,spread_resid,ic
2016-12-31,-0.019635100073799178,-0.013471761685956315,-0.018156258610814185
2017-03-31,0.019685225484879276,0.009248830388420871,0.06469033157925637
2017-06-30,-0.03733880519820932,-0.014432842936283377,-0.01732548975751755
2017-09-30,-0.002375733992035856,0.002907927218686791,0.02373026255009147
2017-12-31,-0.0376868413599979,0.0022681443026793258,-0.10110202002962156
2018-03-31,-0.029910088654375847,0.012240838133607684,-0.007122268517492677
2018-06-30,0.023181788012589914,0.024926519854018628,0.08409452151232252
2018-09-30,0.007938327308376384,0.024171870411974702,0.03961507232759936
2018-12-31,-0.009919363818964584,0.003968211871899896,0.025099360874662854
2019-03-31,0.0694385508062344,0.0484588447593989,0.15129498397561028
2019-06-30,0.0021498141468328886,0.006523012853825722,0.0006394022280415483
2019-09-30,-0.035659895094177295,-0.01573163648827877,0.03137064240131049
2019-12-31,-0.05516956602496392,-0.004593502501848687,0.02680702912215834
2020-03-31,-0.10214130868280955,0.004785397921751811,-0.12092140165581293
2020-06-30,-0.00441747101086655,0.012436142396051928,0.009556707351709503
2020-09-30,-0.1630729754108886,0.052138360420755196,-0.17027401133883652
2020-12-31,-0.11012811724805635,-0.06551529627818119,-0.12627322096813579
2021-03-31,0.031939567601928925,0.04969050924471806,0.09480707065119467
2021-06-30,-0.025261871781322203,0.01652348182341406,-0.04067064585241447
2021-09-30,0.14814472227383407,0.14196612375059808,0.1902306373381685
2021-12-31,0.05800888788003619,0.054451586752787814,0.10464617801491814
2022-03-31,-0.027495263075437933,0.02415016399426391,-0.04423057386312247
2022-06-30,0.02725031835009372,0.03386390783567351,0.02194981304230019
2022-09-30,-0.09935149594234748,-0.038601285948467984,-0.06241019769767789
2022-12-31,0.04013937794554692,0.05728841102156766,0.0722363338675238
2023-03-31,0.016644050082990205,0.0628261493103465,0.011295140621206644
2023-06-30,0.10791135233756033,0.1453340453150581,0.137646334906227
2023-09-30,-0.05238695623371535,0.04477830106356624,-0.011406263656205524
2023-12-31,-0.017796259635063427,0.06622270671755481,0.017566159842381333
2024-03-31,0.036116844849782066,0.036273495366310936,0.07243210846066887
2024-06-30,0.00875970543197008,0.06265427819300631,0.0297646450136649
2024-09-30,-0.13377970655665467,-0.02749657701445881,-0.06640851647250468
2024-12-31,0.08544013618811665,0.03650190343098483,0.18494358562935262
2025-03-31,-0.12176735214390863,0.014265966119071298,-0.08816004539237496
2025-06-30,-0.06224512376509658,0.05900025180778124,-0.0017672797726518967
2025-09-30,0.04652370630095053,0.001605262910684399,0.09701533657587882
2025-12-31,-0.007104117856190813,0.041657242376183456,-0.03605385978804075
