period,spread_raw,spread_resid,ic
2016-12-31,-0.015611878578489816,-0.012147385378779244,-0.0007461521135654533
2017-03-31,0.007156192584472273,0.0004804719431920378,0.05859807860741158
2017-06-30,-0.012792788569224198,0.0036876297558841517,0.0071649982629144815
2017-09-30,0.017649005654125176,0.01975938903733301,0.049120655442205736
2017-12-31,-0.03339795750185841,0.0019917062958024374,-0.08881266425470076
2018-03-31,-0.05215597673069474,-0.013689437188014804,-0.02700577875055453
2018-06-30,0.003158782687466887,0.004402212693993112,0.05387629362465296
2018-09-30,0.02074818732438659,0.03068404717768985,0.04420688312932717
2018-12-31,-0.0008637958248598624,0.012822124154480405,0.026074757164392535
2019-03-31,0.05933397549127294,0.03927738452835253,0.149971617331877
2019-06-30,0.010704860537909675,0.0148790073537321,-0.007442053869549921
2019-09-30,0.014879669589487735,0.029433013529843195,0.08270346696030874
2019-12-31,-0.02133926511872608,0.01507028145707514,0.044875946706949436
2020-03-31,-0.006722063006248773,0.059419991683938383,-0.08115291361958135
2020-06-30,-0.010802833615432139,0.0034663169124509487,-0.011379041655169874
2020-09-30,-0.18849193643908094,-0.01979109336586899,-0.17044464478293977
2020-12-31,-0.15862266050615104,-0.1260115328445589,-0.1397402335020492
2021-03-31,0.032379918804351815,0.04786285879453387,0.08501668318978711
2021-06-30,-0.036500209837360124,0.0034825488229473884,-0.03184289994581113
2021-09-30,0.15391048919516293,0.14872041360257138,0.21889835032723293
2021-12-31,0.07159833144495434,0.06880980268168159,0.0643931282619397
2022-03-31,0.035354066845091896,0.04933383534206086,0.014029812796537996
2022-06-30,0.006593615024508646,0.010145253416652962,0.00511736230410379
2022-09-30,-0.08569840766029957,-0.03163592749005856,-0.05266317667490661
2022-12-31,0.03279183993398609,0.049829733321341246,0.06988468335832813
2023-03-31,-0.010018669417617176,0.02989394157430772,0.007267641170542586
2023-06-30,0.15514170455023182,0.1923041310870824,0.1516710416724891
2023-09-30,-0.043261785716379966,0.05407257187670725,-0.01935809698356934
2023-12-31,-0.015539293355270696,0.06872737555814622,0.02911808067304928
2024-03-31,0.036338842232243096,0.03647833528976361,0.06425925912128151
2024-06-30,-0.002743326604519659,0.04425087446239567,0.02979550351278416
2024-09-30,-0.12665366176696785,-0.026953794800675734,-0.05083557715694987
2024-12-31,0.08956905887974566,0.04031281110622747,0.20003960563008838
2025-03-31,-0.070984024794619,0.05790966642118313,-0.054871556945851135
2025-06-30,-0.07913586005599618,0.03690048723714221,-0.002051805994012111
2025-09-30,0.08413924994704818,0.04164887024082827,0.07455424284474889
2025-12-31,-0.030804984699266985,0.015072990864545622,-0.03439804359696934
