period,n_scored,d_sig_level,dic_sig_level,d_sig_delta,dic_sig_delta,d_elec_level,dic_elec_level,d_elec_delta,dic_elec_delta
2014-03-31,1034,0.002429611034343075,0.004712133258352888,0.009520095376536725,0.008969987644752181,0.0009141674789691287,-0.009023818405755682,0.00043597086315346617,-0.020846854291526287
2014-06-30,1132,-0.007836602875141568,-0.0034140376119078386,-0.014790174066551316,0.002485534217835754,0.019952561475744347,0.03062040160827502,-0.022084779797783206,-0.07411320891145703
2014-09-30,1260,0.0014738950646463467,0.0037184571690409424,-0.005765297225790937,-0.006282327806185976,-0.018688083076345965,-0.010143233921226503,-0.002904786586389152,-0.03723719642086333
2014-12-31,1327,-0.0015811018003569904,-0.005657550850027976,0.006706529528590008,0.005225944656251716,-0.004327201331994161,-0.008669695823380993,0.06296900341800413,0.16324047607214506
2015-03-31,1390,0.007907878831632307,0.015020959074083629,-0.008920599921004031,-0.012134238585552244,-0.0068251244523829715,0.020173206252638687,-0.03228144930423231,-0.08414805914070708
2015-06-30,1446,0.0035788038088920976,0.0011554202319490336,0.009606367225106743,0.0011764230854599128,-0.004257241038015169,0.0024462608774563632,-0.01046984659252971,0.03511313748924904
2015-09-30,1560,-0.0035916196010870594,-0.0016861365931316041,-0.014620804195189963,-0.005755828741460148,-0.001441540738900765,0.012616361990958336,-0.133537885524604,-0.25516575262020424
2015-12-31,1631,-0.009330224656345476,-0.0083158802633366,-0.005189854056113413,0.008308437319823574,0.0027202096206484783,-0.011096813608682757,0.07786216023544618,0.0672061736526981
2016-03-31,1682,-0.00268025235496816,-0.0008312858278908819,0.004183500068136503,0.0047324049985392885,0.0006950598957743553,0.007545162834023872,0.09327444790304198,0.22514078887493322
2016-06-30,1738,0.00880523914723753,0.00019363291382583706,0.007745959149234462,0.006758100005421916,0.018407394581311933,0.02798005754827071,0.10434475683378926,0.3013858806679901
2016-09-30,1872,-0.002298520937705259,-0.0018321184292266618,-0.004166627059992045,-0.005034797106696496,-0.005500557249466756,-0.017134962118208818,0.014187331658170307,-0.02388938586087326
2016-12-31,1941,-0.0008185881886331389,-0.005250996399603872,-0.0017281648001280653,0.019550232754460106,0.0035272819367764205,-0.01037975991521544,0.020758563112797793,0.0038314248438788695
2017-03-31,1999,-0.007086983230655538,-0.002868523147739133,0.00550702789609505,-0.010064143913503111,0.008461163313929626,-0.003264472506867535,-0.02494755204353048,-0.05648908324298874
2017-06-30,2046,0.004778523847089405,0.003767120961352094,0.002822663159274416,0.004915268641805727,0.0006978831085426504,0.00412196628791707,0.021169667540223952,0.0017999612079623376
2017-09-30,2166,0.008220453669426142,0.005016598445399659,0.012134712765364729,0.003941064034088093,0.00016491057013177934,-0.007637560549514685,-0.007431565105341716,-0.002882433930989853
2017-12-31,2226,0.0018983159352874424,0.009311618277857231,-0.0004925416715610698,0.0029870520210970725,0.004955539353304297,0.0009411139133735369,0.042058857856446016,0.07249464165987651
2018-03-31,2278,-0.0007210524347340264,0.006217074703290394,0.0041370965827951245,-1.0862372667348741e-05,0.0033132243482701593,0.019274977161347486,0.015624808142567809,0.02381518470378361
2018-06-30,2313,-0.004142421677137353,-0.0015979364438371002,-0.0010435275212719586,-0.004200243951059238,-0.008571928836900305,-0.0071079843076699845,-0.015111026107608387,-0.0362528934087812
2018-09-30,2476,0.0021876355098574343,0.011509319053985993,-0.004106299814710931,0.0034947606221521835,0.003317813021964801,0.009509532031067615,0.023329510316797773,-0.008646246676428326
