strategy,total_return,ann_return,ann_vol,sharpe,max_drawdown,hit_ratio,ann_turnover,fee_bps
flow_continuation,-0.06488344658514811,-0.011155094724543901,0.2309849013314088,-0.04829360992967663,-0.44478278034865615,0.5106241699867198,5.491007559256817,0
funding_x_crowding,-0.7128168382773444,-0.18830375375252661,0.23984603171905555,-0.785102644404377,-0.7640658268043562,0.4548472775564409,5.358752929258755,0
static_crowding_placebo,0.24691031627660398,0.037589410690030745,0.2079002926826689,0.1808049916861146,-0.35038969646936113,0.5245683930942895,2.766173117207792,0
flow_continuation,-0.09513423698829093,-0.016577776792409793,0.231013876326796,-0.07176095677022708,-0.4533130828351408,0.5106241699867198,5.491007559256817,5
funding_x_crowding,-0.721875467107993,-0.19264248015593666,0.2398296152889415,-0.8032472550308067,-0.771275642914059,0.4548472775564409,5.358752929258755,5
static_crowding_placebo,0.2264152364102796,0.034717840551620194,0.2079265112010323,0.16697168798284454,-0.3541341181895882,0.5239043824701195,2.766173117207792,5
flow_continuation,-0.12445161532923521,-0.02197916321402915,0.23107950313380615,-0.09511515697392753,-0.46172607965867063,0.5106241699867198,5.491007559256817,10
funding_x_crowding,-0.7306614865848944,-0.1969645596514693,0.23984670728187216,-0.8212101883057874,-0.7782757147096158,0.4541832669322709,5.358752929258755,10
static_crowding_placebo,0.20624175505415443,0.03185203292533201,0.20796271785691245,0.15316222664125603,-0.3578597325812758,0.5225763612217795,2.766173117207792,10
flow_continuation,-0.1803950165006557,-0.03271825739077017,0.23132056998110823,-0.14144119303113528,-0.47820584432785584,0.5092961487383798,5.491007559256817,20
funding_x_crowding,-0.7474467252741053,-0.20555893761182054,0.23998137386209267,-0.8565620502278928,-0.7916696537761619,0.45285524568393093,5.358752929258755,20
static_crowding_placebo,0.16684042569131652,0.026137675779235092,0.208065073285635,0.12562260146061555,-0.36525486157281895,0.5212483399734396,2.766173117207792,20
