period,spread_A_fm,ic_A_fm,spread_B_ic,ic_B_ic,spread_C_naive,ic_C_naive
2016-09-30,0.022074603224748232,0.04281095302351543,0.023083153781098778,0.005430854971353366,0.05220408510191779,0.09645999598858425
2016-12-31,0.017793726400674705,0.057030008383314935,0.01944293504311783,0.027194817729064135,0.010371600671937334,0.002066369998228233
2017-03-31,-0.021336444636913292,-0.033982794744948475,-0.04758873010437852,-0.09863578059660247,-0.021579936556448482,-0.04174923373714122
2017-06-30,0.06297102950760358,0.07103538030486364,0.04708955368462665,0.006652397709946033,0.016834639015343877,0.03747602625100968
2017-09-30,0.008993448579067809,-0.005561832299371812,0.06048537428941005,0.03346624034870508,0.01219945314499958,0.023641293920030185
2017-12-31,0.08311074053243411,0.16114399353242928,0.08650051526653355,0.17653223092651082,0.011569389178965037,0.052429858215402025
2018-03-31,0.05677924446513022,0.12593750690590583,0.028338321424010014,0.05784831649146781,0.027886377692588664,0.007383892358654043
2018-06-30,-0.016482159534168622,-0.040037256900352564,-0.0034413340508462897,-0.08891597915268158,0.015521501428621201,-0.0008917803419467368
2018-09-30,0.01332726486946332,0.012168588386380637,0.009335118431717034,-0.029653211983245987,0.011024737495068812,-0.0171141937390066
2018-12-31,0.018137139742751315,-0.0025685577626644845,0.024884196870219887,-0.02339177446859818,0.04174247779266638,0.031773639841811495
2019-03-31,-0.02910019719356948,-0.07683180941166065,-0.08699548904360714,-0.16307460875279317,-0.004962402855378849,-0.059476848909445164
2019-06-30,-0.0182101240725365,-0.06829305233776646,-0.02331986133359841,-0.03275789053952089,-0.04540093659593999,-0.08209056370200717
2019-09-30,-0.021822383101231066,-0.02599504125740089,-0.014578930150603603,-0.10143152521837764,0.05257252777523812,0.025682885690254974
2019-12-31,0.16293995635698896,0.1535563347346415,0.15581585076910467,0.11991661547778389,0.18051366675091338,0.10667747029653728
2020-03-31,0.29396847115685587,0.2735714550243187,0.26580891267922446,0.24820567308192332,0.19603183341610492,0.1757184635309247
2020-06-30,0.03555637737001004,0.06134904799209713,0.05411936306606051,0.08072738469833385,-0.010317979260739935,-0.03657477015961976
2020-09-30,0.4980245253691425,0.4567872296678658,0.49574132419354316,0.4696580110667301,0.1642150352773133,0.09862320001280683
2020-12-31,-0.2073436114052556,-0.24213131160270407,-0.0312916678601093,-0.05036995244307922,-0.05840091938596054,-0.06432420977275605
2021-03-31,0.0355131085776786,0.026165234057734132,-0.005331953068614101,-0.07763194588171533,0.007413943617339151,-0.012622542535004309
2021-06-30,0.04078390660072927,0.05520916834080951,0.07762402926076194,0.08727204795240767,0.009148892214775162,-0.01100129514353445
2021-09-30,-0.25400735060045176,-0.38554439769844656,-0.26690822597842484,-0.3905609040989173,-0.04888008667376939,-0.10895248211611833
2021-12-31,-0.06436077286546116,-0.11230203905386155,-0.1252342520371297,-0.20856023899966658,0.03273862735784769,0.04574289991129268
2022-03-31,0.11703953436169337,0.14892499909087228,0.19549698320022912,0.2375116875532278,-0.030481856019058284,-0.016688067026671312
2022-06-30,-0.04144409087965378,-0.0953629006618004,-0.1706984841190901,-0.25450309636949325,-0.05855256986782821,-0.0835716547466401
2022-09-30,0.09372502485147141,0.08492958479435744,0.12870885639806412,0.13975160050135715,0.03609606796530329,-0.0028022036852848264
2022-12-31,0.04294358509670379,-0.011495556809751757,0.010332789764465236,-0.03594352899865489,-0.014500400004045899,-0.052597051625081145
2023-03-31,0.08636625775508452,0.08503711155140431,0.0961582530651558,0.10104279491817379,-0.013698461650454102,-0.03436737458364735
2023-06-30,0.06982084592091727,-0.0835084145570158,0.022855186840052756,-0.12446326695190363,-0.015041276767918554,-0.10428961564380723
2023-09-30,0.20316641534574265,0.18408228234121785,0.12989492688073595,0.18279740539518421,0.07082518700024026,0.048456655932671046
2023-12-31,0.13384847278240747,0.04872481577964917,0.08546315614676082,0.012289655914459602,0.03752339648862663,0.0057674949147960486
2024-03-31,0.02719369468294492,-0.04735219972296146,-0.006116181955524852,-0.053144956087839625,0.009246144983839629,-0.033134030891181304
2024-06-30,0.10109332917862432,0.05466930301014564,0.124803231973272,0.11410405557749799,0.026417478911025555,-0.0007317907362821669
2024-09-30,0.13927148538923004,0.12842373057839795,-0.05204382299500451,0.022710575145970573,0.24243818683505294,0.14226941484392305
2024-12-31,-0.03951933447369816,-0.1694496785169237,-0.032263930172647275,-0.1168398319951242,0.01549939927589293,-0.04991757977756542
2025-03-31,0.2010268462411619,0.1810107717857495,0.10042235366679675,0.11510030965956988,0.041104950590726774,0.003487880399939798
2025-06-30,0.1270406301649425,0.08937484305913246,0.0960160241562238,0.08555996217662543,0.06600248560190966,-0.02536770660165279
2025-09-30,-0.047420158561954764,-0.06426331399220934,-0.011842635569550342,0.008687342353304131,-0.08197260343598149,-0.0942879103158447
2025-12-31,0.11791606615400944,0.09945639608294964,0.17521474884545304,0.1684242945122328,-0.005394724189423855,-0.020379299275376885
