,size,mom,beta,lowvol,strev,liq,new_conv,dbreadth,distress,pressure
2013-09-30,-0.025090275767039108,-0.01958391910768318,-0.07141839041385843,-0.16476477128299413,-0.00408290463697133,0.029350173488938175,0.0013330352006906254,0.02651751255040528,-0.050445244458271685,-0.03305792325694846
2013-12-31,0.06389710430278378,-0.0395394212647416,-0.02038750589837485,0.11378434083004166,-0.016254796498987492,0.02079897373034538,0.014636778368977824,-0.008174458586840589,0.06714515616988798,-0.006457257297673909
2014-03-31,0.04634924538002495,0.024123578939012874,-0.01789611707469304,-0.09599528816927744,-0.014292731311210328,0.13060068569704553,-0.009431059445656021,0.02594173061970196,-0.05078165451517777,-0.019654755241654203
2014-06-30,0.21271016214471375,0.021311262091208524,0.06791850166434582,0.09295684686136517,-0.040909816437275495,0.1248808012920263,0.02036201998148212,0.017457598582216308,0.007937497550369852,0.05984401877449392
2014-09-30,0.07643408969727333,-0.0028821067523784275,-0.044997767239626174,-0.05449444298352021,0.01978379304385625,0.0933710088206236,-0.024085157964572494,0.020410078225246573,-7.629657198051504e-05,0.02159294590670202
2014-12-31,-0.04016970186145025,-0.02755351729513873,0.022853594339183193,-0.023540206606789342,-0.04942585045292716,-0.037290327601454204,0.01921549647602775,0.0313493059529399,-0.06109189658565202,-0.017600017251498918
2015-03-31,0.09120161276153488,0.08182785009280565,-0.004804119489410508,0.1580314187661523,0.09188982976415219,0.01782615834207642,0.041246026587208245,0.023786573485755733,-0.03951525253045711,-0.028251395249402858
2015-06-30,0.10525384555843531,0.0023113532717761905,0.07059230957813886,0.09489857615384045,-0.010568932429315836,-0.07655712178556459,0.0029196135093711804,0.010576913230556022,0.05892607774561551,0.036841422338728294
2015-09-30,0.14423661740027433,-0.03886913675397194,-0.25510068487103393,0.08746086952637609,0.037722525024415865,0.11609654609158761,-0.010695290381504312,-0.0033279159619478277,0.12376738405067206,-0.03402086628257203
2015-12-31,-0.02456735620161873,-0.06547853648245876,0.0070674707844842356,-0.10983051986742359,-0.05162877521367034,0.02323324155674242,-0.006580980190338837,0.0037517840711148226,-0.004052551112316437,-0.014218937758980551
2016-03-31,0.09565689235814377,-0.030631402821714466,-0.01902958026628747,-0.11175819125787959,0.05620299760950195,0.12474827306467198,-0.04316762301517181,-0.0034714564534966963,-0.023028566052010722,0.003133650238746271
2016-06-30,0.10559080524307748,-0.021299688547273727,0.19350347482426936,0.08424043032902905,-0.08925240642694096,-0.08366195606435545,0.012620081611983882,-0.009207854325176814,-0.008258658030789819,0.043735400623170356
2016-09-30,0.06839447879051723,-0.00016130631985251378,0.03617776768079781,0.040186016318914164,0.00401727206240343,0.09433841226460046,0.03287036764065948,0.015872005616667417,-0.09884026016955673,0.0019061147673351368
2016-12-31,0.07969163060347963,-0.03029396929209451,0.008454750956298926,0.07636588163165833,-0.03733648490587464,0.07817909824143376,-0.02334767513474021,-0.010550172327564614,-0.07773672335892899,-0.020791170121722116
2017-03-31,0.009652549970922658,-0.004192424158017216,0.01525473480122496,0.04009669404176397,0.03856835999620123,-0.01825451937856671,0.014426340290992132,0.03415104894166672,0.03644686625161972,0.01180984286499385
2017-06-30,0.05242582247762753,0.016635290787749665,0.0808792121455869,0.014838382232436833,0.010831730170663394,0.016950923895174087,0.02167199045416092,0.032304053944344595,-0.029660088361547758,0.012515114680617539
2017-09-30,-0.052897773625181374,-0.05214461134610288,-0.01859168391959199,-0.1802527346996704,0.03915019006247496,0.0424653496746301,0.006140159773326235,0.026258516135253384,-0.0011028170340048533,0.01013818688772364
2017-12-31,0.11629752305035156,0.03265879844125091,0.012423303820743165,-0.06142621896702736,0.01713823286054169,0.05003885485907316,-0.04529683748797243,0.03948647139115053,-0.025028441522867196,0.012170460126873027
2018-03-31,0.21928781074236206,0.031487978369626884,-0.08785856503585225,-0.04910095116128671,0.051812922013844964,0.08993441695896734,0.0048752539637407595,0.00484076126327003,0.09855098415189843,-0.007058265334385375
2018-06-30,-0.09945888264106142,-0.11360198396958052,-0.09290631251768704,-0.006140351884918997,0.0012515701787103213,-0.07001248049454693,0.022093503752786743,0.027096254500702435,0.017354892672313757,0.021653410973079087
2018-09-30,0.05105727721318413,-0.015304821343620342,0.020992064686556976,-0.06282069665794554,-0.028545021925372668,0.14470491742856306,0.0072839447756886085,0.02204675767691963,-0.0648153955450763,0.012563907735527857
2018-12-31,-0.1049123412651671,0.006721641624223175,-0.014663965441968218,-0.05894678115922744,-0.017567031045276568,-0.09910217507765257,0.03930918583813757,0.017874063108685147,0.009477746299986716,0.017881976690468187
2019-03-31,0.07786530931837808,0.10525739818953653,-0.17394950574869572,-0.012906876206400929,-0.002119712942738959,0.16136662407009406,-0.016646934136525918,0.037916149612510996,-0.017712223006049136,0.003799641429231361
2019-06-30,0.1638553928666101,-0.08914767282809345,0.09562148286680658,0.15621514545949747,0.007309440115232579,0.12391986568312603,-0.01698844909683264,-0.03040895074654299,0.007503640317556465,-0.022498773260469285
2019-09-30,-0.14338034214245793,0.05147572039374514,0.03578299179912865,-0.16134892234024004,-0.15766118483010524,-0.137305187252678,0.03853703069645023,-0.0036837867604575213,0.011238638688793105,0.010488823483086229
2019-12-31,-0.004554807139523109,-0.011459389829182539,-0.21259298922064068,-0.5419962939078141,-0.08123920720101295,0.21793188063155539,0.03203706696283025,0.08330694446992995,-0.09941970163634689,0.0634903406979467
2020-03-31,-0.0033471257470094884,-0.11000019305392825,-0.10617968313239437,-0.18186529377045063,-0.22453932347653685,-0.10053358346406471,0.06887819000751681,-0.03392073905737483,-0.05334624399936777,0.10590061537914536
2020-06-30,0.1626489545038961,-0.007982011730903803,0.14475190725208956,0.03984289231563909,0.002435810662803857,0.10672183424906387,0.052029862734940716,0.010695611161056811,0.027256976539706705,0.02020014079735394
2020-09-30,0.011145183294043348,-0.044489166000697036,-0.2710671439504698,-0.786739276818855,-0.01847967599353103,-0.07147529548980013,0.02432919724654123,0.06275160471714114,-0.05150313920312957,0.03285545413834641
2020-12-31,0.3034082736307554,-0.262439859510361,0.19071638607298053,0.33786405797481356,-0.039242719605839194,0.12819822252503038,0.08269422844926337,0.023938317170183132,0.07503073222621276,0.033530126652353
2021-03-31,0.12557172962333948,0.10538161145192354,-0.058919636444191986,-0.00783770217461753,-0.004616919099739526,0.13255364223294985,0.042514899285422424,-0.023434791296111517,0.0397735941102581,0.014214800747290625
2021-06-30,0.14212385407060305,0.02626090078272973,0.07246413411789569,-0.0010571242388378171,0.016032048771329386,0.05521190578830923,-0.015956378245377753,0.030004855956728766,-0.002637262230814015,-0.00540875993896353
2021-09-30,0.11842117979810073,0.1073357369224688,-0.051120345574438626,0.41347699593814957,0.14927411780869598,0.02790608041178119,0.06635941009300488,-0.09458223181097561,0.011020882299524346,-0.03560853273290612
2021-12-31,0.1699728305725113,0.07658552318223967,-0.05270729318892512,0.15939721608326793,0.13068019028765399,0.1256996898161579,0.035561591210900634,0.06580519690458009,-0.11050070632591139,0.0006368963711470381
2022-03-31,0.13835568996484235,-0.10641903754944163,0.0932579655685586,-0.16653689568836452,-0.018237848327568414,0.0632875510769055,-0.03251585737398561,0.0071608012408591985,0.03606387228297049,-0.04486538637193137
2022-06-30,0.27568125206221605,0.19427341374660947,-0.07069494602002002,0.07558549118622453,-0.00665788240252933,0.2725455885142797,0.0018543375791897267,-0.023611508515116036,-0.00728456266551164,-0.02963887389568284
2022-09-30,0.23684588804559578,-0.12189781016744529,-0.023165151492184625,-0.02182132021062138,-0.0670989205465436,0.1410260972444763,0.04068795751098837,-0.054612979086522274,0.06453127581486312,-0.005918816255376234
2022-12-31,0.24206141538466816,0.0064141777414665506,-0.07339868517814026,-0.06834155473940133,0.09994457964273304,0.22999371647923722,0.04998220641424575,0.01068041846690107,0.09604248010500213,-0.014619351077406379
2023-03-31,0.2033574014157601,-0.04422182156028564,0.12210353069275603,0.07755791734705468,-0.09881378321897424,0.15480907768019053,0.01964790731209037,0.023530335305093367,0.010400526710833136,0.004407131268683374
